"","Qm","p"
"logmass",7.83263272319959,0.00513113087550796
"tmean",4.21400615487112,0.0400915457282501
"logmass:tmean",1.44546853312137,0.229256458790996
"fullmodel",32.6701436641149,3.78019876101972e-07
