"","Qm","p"
"logmass",31.8057963133434,1.70383510005557e-08
"Island_km2",11.6756519022392,0.000633233488675213
"logmass:Island_km2",6.77689318507413,0.00923454878286976
"fullmodel",38.0008295495139,2.82533210488462e-08
