"","Qm","p"
"logmass",16.7054986624023,4.36542865894217e-05
"guild2No Carn",0.56984797553137,0.45031933317538
"logmass:guild2No Carn",0.610711276710782,0.434520127531309
"fullmodel",27.6406647868819,4.32072664065799e-06
