"","b","lci","uci"
"intrcpt",0.278773283013572,0.129882803624543,0.427663762402601
"logmass",-0.0856686099189159,-0.116868456742443,-0.054468763095389
"tmean",-0.00394580361949562,-0.00670672118868176,-0.00118488605030947
