"","b","lci","uci"
"intrcpt",0.240817331151379,0.0683043053931092,0.413330356909648
"logmass",-0.107498652518214,-0.15226296931939,-0.0627343357170371
"Dist_near_mainland",0.0436144122471861,-0.00215736162801961,0.0893861861223918
"Island_km2",-0.031385819081507,-0.0579337739977021,-0.00483786416531202
"logmass:Dist_near_mainland",-0.0176836408749847,-0.0331735566112216,-0.00219372513874783
"logmass:Island_km2",0.0151752203789016,0.00502843419031845,0.0253220065674848
