"","b","lci","uci"
"intrcpt",0.130242705469658,-0.170495901897975,0.430981312837292
"logmass",-0.0250862942917671,-0.12821539943749,0.078042810853956
"SDNDVI",-0.046772432006958,-0.200496692603224,0.106951828589308
"logmass:SDNDVI",0.0366266535751306,-0.0220547764408948,0.095308083591156
