"","Qm","p"
"logmass",3.66170192774646,0.0556767324881256
"NDVI",2.59189863526377,0.107411509373316
"logmass:NDVI",1.46241715329257,0.226545917670194
"fullmodel",31.3219405678108,7.27187998241356e-07
