"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Brasileiro et al. 2007, Heyer et al. 1990","ES56","CC17","Brazil","Ilha dos Alcatrazes","Amphibians","Anura","Leptodactylidae","Cycloramphus eleutherodactylus","Cycloramphus eleutherodactylus","Cycloramphus faustoi","Both","SVL",5.11036715916008,5.21680383798353,0.446098994672373,0.637981508565281,4,11,0.0206136700513801,0.00326462494003689,-45.696,-24.1,0.708452103553296,0.173186268412274,1.54408045258678,0.693767041015625,-1.38462328074966,21.5395832061768,2.39974259785885,3.42143939022005,"","No island rule","SP13"
"Clark 1967","ES57","CC18","Mainland Greece (North)","Spetsai","Amphibians","Anura","Bufonidae","Bufotes viridis","Bufo viridis","Bufo viridis viridis","Male","SVL",30.8293398997029,24.5772192409215,3.92277478069401,5.21364744164081,115,2,-0.226646863921083,0.0226410618754878,23.134,37.258,1.48896422595954,1.34635297445064,0.361916618668643,0.45666572265625,-1.89786573452021,17.6349029541016,2.76604694768925,2.69613787578185,"","No island rule","SP9"
"Arntzen and Garcia-Paris 1995","ES58","CC19","Spain (South)","Mallorca","Amphibians","Anura","Alytidae","Alytes dickhilleni","Alytes dickhilleni","Alytes mustelensis","Both","SVL",7.93329827022556,3.17432161679656,0.606770321356125,0.211296868357317,53,30,-0.915974926765919,0.000258067658828536,2.9951,39.7104,0.899453782872832,3.56110138364906,2.24055174422073,0.4811669921875,-2.0319027889097,15.6639108657837,2.75405040052569,2.77073037583745,"Phylogeny: Arntzen, J. & García-París, M. Morphological and allozyme studies of midwife toads (genus Alytes), including the description of two new taxa from Spain. Contributions to Zoology 65, 5-34 (1995).","No island rule","SP14"
"Bell 1978","ES59","CC20","New Zealand (North)","Stephens","Amphibians","Anura","Leiopelmatidae","Leiopelma archeyi","Leiopelma archeyi","Leiopelma hamiltoni","Unsexed","SVL",1.81456433202982,4.99290010169532,0.430799660492793,1.44349638503385,171,18,1.01217152219256,0.00497319944326518,173.9966,-40.6712,0.258772369918935,0.176091259055681,1.91381914862559,0.509886376953125,-1.22674799998275,13.1764011383057,2.42829296789607,3.13376236920288,"Phylogeny: Bell, B. D., Daugherty, C. H., & Hay, J. M. (1998). Leiopelma pakeka, n. sp.(Anura: Leiopelmatidae), a cryptic species of frog from Maud Island, New Zealand, and a reassessment of the conservation status of L. hamiltoni from Stephens Island. Journal of the Royal Society of New Zealand, 28(1), 39-54.","No island rule","SP15"
"Bell and Irian 2019, Lotters et al. 2004","ES60","CC21","Kenya","Sao Tome","Amphibians","Anura","Hyperoliidae","Hyperolius cinnamomeoventris","Hyperolius cinnamomeoventris","Hyperolius molleri","Both","SVL",1.12364975944348,1.92442430196358,0.075459818810274,0.197972262126228,118,33,0.538044758101272,0.000358915389685729,6.616,0.234,0.0506309631507822,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Phylogeny in Bell, R. C., Drewes, R. C., & Zamudio, K. R. (2015). Reed frog diversification in the Gulf of Guinea: Overseas dispersal, the progression rule, and in situ speciation. Evolution, 69(4), 904-915.","No island rule","SP16"
"Bell and Irian 2019, Lotters et al. 2004","ES61","CC21","Kenya","Sao Tome","Amphibians","Anura","Hyperoliidae","Hyperolius cinnamomeoventris","Hyperolius cinnamomeoventris","Hyperolius thomensis","Both","SVL",1.12364975944348,6.40781412039474,0.075459818810274,0.541152398738983,118,7,1.74093610092138,0.00105709571089149,6.616,0.234,0.0506309631507822,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Phylogeny in Bell, R. C., Drewes, R. C., & Zamudio, K. R. (2015). Reed frog diversification in the Gulf of Guinea: Overseas dispersal, the progression rule, and in situ speciation. Evolution, 69(4), 904-915.","No island rule","SP16"
"Bell et al. 2016, Lotters et al. 2004","ES62","CC22","Kenya","Principe","Amphibians","Anura","Hyperoliidae","Hyperolius cinnamomeoventris","Hyperolius cinnamomeoventris","Hyperolius drewesi","Both","SVL",1.12364975944348,1.97398789680069,0.075459818810274,0.131885767946807,118,17,0.563473708690929,0.000300797507382889,7.4,1.626,0.0506309631507822,2.13353890837022,2.33365077086291,0.4961466796875,-1.47387184563869,25.1661548614502,1.89407536003192,3.31952453204368,"Phylogeny in Bell, R. C., Drewes, R. C., & Zamudio, K. R. (2015). Reed frog diversification in the Gulf of Guinea: Overseas dispersal, the progression rule, and in situ speciation. Evolution, 69(4), 904-915.","No island rule","SP16"
"Blackburn 2010","ES63","CC23","Cameroon","Bioko","Amphibians","Anura","Arthroleptidae","Arthroleptis poecilonotus","Arthroleptis poecilonotus","Arthroleptis bioko","Male","SVL",1.37460956976435,2.48213067530836,0.0225309883618403,0.250515905798186,4,5,0.590947593059044,0.00210444762621626,8.7,3.5,0.138179363057241,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Phylogeny: Blackburn, D. C. A new squeaker frog (Arthroleptidae: Arthroleptis) from Bioko island, Equatorial Guinea. Herpetologica 66, 320-334 (2010)","No island rule","SP17"
"Brown et al. 2010","ES64","CC24","Panama","Cayo Agua","Amphibians","Anura","Dendrobatidae","Oophaga pumilio","Oophaga pumilio","Oophaga pumilio","Both","SVL",0.42458102272784,0.437255012019751,0.0144041170031538,0.0272606443811691,57,34,0.029413722628354,0.00013451230108039,-82.039,9.1518,-0.372039421165701,1.19033169817029,0.342620042553348,0.672026611328125,-1.60972230623035,25.9435844421387,1.68808872207448,3.4635436088818,"","No island rule","SP18"
"Brown et al. 2010","ES65","CC24","Panama","Pastores","Amphibians","Anura","Dendrobatidae","Oophaga pumilio","Oophaga pumilio","Oophaga pumilio","Both","SVL",0.42458102272784,0.424362945729053,0.0144041170031538,0.0223044115431783,57,22,-0.000513760652497159,0.000145761340979901,-82.339,9.237,-0.372039421165701,0.380211241711606,-0.0963674839157623,0.763761376953125,-1.62422459571565,25.4382705688477,1.6975541677115,3.45486770213086,"","No island rule","SP18"
"Brown et al. 2010","ES66","CC24","Panama","San Cristobal","Amphibians","Anura","Dendrobatidae","Oophaga pumilio","Oophaga pumilio","Oophaga pumilio","Both","SVL",0.42458102272784,0.578432149421742,0.0144041170031538,0.0122855654586604,57,16,0.309218398870919,4.8386473496661e-05,-82.2688,9.2597,-0.372039421165701,1.59328606702046,-0.22112552799726,0.766273779296875,-1.64453503938332,25.8043689727783,1.6978703192382,3.44451320633404,"","No island rule","SP18"
"Cumbo et al 2010, Oromi et al. 2016","ES67","CC25","Argelia","Sicily","Amphibians","Anura","Alytidae","Discoglossus pictus","Discoglossus pictus","Discoglossus pictus","Both","SVL",6.26403083076868,18.501160993913,1.47229787174495,1.91301408682456,66,70,1.08300960596858,0.000989762990935918,14.275,37.481,0.796853886597741,4.40585839931764,0.491501766237326,0.48783291015625,-1.7491542292963,15.4296607971191,2.76987076537853,2.70918266471766,"","No island rule","SP19"
"Djong et al. 2011","ES68","CC26","Honshu (Hiroshima)","Kyushu (Kumamoto)","Amphibians","Anura","Dicroglossidae","Fejervarya kawamurai","Fejervarya kawamurai","Fejervarya kawamurai","Both","SVL",5.5080575989525,5.15354849543632,0.468726180767007,0.59954125794176,10,10,-0.0665265324931605,0.00207756922194918,131.0378,32.746,0.740998473120188,4.56489084517638,-0.045275209020937,0.742241845703125,-2.06316151198134,14.0496435165405,2.88731074522209,3.39533360382983,"","No island rule","SP20"
"Djong et al. 2011","ES69","CC26","Honshu (Hiroshima)","Okinawajima","Amphibians","Anura","Dicroglossidae","Fejervarya kawamurai","Fejervarya kawamurai","Fejervarya kawamurai","Both","SVL",5.5080575989525,5.55677209919176,0.468726180767007,0.720527379768217,10,7,0.00880534383639852,0.00312608731005664,127.9278,26.4794,0.740998473120188,3.08170007377456,2.76342874234588,0.483222998046875,-1.49092461609625,22.8974323272705,2.65055307551962,3.3202200942349,"","No island rule","SP20"
"Djong et al. 2011","ES70","CC26","Honshu (Hiroshima)","Yoronjima Islands","Amphibians","Anura","Dicroglossidae","Fejervarya kawamurai","Fejervarya kawamurai","Fejervarya kawamurai","Both","SVL",5.5080575989525,8.68621733031085,0.468726180767007,0.840400289435851,10,12,0.455525516420513,0.00150423472264844,128.432,27.0425,0.740998473120188,1.31806333496276,2.68124214215482,0.443155078125,-1.5580951579536,22.680477142334,2.66967157499542,3.31599134584761,"","No island rule","SP20"
"Glaw et al. 2001","ES71","CC27","Madagascar","Nosy Be","Amphibians","Anura","Mantellidae","Boophis tephraeomystax","Boophis tephraeomystax","Boophis tephraeomystax","Both","SVL",5.21267613397693,7.0670883257463,0.855275249730133,0.692709588397138,7,3,0.304355182722388,0.00704843035360486,48.26,-13.326,0.717060742844527,2.50517712087683,1.07994059715236,0.71289697265625,-1.828679778872,25.7866973876953,2.134027409339,3.3305050774476,"","No island rule","SP21"
"Inger et al 2009","ES72","CC28","Malaysia","Borneo","Amphibians","Anura","Ranidae","Hylarana chalconota","Rana chalconota","Rana megalonesa","Both","SVL",4.66025627569752,9.13466834988913,0.73867794044115,1.65033527833952,32,228,0.673006442329784,0.000928289134546951,114,1,0.668409799964883,5.87118166081524,2.71600417881569,0.79960927734375,-1.55229701907953,25.0596599578857,1.37991262208345,3.5955034069751,"Phylogeny: Inger, R. F., Stuart, B. L., & Iskandar, D. T. (2009). Systematics of a widespread southeast Asian frog, Rana chalconota (Amphibia: Anura: Ranidae). Zoological Journal of the Linnean Society, 155(1), 123-147.","No island rule","SP22"
"Inger et al 2009","ES73","CC28","Malaysia","Borneo","Amphibians","Anura","Ranidae","Hylarana chalconota","Rana chalconota","Rana raniceps","Both","SVL",4.66025627569752,3.93997567336705,0.73867794044115,0.447729834261488,32,38,-0.167895892391814,0.00112495813530853,114,1,0.668409799964883,5.87118166081524,2.71600417881569,0.79960927734375,-1.55229701907953,25.0596599578857,1.37991262208345,3.5955034069751,"Phylogeny: Inger, R. F., Stuart, B. L., & Iskandar, D. T. (2009). Systematics of a widespread southeast Asian frog, Rana chalconota (Amphibia: Anura: Ranidae). Zoological Journal of the Linnean Society, 155(1), 123-147.","No island rule","SP22"
"Inger et al 2009","ES74","CC28","Malaysia","Java","Amphibians","Anura","Ranidae","Hylarana chalconota","Rana chalconota","Rana chalconota","Both","SVL",4.66025627569752,8.61517254592672,0.73867794044115,2.01837230656891,32,69,0.614454456915392,0.00158060150505093,107.5667,-6.95,0.668409799964883,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"Phylogeny: Inger, R. F., Stuart, B. L., & Iskandar, D. T. (2009). Systematics of a widespread southeast Asian frog, Rana chalconota (Amphibia: Anura: Ranidae). Zoological Journal of the Linnean Society, 155(1), 123-147.","No island rule","SP22"
"Inger et al 2009","ES75","CC28","Malaysia","Sumatra","Amphibians","Anura","Ranidae","Hylarana chalconota","Rana chalconota","Rana rufipes","Both","SVL",4.66025627569752,13.3925539305883,0.73867794044115,2.12491022301275,32,14,1.05562843427925,0.00258328009065918,101.6,-0.4,0.668409799964883,5.67541811271593,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"Phylogeny: Inger, R. F., Stuart, B. L., & Iskandar, D. T. (2009). Systematics of a widespread southeast Asian frog, Rana chalconota (Amphibia: Anura: Ranidae). Zoological Journal of the Linnean Society, 155(1), 123-147.","No island rule","SP22"
"Inger et al 2009","ES76","CC28","Malaysia","Sumatra","Amphibians","Anura","Ranidae","Hylarana chalconota","Rana chalconota","Rana parvaccola","Both","SVL",4.66025627569752,4.22739884703165,0.73867794044115,0.605371783418921,32,28,-0.0974835672786992,0.00151751410980407,101.6,-0.4,0.668409799964883,5.67541811271593,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"Phylogeny: Inger, R. F., Stuart, B. L., & Iskandar, D. T. (2009). Systematics of a widespread southeast Asian frog, Rana chalconota (Amphibia: Anura: Ranidae). Zoological Journal of the Linnean Society, 155(1), 123-147.","No island rule","SP22"
"Kang et al. 2017","ES77","CC29","Korea","Cheju Do","Amphibians","Anura","Bombinatorina","Bombina orientalis","Bombina orientalis","Bombina orientalis","Both","Weight",7.77476190487143,5.70000000003704,2.19821179851004,1.83072074920289,210,27,-0.310416659581735,0.00420125992286027,126.591,33.377,0.890687098022501,3.26150077319828,1.91381914862559,0.607816064453125,-1.81743260081951,14.3664684295654,2.88354215355737,3.27150487671279,"","No island rule","SP23"
"Kutrup et al 2011","ES78","CC30","Turkey","Giresun","Amphibians","Anura","Bufonidae","Bufotes viridis","Bufo viridis","Bufo viridis","Both","SVL",33.1297200992718,54.4462168705339,3.09032245241365,4.33475209371338,44,56,0.496782600285401,0.000310940541829023,38.437,40.929,1.52021776670432,-1.39794000867204,0.146438135285775,0.612859765625,-1.68470842408113,14.3423175811768,2.77111983179449,3.06936467054026,"","No island rule","SP9"
"Kwet et al. 2009","ES79","CC31","Brazil","Ilha de Santa Catarina","Amphibians","Anura","Leptodactylidae","Adenomera engelsi","Adenomera engelsi","Adenomera engelsi","Male","SVL",0.847936555065362,0.878420185989537,0.0139289809973614,0.0255181265594941,2,10,0.0353192350451947,0.000219312137615277,-48.9177,-27.5141,-0.0716366416298628,2.6277753752293,-0.300162274132754,0.806981982421875,-1.76880853675572,17.0396060943604,2.48639441368469,3.22201115556144,"","No island rule","SP24"
"Leet et al. 2012, MVZ","ES80","CC32","California","Southeast Farallon","Amphibians","Caudata","Plethodontidae","Aneides lugubris","Aneides lugubris","Aneides lugubris","Both","SVL",3.89712310260197,5.56576155566287,4.38231172926745,1.17491305535006,111,10,0.356395207816864,0.0158480527970679,-123.0025,37.6985,0.590744124534374,-0.318758762624413,1.51055841415044,0.568311181640625,-1.7971210848434,12.6347217559814,2.17509198050051,3.03782475058834,"","No island rule","SP25"
"Maddock 2016","ES82","CC34","Mahé (Seychelles)","Félicité","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","Unsexed","TL",3.25056259371122,3.23582568769962,1.15046633729772,0.774551690681227,24,7,-0.00454395596716063,0.013404648351337,55.873,-4.326,0.511958533347857,0.428134794028789,1.7226421477302,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,"","No island rule","SP26"
"Maddock 2016","ES83","CC34","Mahé (Seychelles)","Frégate","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","Unsexed","TL",3.25056259371122,5.55600578557928,1.15046633729772,0.751531561504751,24,28,0.536051379094649,0.00587283528996636,55.94,-4.5865,0.511958533347857,0.315970345456918,1.6532221646566,0.55613583984375,-1.39694785060749,26.988468170166,1.84429967564806,3.36147859653593,"","No island rule","SP26"
"Maddock 2016","ES84","CC34","Mahé (Seychelles)","La Digue","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","Unsexed","TL",3.25056259371122,3.89262328942451,1.15046633729772,0.715582426690572,24,3,0.180255210690236,0.0164839237441085,55.838,-4.36,0.511958533347857,1,1.66746229245581,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,"","No island rule","SP26"
"Maddock 2016","ES85","CC34","Mahé (Seychelles)","Praslin","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","Unsexed","TL",3.25056259371122,5.80681512878522,1.15046633729772,0.42913785755813,24,3,0.58020416284056,0.00703991126028319,55.73,-4.323,0.511958533347857,1.57978359661681,1.57288321419716,0.6878533203125,-1.94445679391101,26.7956714630127,1.87150894294456,3.35919021770369,"","No island rule","SP26"
"Maddock 2016","ES86","CC34","Mahé (Seychelles)","Silhouette","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia alternans","Grandisonia alternans","Grandisonia alternans","Unsexed","TL",3.25056259371122,4.25983509736953,1.15046633729772,0.294879214139632,24,34,0.270402362876505,0.0053603238949223,55.233,-4.485,0.511958533347857,1.30319605742049,1.33447385691154,0.677000830078125,-1.70056375660062,26.5780200958252,1.86012644562276,3.35120666330274,"","No island rule","SP26"
"Maddock 2016","ES87","CC35","Mahé (Seychelles)","Félicité","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia larvata","Grandisonia larvata","Grandisonia larvata","Both","TL",1.86685074368838,3.54466328677072,0.26143165235947,0.371009089434429,14,7,0.641190255996417,0.00296580163289299,55.873,-4.326,0.271109597122238,0.428134794028789,1.7226421477302,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,"","No island rule","SP27"
"Maddock 2016","ES88","CC35","Mahé (Seychelles)","La Digue","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia larvata","Grandisonia larvata","Grandisonia larvata","Both","TL",1.86685074368838,2.35800645910361,0.26143165235947,0.269954305436728,14,14,0.233563624439832,0.00233696410536462,55.838,-4.36,0.271109597122238,1,1.66746229245581,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,"","No island rule","SP27"
"Maddock 2016","ES89","CC35","Mahé (Seychelles)","Praslin","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia larvata","Grandisonia larvata","Grandisonia larvata","Both","TL",1.86685074368838,2.05328194068033,0.26143165235947,0.262015784200432,14,4,0.0951865427733557,0.00547174584476996,55.73,-4.323,0.271109597122238,1.57978359661681,1.57288321419716,0.6878533203125,-1.94445679391101,26.7956714630127,1.87150894294456,3.35919021770369,"","No island rule","SP27"
"Maddock 2016","ES90","CC35","Mahé (Seychelles)","Sainte Anne","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia larvata","Grandisonia larvata","Grandisonia larvata","Both","TL",1.86685074368838,2.85684884821033,0.26143165235947,0.326168473547937,14,4,0.425466299176118,0.0046595153327892,55.504,-4.605,0.271109597122238,1.15228834438306,0.477265995424853,0.444915869140625,-1.86043904483796,26.9426002502441,1.8453381953877,3.36133489028187,"","No island rule","SP27"
"Maddock 2016","ES91","CC35","Mahé (Seychelles)","Silhouette","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia larvata","Grandisonia larvata","Grandisonia larvata","Both","TL",1.86685074368838,2.98182064500721,0.26143165235947,0.190610703537982,14,6,0.468281151759591,0.00208182935109676,55.233,-4.485,0.271109597122238,1.30319605742049,1.33447385691154,0.677000830078125,-1.70056375660062,26.5780200958252,1.86012644562276,3.35120666330274,"","No island rule","SP27"
"Maddock 2016","ES92","CC36","Mahé (Seychelles)","Praslin","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia sechellensis","Grandisonia sechellensis","Grandisonia sechellensis","Both","TL",2.77676721008385,2.9861543032367,0.267960870327618,0.26643076634581,19,2,0.0726989963774291,0.00447041463246543,55.73,-4.323,0.443539472255215,1.57978359661681,1.57288321419716,0.6878533203125,-1.94445679391101,26.7956714630127,1.87150894294456,3.35919021770369,"","No island rule","SP28"
"Maddock 2016","ES93","CC36","Mahé (Seychelles)","Silhouette","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia sechellensis","Grandisonia sechellensis","Grandisonia sechellensis","Both","TL",2.77676721008385,2.63084420741002,0.267960870327618,0.24443330165912,19,20,-0.0539825908756995,0.000921747727079617,55.233,-4.485,0.443539472255215,1.30319605742049,1.33447385691154,0.677000830078125,-1.70056375660062,26.5780200958252,1.86012644562276,3.35120666330274,"","No island rule","SP28"
"Maddock 2016","ES94","CC37","Mahé (Seychelles)","Praslin","Amphibians","Gymnophiona","Indotyphlidae","Grandisonia brevis","Hypogeophis brevis","Hypogeophis brevis","Both","TL",0.299848353455009,0.223628962206568,0.084139015274858,0.0666535154049815,39,15,-0.293288598614453,0.0079413702486947,55.73,-4.323,-0.523098331643168,1.57978359661681,1.57288321419716,0.6878533203125,-1.94445679391101,26.7956714630127,1.87150894294456,3.35919021770369,"","No island rule","SP29"
"Maddock 2016","ES95","CC38","Mahé (Seychelles)","Curieuse","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,7.83953516987043,0.972315302682459,0.583640838981101,106,6,0.571938143335486,0.00137928010916528,55.723,-4.283,0.645900733152899,0.46686762035411,1.62325963061961,0.5920404296875,-1.83566067037655,27.0739860534668,1.84780351002692,3.35874363358381,"","No island rule","SP30"
"Maddock 2016","ES96","CC38","Mahé (Seychelles)","Félicité","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,4.63663868043625,0.972315302682459,0.560627245082983,106,20,0.0467482816859584,0.00118651020797061,55.873,-4.326,0.645900733152899,0.428134794028789,1.7226421477302,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,"","No island rule","SP30"
"Maddock 2016","ES97","CC38","Mahé (Seychelles)","Frégate","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,5.3959836555471,0.972315302682459,1.25477062183956,106,40,0.198413509634894,0.00180736612247838,55.94,-4.5865,0.645900733152899,0.315970345456918,1.6532221646566,0.55613583984375,-1.39694785060749,26.988468170166,1.84429967564806,3.36147859653593,"","No island rule","SP30"
"Maddock 2016","ES98","CC38","Mahé (Seychelles)","La Digue","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,8.35851861115691,0.972315302682459,1.32102229271711,106,45,0.636039812060732,0.00101059121850605,55.838,-4.36,0.645900733152899,1,1.66746229245581,0.63437734375,-1.80485925216707,27.0118064880371,1.84053119907823,3.35732298270962,"","No island rule","SP30"
"Maddock 2016","ES99","CC38","Mahé (Seychelles)","Praslin","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,3.75891134871397,0.972315302682459,0.664861272136187,106,41,-0.163112019149813,0.00121857128321337,55.73,-4.323,0.645900733152899,1.57978359661681,1.57288321419716,0.6878533203125,-1.94445679391101,26.7956714630127,1.87150894294456,3.35919021770369,"","No island rule","SP30"
"Maddock 2016","ES100","CC38","Mahé (Seychelles)","Sainte Anne","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,6.0813338168688,0.972315302682459,0.798861379946587,106,17,0.317982649980973,0.00147059002230684,55.504,-4.605,0.645900733152899,1.15228834438306,0.477265995424853,0.444915869140625,-1.86043904483796,26.9426002502441,1.8453381953877,3.36133489028187,"","No island rule","SP30"
"Maddock 2016","ES101","CC38","Mahé (Seychelles)","Silhouette","Amphibians","Gymnophiona","Indotyphlidae","Hypogeophis rostratus","Hypogeophis rostratus","Hypogeophis rostratus","Both","TL",4.42487221338482,3.42219700222894,0.972315302682459,0.651396959344142,106,41,-0.256958656574193,0.0013392046396383,55.233,-4.485,0.645900733152899,1.30319605742049,1.33447385691154,0.677000830078125,-1.70056375660062,26.5780200958252,1.86012644562276,3.35120666330274,"","No island rule","SP30"
"Maddock 2016","ES102","CC39","Mahé (Seychelles)","Silhouette","Amphibians","Gymnophiona","Indotyphlidae","Praslinia cooperi","Praslinia cooperi","Praslinia cooperi","Female","TL",3.25224943409613,2.52195603339047,0.63485857867075,0.393217906621601,8,7,-0.254312086336323,0.00823608230134328,55.233,-4.485,0.512183846792047,1.30319605742049,1.33447385691154,0.677000830078125,-1.70056375660062,26.5780200958252,1.86012644562276,3.35120666330274,"","No island rule","SP31"
"Marunouchi et al. 2000, Shimada et al. 2016","ES103","CC40","Honshu","Shikoku","Amphibians","Caudata","Salamandridae","Cynops pyrrhogaster","Cynops pyrrhogaster","Cynops pyrrhogaster","Both","SVL",3.33336874772672,4.49953791452904,0.300192894760246,0.382589464499576,140,626,0.299991277256013,6.94796430398129e-05,134.095,33.854,0.522883359338516,4.2733485687491,0.919130413860614,0.737541748046875,-1.81844145831815,14.3960962295532,2.88501752549831,3.31499994259578,"","No island rule","SP32"
"Matsui and Ota 1984","ES104","CC41","Iriomotejima","Kohamajima","Amphibians","Anura","Microhylidae","Microhyla ornata","Microhyla ornata","Microhyla ornata","Female","Weight",3.83,2.29,0.22,0.16,18,27,-0.514312985626406,0.000364108256131426,123.9796,24.3425,0.583198773968623,0.894316062684438,0.361916618668643,0.6066384765625,-1.49938586084835,23.4272117614746,2.59304337691032,3.34330418724184,"","No island rule","SP33"
"Matsui et al. 2007","ES105","CC42","Guangzhou, China","Ishigakijima","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya sakishimensis","Both","SVL",5.22187535029842,14.6071388334897,0.669194241957028,1.61651566151807,5,38,1.02865377052514,0.00360688098108354,124.197,24.414,0.71782650070721,2.34740808371225,2.66931781053189,0.6272091796875,-1.77575586272411,23.1909770965576,2.59989795716094,3.33041174194912,"Phylogeny: Matsui, M., Toda, M. & Ota, H. A new species of frog allied to Fejervarya limnocharis from the Southern Ryukyus, Japan (Amphibia: Ranidae). Current Herpetology 26, 65-79","No island rule","SP10"
"Matsui et al. 2014, Aowphol et al. 2013","ES106","CC43","Thailand","Borneo","Amphibians","Anura","Rhacophoridae","Chiromantis vittatus","Chiromantis vittatus","Chiromantis inexpectatus","Unsexed","SVL",1.31011851402496,0.945680008569818,0.0212164941542503,0.00599728023112266,8,2,-0.325968626320301,5.28910392124821e-05,114,1,0.117310583945074,5.87113141195379,2.71600417881569,0.79960927734375,-1.55229701907953,25.0596599578857,1.37991262208345,3.5955034069751,"Phylogeny: Chan, Kin Onn, L. Lee Grismer, and Rafe M. Brown. ""Comprehensive multi-locus phylogeny of Old World tree frogs (Anura: Rhacophoridae) reveals taxonomic uncertainties and potential cases of over-and underestimation of species diversity."" Molecular phylogenetics and evolution 127 (2018): 1010-1019.","No island rule","SP34"
"Menzies and Tyler 1977","ES107","CC44","Papua New Guinea","Goodenough","Amphibians","Anura","Microhylidae","Copiula fistulans","Copiula fistulans","Copiula minor","Male","SVL",2.78798795048522,1.19534604739483,0.151424265681306,0.0352129023128392,20,2,-0.84688444809494,0.00058139233776366,150.249,-9.34,0.445290892435625,2.83695673705955,1.46091286998729,0.71391318359375,-1.51411315139203,22.9328632354736,1.78245279249879,3.44990245845508,"","No island rule","SP35"
"Newman 1990, Bell 1978","ES108","CC45","New Zealand (North)","Stephens","Amphibians","Anura","Leiopelmatidae","Leiopelma archeyi","Leiopelma archeyi","Leiopelma hamilton","Unsexed","SVL",1.81456433202982,3.5481698527265,0.430799660492793,0.881937766189679,171,99,0.670586534656434,0.000953685146530357,173.9966,-40.6712,0.258772369918935,0.176091259055681,1.91381914862559,0.509886376953125,-1.22674799998275,13.1764011383057,2.42829296789607,3.13376236920288,"Phylogeny: Bell, B. D., Daugherty, C. H., & Hay, J. M. (1998). Leiopelma pakeka, n. sp.(Anura: Leiopelmatidae), a cryptic species of frog from Maud Island, New Zealand, and a reassessment of the conservation status of L. hamiltoni from Stephens Island. Journal of the Royal Society of New Zealand, 28(1), 39-54.","No island rule","SP15"
