"","Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type","imputed","SPID"
"837","Thomas and Broughton 1978","ES838","CC362","Boothia Peninsula","Prince Patrick Island","Mammals","Cetartiodactyla","Cervidae","Rangifer tarandus","Rangifer tarandus","Rangifer tarandus","Herb","Female","Weight",79500,56100,4762.352,2381.176,7,7,-0.348621209131636,0.000770008647210578,-119.5,76.75,4.90036712865647,4.19997446253049,2.90309052985971,0.0442197937011719,-1.87562781896158,-17.7840595245361,3.15177204261108,2.03574657944223,"No","Conspecific","No island rule","No","SP168"
"838","Thomas and Broughton 1978","ES839","CC362","Boothia Peninsula","Somerset","Mammals","Cetartiodactyla","Cervidae","Rangifer tarandus","Rangifer tarandus","Rangifer tarandus","Herb","Female","Weight",79500,63800,4762.352,6928.203,7,3,-0.220003831309542,0.00444341659278965,-93.48,73.247,4.90036712865647,4.39420644536023,0.301247088636211,0.0383634460449219,-2.05032584095032,-17.6175804138184,3.18074644314581,2.24160748550177,"No","Conspecific","No island rule","No","SP168"
"839","Chasen and Kloss 1931","ES840","CC363","Borneo","Banggi","Mammals","Rodentia","Muridae","Rattus exulans","Rattus exulans","Rattus exulans","Omn","Male","Length",66.2979179277211,82.4250242777799,2.70727711631582,1.94393248902685,3,4,0.217730590608043,0.000694887308605164,117.18,7.27,1.82149988969135,2.64443858946784,1.08639542712425,0.81774609375,-1.63784540561402,27.254337310791,1.76274521010868,3.35478049883127,"No","Conspecific","No island rule","No","SP169"
"840","Kloss 1919","ES841","CC364","Satahip, Cape Liant, SW Siam","Koh Kram","Mammals","Rodentia","Muridae","Maxomys rajah","Rattus rajah","Rattus rajah","Omn","Both","Length",227.322386928527,162.909794017431,14.404609484055,4.01751320739904,6,6,-0.333172579992843,0.000770578091976143,100.787,12.7005,2.35664220757173,1.13672056715641,0.518645524330312,0.675954638671875,-1.60979979698088,27.5388011932373,2.07874069890563,3.07114529045108,"No","Conspecific","No island rule","No","SP54"
"841","Granjon and Cheylan 1990","ES842","CC365","Provance ","Bagaud","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","CBL",201.979750049485,262.26142914063,9.00848650455448,10.2149965835956,20,20,0.261174382319597,0.000175316034396507,6.3628,43.0137,2.30530783042382,-0.346787486224656,0.875119165462568,0.60297421875,-1.96512730130185,15.4641494750977,2.69982304346984,2.86642912061118,"No","Conspecific","Island rule","No","SP170"
"842","Granjon and Cheylan 1990","ES843","CC366","Corsica","Cavallo","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",133.369276826353,174.511704787025,6.27084115264281,7.14404212143383,73,12,0.268870017228001,0.000169939644195414,9.2609,41.3687,2.12505579628585,0.0791812460476248,0.398113691730502,0.605576953125,-1.8236754957732,16.7973308563232,2.70583347315897,2.67265192847265,"No","Conspecific","Island rule","No","SP170"
"843","Ventura and López-Fuster 2000","ES844","CC367","Spain","Congreso","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",239.563301874729,243.437309043603,10.9898077922851,16.8052388326652,35,18,0.0160417612666115,0.000324881321199295,-2.441,35.178,2.37942029028666,-0.585026652029182,0.544192110765033,0.255763159179688,-1.72897638694431,18.4324474334717,2.67756395987244,2.52125579339216,"No","Conspecific","Island rule","No","SP170"
"844","Ventura and López-Fuster 2000","ES845","CC368","Morocco","Congreso","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","CBL",147.548901533692,147.548901533692,6.52004085959865,6.52004085959865,9,20,0,0.000314596702563213,-2.441,35.178,2.16893598062939,-0.585026652029182,0.544192110765033,0.255763159179688,-1.72897638694431,18.4324474334717,2.67756395987244,2.52125579339216,"No","Conspecific","Island rule","No","SP170"
"845","Granjon and Cheylan 1990","ES846","CC369","Toscana","Corsica","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",163.619864427396,133.369276826353,10.6811349972823,6.27084115264281,21,73,-0.204424039194715,0.000233212964788954,9.12,42.1,2.21383602847649,3.93856975622106,1.90417978339357,0.627191943359375,-1.92281432857012,12.0827579498291,2.78330610180206,2.90464717566751,"No","Conspecific","Island rule","No","SP170"
"846","Kloss 1919","ES847","CC370","Tachin, C. Siam","Koh Kram","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",186.150524150579,191.414363796385,7.45781107965342,3.91369927753512,5,5,0.0278849061033037,0.00040462372885239,100.787,12.7005,2.26986426341438,1.13672056715641,0.518645524330312,0.675954638671875,-1.60979979698088,27.5388011932373,2.07874069890563,3.07114529045108,"No","Conspecific","No island rule","No","SP170"
