"","Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type","imputed","SPID"
"1","Renaud 2020","ES1","CC1","Turkey","Cyprus","Mammals","Rodentia","Muridae","Acomys cahirinus","Acomys cahirinus","Acomys cahirinus","Herb","Both","Length",25.1008981348687,48.9872038959015,3.03106661524633,3.36432510940496,16,6,0.668655491261482,0.00169746806514682,33.254,35.025,1.39968926124355,3.96614173273903,1.84510424417683,0.324397705078125,-1.53930109875927,19.0325736999512,2.81274718568516,2.60594554871405,"No","Conspecific","Island rule","No","SP1"
"2","Kitchener et al 1993","ES2","CC2","Java","Bali","Mammals","Chiroptera","Pteropodidae","Aethalops alecto","Aethalops alecto ocypete","Aethalops alecto boeadii","Herb","Unsexed","Length",13.4919787634439,14.0611850649608,0.471493881518202,0.694350839706569,5,7,0.0413228259137662,0.000592598071851761,115.155,-8.274,1.13007564893235,3.74973631556906,0.398113691730502,0.70758955078125,-1.7127583914303,23.3216743469238,1.79013910267233,3.32191741131671,"No","Conspecific","No island rule","No","SP2"
"3","Kitchener et al 1993","ES3","CC2","Java","Lombok","Mammals","Chiroptera","Pteropodidae","Aethalops alecto","Aethalops alecto ocypete","Aethalops alecto boeadii","Herb","Unsexed","Length",13.4919787634439,12.0953981003026,0.471493881518202,0.744266760742955,5,20,-0.109270285214397,0.000433563714593531,116.417,-8.375,1.13007564893235,3.67440181284528,2.12385490632685,0.654223681640625,-1.585497869716,23.413516998291,1.75827056984367,3.24551152318219,"No","Conspecific","No island rule","No","SP2"
"4","Goltsman et al 2005","ES4","CC3","Chukotka ","Bering","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Both","Weight",3208.69565217391,5110.10309278351,615.561859736335,1218.52943294535,23,194,0.465355063047846,0.0018932387217459,166.281,55.002,3.50632852580545,3.22010808804005,2.25768097427958,0.32575859375,-1.65746380474619,1.24108469486237,2.80879505825039,2.89600578546423,"No","Conspecific","Island rule","No","SP3"
"5","Meiri et al 2006","ES5","CC4","Quebec 55-60N, W. of 76W","Flaherty","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",6145.69004496944,5949.722794655,215.720426401968,175.503062229741,16,5,-0.0324064011046821,0.000251028123099325,-79.371,56.149,3.78857065303167,3.20002926655377,2.0000043429231,0.166087390136719,-1.96140177436911,-3.95003509521484,3.05619718306078,2.71486029660256,"No","Conspecific","Island rule","No","SP3"
"6","Goltsman et al 2005","ES6","CC3","Chukotka ","Mednyi","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Both","Weight",3208.69565217391,6753.84615384615,615.561859736335,1245.09905626782,23,39,0.744247627502257,0.00247158876596238,167.727,54.702,3.50632852580545,2.42473695655295,2.46982348816035,0.28991572265625,-1.77253122057666,1.41353857517242,2.74854823393201,3.05499586152914,"No","Conspecific","Island rule","No","SP3"
"7","Meiri et al 2006","ES7","CC5","Nunavut N. of 62N, E. of 98W","Southampton","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",5363.0937486332,5480.91889252285,266.621245826266,256.444864359281,2,24,0.0217317675396163,0.00132696042476983,-84.31,64.497,3.72941538863904,4.61504476676008,1.3617467179759,0.0796668334960938,-2.05221605120824,-11.9087352752686,3.16595279374313,2.40427647260145,"No","Conspecific","Island rule","Yes","SP3"
"8","Meiri et al 2006","ES8","CC4","Quebec 55-60N, W. of 76W","Tukarak","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",6145.69004496944,5852.59921880443,305.527296939277,273.835289710826,16,4,-0.0488651569696583,0.000701762814540578,-78.75,56.25,3.78857065303167,2.54282542695918,2.06070161681095,0.207045141601563,-2.12028173428173,-4.12719535827637,3.09757752440894,2.72733788803308,"No","Conspecific","Island rule","Yes","SP3"
"9","Meiri et al 2006","ES9","CC6","Greenland","Ymer","Mammals","Carnivora","Canidae","Vulpes lagopus","Alopex lagopus","Alopex lagopus","Carn","Male","CBL",4970.40544932393,5263.41938511132,247.099110191416,246.268353308834,24,3,0.0572794726366784,0.000832705033088453,-24.494,73.14,3.69639181674582,3.38685552918472,1.80618675978215,0.0650081176757813,-1.86247943888737,-10.0027894973755,2.90814467669269,2.63554727975618,"No","Conspecific","Island rule","Yes","SP3"
"10","Motokawa and Lin 2002","ES10","CC7","Vietnam","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","Inver","Unsexed","Length",27.7345395615598,16.9882955337239,1.09055022341329,2.20351184249502,12,29,-0.490153943103096,0.000708985652963961,120.66,23.776,1.44302096028034,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"No","Conspecific","No island rule","No","SP4"
"11","Motokawa and Lin 2002","ES11","CC8","Sichuan","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","Inver","Unsexed","Length",28.4945887581515,16.9882955337239,2.41674866875032,2.20351184249502,12,29,-0.517189592195963,0.00117959596476531,120.66,23.776,1.45476239349605,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"No","Conspecific","No island rule","No","SP4"
"12","Motokawa and Lin 2002","ES12","CC9","Yunnan","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","Inver","Unsexed","Length",28.8665868057356,16.9882955337239,1.07332330178106,2.20351184249502,13,29,-0.530160151435127,0.000686487877039757,120.66,23.776,1.46039543580081,4.53790720385597,2.15442701651311,0.599242626953125,-1.67388919625799,20.4277744293213,2.60730023921783,3.32563876173415,"No","Conspecific","No island rule","No","SP4"
"13","Meiri et al 2006","ES13","CC10","Borneo","Palawan","Mammals","Carnivora","Mustelidae","Aonyx cinereus","Aonyx cinerea","Aonyx cinerea","Inver","Both","CBL",1834.81862268538,2057.45942040134,91.216310953036,96.2657744688287,13,3,0.114526297206898,0.000919840872777337,118.574,9.668,3.26359313940002,4.08596807704607,2.161370997359,0.712584814453125,-1.6510182741633,26.8827838897705,1.78894304871206,3.21063642489379,"No","Conspecific","Island rule","Yes","SP5"
"14","Oh et al. 2003","ES14","CC11","S Korea","Cheju Do","Mammals","Rodentia","Muridae","Apodemus agrarius","Apodemus agrarius coreae","Apodemus agrarius chejuensis","Herb","Both","Weight",22.915,34.11,6.00469687955892,4.33575179060605,40,40,0.397798878469467,0.00212058212280468,126.591,33.377,1.36011986158081,3.26150077319828,1.91381914862559,0.607816064453125,-1.81743260081951,14.3664684295654,2.88354215355737,3.27150487671279,"No","Conspecific","Island rule","No","SP6"
"15","Millien 2004","ES15","CC12","Mt Hayachine (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",23.914222685877,25.3037660610437,1.18887346451854,1.74336970893017,6,14,0.0564798674231813,0.000750978056655626,141.934,43.224,1.37865626901644,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","Yes","SP7"
"16","Millien 2004","ES16","CC13","Mt Fuji (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",25.8861205892518,25.3037660610437,1.76783262560744,1.74336970893017,31,14,-0.0227536996599298,0.000489511260105209,141.934,43.224,1.41306696998215,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP7"
"17","Millien 2004","ES17","CC14","Nikko (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.343986817429,25.3037660610437,1.82815575665714,1.74336970893017,37,14,-0.0775434034488428,0.000459872651896807,141.934,43.224,1.43686183600279,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP7"
"18","Millien 2004","ES18","CC15","Mt Odaigahara (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.7501027123556,25.3037660610437,1.31766869479372,1.74336970893017,15,14,-0.0922863007085147,0.000489374608378696,141.934,43.224,1.44326459492993,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP7"
"19","Millien 2004","ES19","CC16","Mt Goyo (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",28.5733647611347,25.3037660610437,1.60976702879632,1.74336970893017,6,14,-0.121521741013153,0.00086805874778846,141.934,43.224,1.45596138533025,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP7"
"20","Millien 2004","ES20","CC12","Mt Hayachine (Honshu)","Oki Island","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",23.914222685877,30.6241531525049,1.18887346451854,0.839784821366679,6,3,0.24731564291941,0.000662575787793362,133.276,36.259,1.37865626901644,2.38560627359831,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","Yes","SP7"
"21","Millien 2004","ES21","CC13","Mt Fuji (Honshu)","Oki Island","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",25.8861205892518,30.6241531525049,1.76783262560744,0.839784821366679,31,3,0.168082075836299,0.000401108991242946,133.276,36.259,1.41306696998215,2.38560627359831,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","No","SP7"
"22","Millien 2004","ES22","CC14","Nikko (Honshu)","Oki Island","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.343986817429,30.6241531525049,1.82815575665714,0.839784821366679,37,3,0.113292372047386,0.000371470383034544,133.276,36.259,1.43686183600279,2.38560627359831,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","No","SP7"
"23","Millien 2004","ES23","CC15","Mt Odaigahara (Honshu)","Oki Island","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.7501027123556,30.6241531525049,1.31766869479372,0.839784821366679,15,3,0.0985494747877139,0.000400972339516433,133.276,36.259,1.44326459492993,2.38560627359831,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","No","SP7"
"24","Millien 2004","ES24","CC16","Mt Goyo (Honshu)","Oki Island","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",28.5733647611347,30.6241531525049,1.60976702879632,0.839784821366679,6,3,0.069314034483075,0.000779656478926197,133.276,36.259,1.45596138533025,2.38560627359831,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","No","SP7"
"25","Millien 2004","ES25","CC12","Mt Hayachine (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",23.914222685877,26.8081910566613,1.18887346451854,1.80613414241221,6,9,0.114234103862046,0.000916253788512905,138.3667,38.0167,1.37865626901644,2.9329808219232,1.49970082589721,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,"No","Conspecific","Island rule","Yes","SP7"
"26","Millien 2004","ES26","CC13","Mt Fuji (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",25.8861205892518,26.8081910566613,1.76783262560744,1.80613414241221,31,9,0.0350005367789345,0.000654786991962489,138.3667,38.0167,1.41306696998215,2.9329808219232,1.49970082589721,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,"No","Conspecific","Island rule","No","SP7"
"27","Millien 2004","ES27","CC14","Nikko (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.343986817429,26.8081910566613,1.82815575665714,1.80613414241221,37,9,-0.0197891670099782,0.000625148383754087,138.3667,38.0167,1.43686183600279,2.9329808219232,1.49970082589721,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,"No","Conspecific","Island rule","No","SP7"
"28","Millien 2004","ES28","CC15","Mt Odaigahara (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.7501027123556,26.8081910566613,1.31766869479372,1.80613414241221,15,9,-0.0345320642696501,0.000654650340235976,138.3667,38.0167,1.44326459492993,2.9329808219232,1.49970082589721,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,"No","Conspecific","Island rule","No","SP7"
"29","Millien 2004","ES29","CC16","Mt Goyo (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",28.5733647611347,26.8081910566613,1.60976702879632,1.80613414241221,6,9,-0.063767504574289,0.00103333447964574,138.3667,38.0167,1.45596138533025,2.9329808219232,1.49970082589721,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,"No","Conspecific","Island rule","No","SP7"
"30","Millien 2004","ES30","CC12","Mt Hayachine (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",23.914222685877,33.6735357455703,1.18887346451854,0.296683134322205,6,3,0.342238866008037,0.000437790275554893,131,30.6667,1.37865626901644,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule","Yes","SP7"
"31","Millien 2004","ES31","CC13","Mt Fuji (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",25.8861205892518,33.6735357455703,1.76783262560744,0.296683134322205,31,3,0.263005298924926,0.000176323479004476,131,30.6667,1.41306696998215,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule","No","SP7"
"32","Millien 2004","ES32","CC14","Nikko (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.343986817429,33.6735357455703,1.82815575665714,0.296683134322205,37,3,0.208215595136013,0.000146684870796074,131,30.6667,1.43686183600279,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule","No","SP7"
"33","Millien 2004","ES33","CC15","Mt Odaigahara (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.7501027123556,33.6735357455703,1.31766869479372,0.296683134322205,15,3,0.193472697876341,0.000176186827277963,131,30.6667,1.44326459492993,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule","No","SP7"
"34","Millien 2004","ES34","CC16","Mt Goyo (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",28.5733647611347,33.6735357455703,1.60976702879632,0.296683134322205,6,3,0.164237257571702,0.000554870966687727,131,30.6667,1.45596138533025,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule","No","SP7"
"35","Millien 2004","ES35","CC12","Mt Hayachine (Honshu)","Tsushima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",23.914222685877,27.546586434744,1.18887346451854,1.57409065341394,6,27,0.141405250157087,0.000532852142323676,129.3333,34.4167,1.37865626901644,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"No","Conspecific","Island rule","Yes","SP7"
"36","Millien 2004","ES36","CC13","Mt Fuji (Honshu)","Tsushima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",25.8861205892518,27.546586434744,1.76783262560744,1.57409065341394,31,27,0.0621716830739761,0.00027138534577326,129.3333,34.4167,1.41306696998215,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"No","Conspecific","Island rule","No","SP7"
"37","Millien 2004","ES37","CC14","Nikko (Honshu)","Tsushima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.343986817429,27.546586434744,1.82815575665714,1.57409065341394,37,27,0.00738197928506321,0.000241746737564858,129.3333,34.4167,1.43686183600279,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"No","Conspecific","Island rule","No","SP7"
"38","Millien 2004","ES38","CC15","Mt Odaigahara (Honshu)","Tsushima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",27.7501027123556,27.546586434744,1.31766869479372,1.57409065341394,15,27,-0.00736091797460855,0.000271248694046746,129.3333,34.4167,1.44326459492993,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"No","Conspecific","Island rule","No","SP7"
"39","Millien 2004","ES39","CC16","Mt Goyo (Honshu)","Tsushima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",28.5733647611347,27.546586434744,1.60976702879632,1.57409065341394,6,27,-0.0365963582792474,0.000649932833456511,129.3333,34.4167,1.45596138533025,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"No","Conspecific","Island rule","No","SP7"
"40","Ursin 1956","ES40","CC17","Jutland","Fyn","Mammals","Rodentia","Muridae","Apodemus flavicollis","Apodemus flavicollis","Apodemus flavicollis","Herb","Unsexed","Length",37.8280375000405,37.3123003161325,0.51416750000055,1.34688303580185,42,6,-0.0137275210059595,0.000221571098973935,10.261,55.327,1.57781381089329,3.47494433546539,-0.186419011431808,0.561219775390625,-1.36691054740253,8.33697509765625,2.78402036105908,2.80536108157804,"No","Conspecific","No island rule","No","SP8"
"41","Ursin 1956","ES41","CC17","Jutland","Lolland","Mammals","Rodentia","Muridae","Apodemus flavicollis","Apodemus flavicollis","Apodemus flavicollis","Herb","Unsexed","Length",37.8280375000405,41.3476031416261,0.51416750000055,1.08911842706071,42,13,0.0889638941706315,5.77698842826509e-05,11.487,54.735,1.57781381089329,3.09447112864164,1.79239869419147,0.456516796875,-1.40017510787031,8.72486400604248,2.79009536171835,2.76371764841034,"No","Conspecific","No island rule","No","SP8"
"42","Ursin 1956","ES42","CC17","Jutland","Sjaelland","Mammals","Rodentia","Muridae","Apodemus flavicollis","Apodemus flavicollis","Apodemus flavicollis","Herb","Unsexed","Length",37.8280375000405,39.7227382324317,0.51416750000055,0.379033761759844,42,82,0.0488732146972614,5.50914033174762e-06,11.781,55.511,1.57781381089329,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"No","Conspecific","No island rule","No","SP8"
"43","Ursin 1956","ES43","CC17","Jutland","Thuro","Mammals","Rodentia","Muridae","Apodemus flavicollis","Apodemus flavicollis","Apodemus flavicollis","Herb","Unsexed","Length",37.8280375000405,30.113295822201,0.51416750000055,1.71170313094616,42,8,-0.228083764590676,0.000408276897252781,10.69,55.047,1.57781381089329,0.8750612633917,-0.696803942579511,0.55441904296875,-1.34755277592498,8.61749076843262,2.78028592433373,2.77614887969039,"No","Conspecific","No island rule","No","SP8"
"44","Takada et al. 2006","ES44","CC18","Nagoya","Chiburijima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,48.1,7.438,14.7,90,31,0.28422305827999,0.00348197310117407,133.025,36.017,1.55870857053317,1.11394335230684,1.77815848856469,0.7050634765625,-1.6786845319048,13.7976579666138,2.89017426429829,3.21623982619375,"No","Conspecific","Island rule","No","SP9"
"45","Takada et al. 2006","ES45","CC18","Nagoya","Dogo","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,37.3,7.438,7.7,90,24,0.0299342078180442,0.00224471653449934,133.263,36.254,1.55870857053317,2.38381536598043,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","No","SP9"
"46","Millien and Damuth 2004","ES46","CC19","Kisuki-Cho","Hokkaido","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",35.6205818696926,61.1176115603765,4.60610972452921,3.84656296533838,15,18,0.53987645301614,0.00133480401258105,141.934,43.224,1.55170100947682,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP9"
"47","Millien and Damuth 2004","ES47","CC20","Mount Fuji (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",35.6205818696926,61.1176115603765,3.99196176125865,3.84656296533838,13,18,0.53987645301614,0.00118617143231946,141.934,43.224,1.55170100947682,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP9"
"48","Millien and Damuth 2004","ES48","CC21","Mount Hayachine (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",38.8764868428103,61.1176115603765,4.21161940797112,3.84656296533838,7,18,0.452410449692881,0.0018966469622064,141.934,43.224,1.58968701207425,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP9"
"49","Millien and Damuth 2004","ES49","CC22","Nikko (Honshu)","Hokkaido","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",45.9199195965394,61.1176115603765,2.51124560293575,3.84656296533838,5,18,0.285901065157948,0.000818204191869101,141.934,43.224,1.66200111896287,4.89493050903342,1.25529663190434,0.461188916015625,-1.81423384505817,6.3526086807251,2.99225655150984,3.08674128033373,"No","Conspecific","Island rule","No","SP9"
"50","Takada et al. 2006","ES50","CC18","Nagoya","Kozushima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,36.6,7.438,9,90,57,0.0109891215755952,0.00152992161663997,139.146,34.21,1.55870857053317,1.26670196688409,1.68215410527128,0.64825400390625,-1.81027878180743,16.8575305938721,2.7908118958869,3.38725631366199,"No","Conspecific","Island rule","No","SP9"
"51","Takada et al. 2006","ES51","CC18","Nagoya","Miyake","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,29.5,7.438,3.7,90,36,-0.204668855485951,0.000906061570520232,139.525,34.085,1.55870857053317,1.74036268949424,1.88081930664427,0.59643564453125,-1.65494839489455,16.6387729644775,2.79472382467554,3.4331807885939,"No","Conspecific","Island rule","No","SP9"
"52","Takada et al. 2006","ES52","CC18","Nagoya","Nakanoshima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,41.1,7.438,17.1,90,41,0.126949002670464,0.00469114935027906,129.865,29.857,1.55870857053317,1.50514997831991,2.15836550801868,0.6591880859375,-1.48219421960276,18.6588611602783,2.75096047736286,3.46965708272672,"No","Conspecific","Island rule","No","SP9"
"53","Takada et al. 2006","ES53","CC18","Nagoya","Niijima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,48,7.438,2.6,90,3,0.282141892076166,0.00144709550340457,139.265,34.373,1.55870857053317,1.36172783601759,1.56821346159708,0.653934423828125,-1.97802925173508,16.8583812713623,2.79101858420132,3.37060560093815,"No","Conspecific","Island rule","No","SP9"
"54","Takada et al. 2006","ES54","CC18","Nagoya","Nishinoshima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Male","Weight",36.2,35.2,7.438,12.6,90,8,-0.028013036227674,0.0164855183205916,132.99,36.098,1.55870857053317,1.7481880270062,1.69020494309077,0.65638603515625,-1.3960207914663,13.7420463562012,2.89039689893846,3.21609725199325,"No","Conspecific","Island rule","No","SP9"
"55","Millien and Damuth 2004","ES55","CC19","Kisuki-Cho","Oki Island","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",35.6205818696926,45.0000501049885,4.60610972452921,3.54331103188886,15,33,0.233739990008745,0.00130262351559906,133.276,36.259,1.55170100947682,2.38560627359831,1.81292003804503,0.749363330078125,-1.54450118300411,13.2874927520752,2.89339782070591,3.23464380776177,"No","Conspecific","Island rule","No","SP9"
