"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Rogers et al. 1990","ES11","CC8","Vic, Australia","Tasmania","Birds","Passeriformes","Meliphagidae","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris tenuirostris","Acanthorhynchus tenuirostris dubius","Omnivore","Both","Weight",11.0923076923077,9.78471337579618,1.00482850262138,1.04712307979675,78,157,-0.125430559173039,0.000178152885417562,146.5,-42.1,1.04502190807657,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP6"
"Ford 1976","ES12","CC9","s Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris halmaturinus","Acanthorhynchus tenuirostris halmaturinus","Omnivore","Both","Weight",10.675,10.071186440678,1.68493323309857,1.10325784766467,16,59,-0.0582260399918972,0.0017604706284088,137.207,-35.819,1.02836788369706,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"Conspecific","No island rule","SP6"
"Pigot et al. 2020","ES14","CC10","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter badius","Accipiter badius","Accipiter badius","VertFishScav","Female","Wing Length",220.415204830371,193.463067063864,15.6063579024988,13.5811073078833,4,4,-0.130426435967622,0.0024853244114272,80.714,7.74,2.34324155000808,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP7"
"Marchant & Higgins, 1993","ES15","CC11","Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter cirrocephalus","Accipiter cirrocephalus","Accipiter cirrocephalus","VertFishScav","Both","Wing Length",324.078545621486,343.016584747646,24.4335675834017,31.6394253162878,72,11,0.0567928868611044,0.000852401497420213,146.5,-42.1,2.51065028118152,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP8"
"Pigot et al. 2020","ES17","CC12","Australia","Christmas","Birds","Accipitriformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus","Accipiter fasciatus","VertFishScav","Female","Wing Length",592.213988436328,453.156798053482,6.47951775583276,13.0844118783488,4,4,-0.267629838362453,0.000238353109663988,105.6333,-10.4833,2.77247866146084,2.13033376849501,2.54406928518988,0.711173388671875,-1.40869176470873,23.8653392791748,1.94714401283169,3.30726064737094,"Conspecific","No island rule","SP9"
"Olsen et al. 1990, Aumann 1986","ES18","CC13","Vitoria, Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus fasciatus","Accipiter fasciatus fasciatus","VertFishScav","Both","Weight",447.923076923077,487.034482758621,122.326207697875,150.196922585608,13,29,0.0837134126862201,0.00901652958268282,146.5,-42.1,2.65120343780119,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP9"
"Pigot et al. 2020","ES20","CC14","Madagascar","Mayotte","Birds","Accipitriformes","Accipitridae","Accipiter francesiae","Accipiter francesiae","Accipiter francesiae","Invertebrate","Male","Wing Length",132.321403768087,97.3168306372697,3.53106739740876,0.799056917301475,4,3,-0.307261889129296,0.000200502294795529,45.152,-12.801,2.12163009956564,2.57403126772772,2.47712270236552,0.721075146484375,-1.78140009051222,25.0633850097656,2.10900254419108,3.14802547558644,"Conspecific","No island rule","SP10"
"Pigot et al. 2020","ES22","CC15","France","Great Britain","Birds","Accipitriformes","Accipitridae","Accipiter nisus","Accipiter nisus","Accipiter nisus","VertFishScav","Male","Wing Length",223.620496527841,227.214617269807,13.402397819962,2.87977968656282,4,4,0.015944618226671,0.000938170591682925,-1.6,53.186,2.34951160744775,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"Conspecific","No island rule","SP11"
"Pigot et al. 2020","ES24","CC16","Australia","New Guinea","Birds","Accipitriformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","VertFishScav","Female","Wing Length",620.005598825176,385.37214962238,15.8112139134306,7.83405396562949,3,2,-0.475519018556563,0.000423404182633375,141.814,-5.752,2.79239561131745,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Conspecific","No island rule","SP12"
"Olsen et al. 1990, Marchant and Higgins 1993","ES25","CC17","Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter novaehollandiae","Accipiter novaehollandiae","Accipiter novaehollandiae","VertFishScav","Both","Weight",606.25,551.428571428571,197.424922438886,192.093340406614,16,14,-0.0947801288481305,0.0152959519989853,146.75,-42,2.78265175161032,4.83506245100823,2.30103216713096,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP12"
