"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Dietzen et al. 2008a","ES208","CC121","Morocco","La Gomera","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore","Unsexed","Weight",9.8,11.2,0.4,1,4,8,0.133531392624523,0.00141298547480217,-17.227,28.124,0.991226075692495,2.56791992813503,2.5237477670925,0.5626884765625,-2.10138676062551,17.0066795349121,2.42138764831647,2.52067999364186,"Conspecific","No island rule","SP104"
"Dietzen et al. 2008a","ES209","CC121","Morocco","Lanzarote","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore","Unsexed","Weight",9.8,10.7,0.4,0.7,4,14,0.087861355791334,0.000722196682759014,-13.667,29.012,0.991226075692495,2.92731902495966,2.10380714058408,0.132060974121094,-1.93002685533856,19.3087368011475,2.37727813625928,2.1753958154642,"Conspecific","No island rule","SP104"
"Dietzen et al. 2008a","ES210","CC121","Morocco","Tenerife","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus","Parus caeruleus","Omnivore","Unsexed","Weight",9.8,10.9,0.4,0.7,4,10,0.106380403558572,0.000828916324564005,-16.629,28.304,0.991226075692495,3.30835094858673,2.49831193250005,0.359321215820313,-1.95980585903315,17.1494407653809,2.47083982326524,2.50907599957652,"Conspecific","No island rule","SP104"
"Carrascal et al. 1994","ES211","CC122","Mainland Spain (Guadarrama)","Tenerife","Birds","Passeriformes","Paridae","Cyanistes caeruleus","Parus caeruleus ogliastroe","Parus caeruleus teneriffae","Omnivore","Unsexed","Weight",10.3,10.3,0.96,0.25,14,12,0,0.000669590958260955,-16.629,28.304,1.01283722470517,3.30835094858673,2.49831193250005,0.359321215820313,-1.95980585903315,17.1494407653809,2.47083982326524,2.50907599957652,"Conspecific","No island rule","SP104"
"Pigot et al. 2020","ES213","CC123","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Cyanomitra cyanolaema","Cyanomitra cyanolaema","Cyanomitra cyanolaema","Omnivore","Male","Wing Length",16.9045452467758,16.9045452467758,0.591417590133627,1.29295621787482,4,4,0,0.00176851617346939,8.7,3.5,1.22800349219896,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP105"
"Pigot et al. 2020","ES215","CC124","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Cyanomitra olivacea","Cyanomitra olivacea","Cyanomitra olivacea","FruiNect","Male","Wing Length",13.1085270231923,13.5681059590691,0.459472006488811,0.30384093812434,4,4,0.0344589522493962,0.000432520015729426,8.7,3.5,1.11755389370081,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP106"
"Pigot et al. 2020","ES217","CC125","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Cyanomitra oritis","Cyanomitra oritis","Cyanomitra oritis","Omnivore","Male","Wing Length",12.1555813512964,11.4840635751634,0.247567848295243,0.494197535851198,4,4,-0.0568281365645122,0.000566666530890494,8.7,3.5,1.08477573418902,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP107"
"Grant 1965","ES218","CC126","Nayarit (Mexico)","Tres Marias","Birds","Apodiformes","Trochilidae","Cynanthus latirostris","Cynanthus latirostris","Cynanthus latirostris","FruiNect","Both","Wing Length",8.16488220201242,8.32589999127388,0.372193563752578,0.246822733191339,63,42,0.0195288379526313,5.39082155469938e-05,-106.552,21.609,0.911949923379481,2.16221180985945,1.93952424448053,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Conspecific","No island rule","SP108"
"Pigot et al. 2020","ES220","CC127","Papua New Guinea","Aru ","Birds","Coraciiformes","Alcedinidae","Dacelo gaudichaud","Dacelo gaudichaud","Dacelo gaudichaud","Invertebrate","Male","Wing Length",79.8525966396859,80.6251270704189,1.58599541941284,2.2840696917957,4,4,0.00962795808047335,0.00029926034721283,134.52,-6.164,1.90228904305373,3.32559775286002,2.25527491784373,0.64876396484375,-1.60824308473201,27.0203990936279,1.87899386545158,3.39682272429734,"Conspecific","No island rule","SP109"
"Pigot et al. 2020","ES222","CC128","Australia","New Guinea","Birds","Coraciiformes","Alcedinidae","Dacelo leachii","Dacelo leachii","Dacelo leachii","Omnivore","Male","Wing Length",203.449472140304,230.114758176485,9.69551259285846,10.4407679687137,4,4,0.123160453181435,0.00108241945759149,141.814,-5.752,2.3084565673923,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Conspecific","No island rule","SP110"
"Pigot et al. 2020","ES224","CC129","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Deleornis fraseri","Deleornis fraseri","Deleornis fraseri","Invertebrate","Male","Wing Length",16.3053688462914,20.6059197744925,0.385893729362229,1.09653415988091,4,4,0.234083971554071,0.000847974101122984,8.7,3.5,1.2123306274963,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP111"
"Pigot et al. 2020","ES226","CC130","India","Sri Lanka","Birds","Passeriformes","Dicruridae","Dicrurus caerulescens","Dicrurus caerulescens","Dicrurus caerulescens","Invertebrate","Female","Wing Length",71.6477154242286,58.0762899763339,1.90887929367202,1.20717528509759,4,4,-0.210003777890886,0.000285471359102013,80.714,7.74,1.85520234693896,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP112"
"Pigot et al. 2020","ES228","CC131","Malaysia","Java","Birds","Passeriformes","Dicruridae","Dicrurus leucophaeus","Dicrurus leucophaeus","Dicrurus leucophaeus","Invertebrate","Male","Wing Length",95.7335103913493,80.6251270704189,3.37310772928089,2.2840696917957,4,4,-0.171758046814154,0.000511004972678059,107.5667,-6.95,1.98106398407395,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"Conspecific","No island rule","SP113"
"Pigot et al. 2020","ES230","CC132","Malaysia","Sumatra","Birds","Passeriformes","Dicruridae","Dicrurus remifer","Dicrurus remifer","Dicrurus remifer","Invertebrate","Male","Wing Length",79.4680074501336,77.8148406504992,3.25527907204208,1.94435801480842,4,3,-0.0210223518003226,0.000627616274830476,101.6,-0.4,1.90019232382273,5.67541811299103,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"Conspecific","No island rule","SP114"
"Grant 1965","ES231","CC133","Nayarit (Mexico)","Tres Marias","Birds","Piciformes","Picidae","Picoides scalaris","Dryobates scalaris","Dryobates scalaris","Invertebrate","Both","Wing Length",38.7046874712667,39.7417167468187,1.39421509264919,0.891828210805005,74,50,0.0264407196681567,2.76064117130635e-05,-106.552,21.609,1.58776356500928,2.16221180985945,1.93952424448053,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Conspecific","No island rule","SP115"
"Pigot et al. 2020","ES233","CC134","Papua New Guinea","Misool","Birds","Columbiformes","Columbidae","Ducula rufigaster","Ducula rufigaster","Ducula rufigaster","FruiNect","Male","Wing Length",232.30439367581,214.436505594132,0.952564749947038,2.46643700597764,4,4,-0.0800348700658648,3.72772179305787e-05,130.0836,-1.8947,2.36605742388166,3.30826553320993,1.84510424417683,0.747617822265625,-1.65525359139461,27.1359195709229,1.69271459147221,3.48167327638994,"Conspecific","No island rule","SP116"
"Pigot et al. 2020","ES235","CC135","Cameroon","Bioko","Birds","Passeriformes","Platysteiridae","Dyaphorophyia castanea","Dyaphorophyia castanea","Dyaphorophyia castanea","Invertebrate","Male","Wing Length",10.3213790550313,12.03177851868,0.427215341756078,0.282660678164818,4,4,0.153333978859262,0.000566288431506416,8.7,3.5,1.01373772790917,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP117"
"Pigot et al. 2020","ES237","CC136","USA","Grenada","Birds","Pelecaniformes","Ardeidae","Egretta caerulea","Egretta caerulea","Egretta caerulea","Invertebrate","Male","Wing Length",469.744232198785,420.005200947235,54.7434758343844,11.1384712616285,4,4,-0.111921265361181,0.00357115426537643,-61.664,12.116,2.67186145627737,2.54220278243403,2.1398822334513,0.745826416015625,-1.85387939587705,26.045072555542,1.88394374068341,3.26385847014274,"Conspecific","No island rule","SP118"
"Pigot et al. 2020","ES238","CC137","Guyana","Saint Vincent","Birds","Passeriformes","Tyrannidae","Elaenia flavogaster","Elaenia flavogaster","Elaenia flavogaster","Omnivore","Female","Wing Length",20.9487501952798,20.4357786718436,0.820366794532531,0.518337962338816,4,4,-0.0247917669359532,0.000544225386989149,-61.187,13.247,1.32115811801905,2.53781909507327,2.43457050070215,0.672155712890625,-1.81273267786723,25.7361221313477,1.92628089303743,3.31962648415564,"Conspecific","No island rule","SP119"
"Pigot et al. 2020","ES240","CC138","Cameroon","Bioko","Birds","Passeriformes","Stenostiridae","Elminia albiventris","Elminia albiventris","Elminia albiventris","Invertebrate","Male","Wing Length",12.5949090408235,12.2177687371831,0.557210915637398,0.38043946555619,4,4,-0.0304013419239638,0.000731712772733483,8.7,3.5,1.10019503541404,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP120"
"Pigot et al. 2020","ES244","CC140","China","Tsushima","Birds","Passeriformes","Emberizidae","Emberiza cioides","Emberiza cioides","Emberiza cioides","PlantSeed","Male","Wing Length",21.6446436446962,20.0980375586585,0.478563771458136,0.267973834115447,4,3,-0.0741358407259719,0.000181472642026511,129.3333,34.4167,1.335350440026,2.84385542262316,1.6989786901388,0.78173955078125,-2.03514027778996,14.7707538604736,2.87603426036742,3.27026646363707,"Conspecific","No island rule","SP121"
"Pigot et al. 2020","ES246","CC141","France","Great Britain","Birds","Passeriformes","Emberizidae","Emberiza cirlus","Emberiza cirlus","Emberiza cirlus","PlantSeed","Male","Wing Length",21.99772930327,21.1214423558428,1.53885079974901,0.85838646123288,4,4,-0.0406504846737663,0.00163633796881579,-1.6,53.186,1.3423778534606,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"Conspecific","No island rule","SP122"
"Pigot et al. 2020","ES248","CC142","France","Great Britain","Birds","Passeriformes","Emberizidae","Emberiza citrinella","Emberiza citrinella","Emberiza citrinella","PlantSeed","Male","Wing Length",32.1944617418015,28.8479048206144,0.459260222195202,0.71133188683212,4,4,-0.109757075046556,0.000202878283216663,-1.6,53.186,1.50778116853299,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"Conspecific","No island rule","SP123"
"Pigot et al. 2020","ES250","CC143","France","Great Britain","Birds","Passeriformes","Emberizidae","Emberiza schoeniclus","Emberiza schoeniclus","Emberiza schoeniclus","PlantSeed","Male","Wing Length",22.5338131425376,22.5338131425376,0.549710218700121,0.165630702971264,4,4,0,0.000162284636293562,-1.6,53.186,1.35283468868963,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"Conspecific","No island rule","SP124"
"Major et al. 2012","ES251","CC144","East Coast Australia","King Island","Birds","Passeriformes","Ephthianuridae","Epthianura albifrons","Epthianura albifrons","Epthianura albifrons","Invertebrate","Both","Wing Length",16.5195750974694,16.9409098397451,0.332011068135414,0.259215748618424,60,17,0.0251853500598358,2.05042931847993e-05,143.983,-39.8666,1.21799887257289,3.04060234011407,1.93752290693622,0.607816455078125,-1.67055748897574,13.5845718383789,2.40037559565356,2.9906634605853,"Conspecific","Island rule","SP125"
"Major et al. 2012","ES252","CC145","Tasmania Island","King Island","Birds","Passeriformes","Ephthianuridae","Epthianura albifrons","Epthianura albifrons","Epthianura albifrons","Invertebrate","Both","Wing Length",17.3501783225324,16.9409098397451,0.228375738983142,0.259215748618424,30,17,-0.0238713869660841,1.95473568767165e-05,143.983,-39.8666,1.23930394276342,3.04060234011407,1.91381914862559,0.607816455078125,-1.67055748897574,13.5845718383789,2.40037559565356,2.9906634605853,"Conspecific","Island rule","SP125"
"Major et al. 2012","ES253","CC146","West Coast Australia","Rottnest","Birds","Passeriformes","Ephthianuridae","Epthianura albifrons","Epthianura albifrons","Epthianura albifrons","Invertebrate","Both","Wing Length",17.0868383801735,16.4777921909971,0.330556190569501,0.365036960790598,16,28,-0.0362949352649948,4.09183179046133e-05,115.5,-32,1.23266171157572,1.29111788185472,1.26009524966371,0.456537841796875,-1.82684606627689,18.7090225219727,2.52033653866186,2.79920264788286,"Conspecific","Island rule","SP125"
"Major et al. 2012","ES254","CC144","East Coast Australia","Tasmania","Birds","Passeriformes","Ephthianuridae","Epthianura albifrons","Epthianura albifrons","Epthianura albifrons","Invertebrate","Both","Wing Length",16.5195750974694,17.3501783225324,0.332011068135414,0.228375738983142,60,30,0.0490567370259199,1.25074363690927e-05,146.5,-42.1,1.21799887257289,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","Island rule","SP125"
"Pigot et al. 2020","ES256","CC147","Somalia","Socotra","Birds","Passeriformes","Alaudidae","Eremopterix nigriceps","Eremopterix nigriceps","Eremopterix nigriceps","PlantSeed","Male","Wing Length",21.4693876661877,21.1214423558428,0.227519744618301,0.478200498827709,4,4,-0.0163393411756356,0.000156224554475457,53.595,12.495,1.3318196579906,3.55711001984456,2.36530262140015,0.202597534179688,-1.95727385143734,24.9122791290283,2.13738800723291,2.04763126120543,"Conspecific","No island rule","SP126"
"Pigot et al. 2020","ES258","CC148","Australia","Aru","Birds","Gruiformes","Rallidae","Eulabeornis castaneoventris","Eulabeornis castaneoventris","Eulabeornis castaneoventris","Invertebrate","Male","Wing Length",282.028016188399,309.091072093321,3.70965223153857,7.84093360911173,2,2,0.0916295509772649,0.000408267559716334,134.52,-6.164,2.45029225254513,3.32559775286002,2.25527491784373,0.64876396484375,-1.60824308473201,27.0203990936279,1.87899386545158,3.39682272429734,"Conspecific","No island rule","SP127"
"Pigot et al. 2020","ES260","CC149","Colombia","Trinidad","Birds","Passeriformes","Fringillidae","Euphonia trinitatis","Euphonia trinitatis","Euphonia trinitatis","Omnivore","Female","Wing Length",9.51588035269395,8.51329519710291,0.355903190297821,0.15299950241554,3,4,-0.111332936746733,0.000547024287157726,-61.246,10.431,0.978448972825983,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"Conspecific","No island rule","SP128"
"Pigot et al. 2020","ES262","CC150","Cameroon","Sao Tome","Birds","Passeriformes","Ploceidae","Euplectes hordeaceus","Euplectes hordeaceus","Euplectes hordeaceus","PlantSeed","Male","Wing Length",18.942474802047,21.1214423558428,0.646500846486245,0.478200498827709,4,4,0.1088820052812,0.000419357302237312,6.616,0.234,1.2774367182079,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Conspecific","No island rule","SP129"
"Marchant & Higgins, 1993","ES263","CC151","w, n, nw Australia","Tasmania","Birds","Falconiformes","Falconidae","Falco berigora","Falco berigora","Falco berigora","VertFishScav","Both","Wing Length",877.866556163086,909.321731619731,43.0222362539439,43.9479908068503,73,9,0.0352043757939269,0.000292438441482015,146.5,-42.1,2.94342850414465,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP130"
"Pigot et al. 2020","ES265","CC152","Holland","Great Britain","Birds","Falconiformes","Falconidae","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus","VertFishScav","Male","Wing Length",374.549132181378,356.289592464977,16.4334890269238,14.8433867504901,4,4,-0.0499791262764339,0.000915172532237491,-1.6,53.186,2.57350879516147,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"Conspecific","No island rule","SP131"
"Pigot et al. 2020","ES267","CC153","Venezuela","Trinidad","Birds","Passeriformes","Tyrannidae","Fluvicola pica","Fluvicola pica","Fluvicola pica","Invertebrate","Male","Wing Length",14.8638910089742,13.3263616217671,0.531970836110654,0.43579067486326,4,3,-0.109190699164623,0.000676682115727695,-61.246,10.431,1.17213251215181,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"Conspecific","No island rule","SP132"
"Grant 1965","ES268","CC154","Nayarit (Mexico)","Tres Marias","Birds","Psittaciformes","Psittacidae","Forpus cyanopygius","Forpus cyanopygius","Forpus cyanopygius","Omnivore","Both","Wing Length",29.6022785833573,32.5323364912571,0.715972834783751,0.662244914376981,51,36,0.0943832261091679,2.29810100131392e-05,-106.552,21.609,1.47132514139989,2.16221180985945,1.93952424448053,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Conspecific","No island rule","SP133"
"Pigot et al. 2020","ES270","CC155","Venezuela","Trinidad","Birds","Psittaciformes","Psittacidae","Forpus passerinus","Forpus passerinus","Forpus passerinus","PlantSeed","Male","Wing Length",22.895522293777,22.895522293777,0.709761191107086,1.00392518007144,4,3,0,0.00088113532820595,-61.246,10.431,1.35975055512373,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"Conspecific","No island rule","SP134"
"Pigot et al. 2020","ES272","CC156","Israel","Cyprus","Birds","Galliformes","Phasianidae","Francolinus francolinus","Francolinus francolinus","Francolinus francolinus","PlantSeed","Male","Wing Length",167.090702650922,164.104914809093,2.41012778551501,3.73960290716479,4,4,-0.018030846888039,0.000181835294868101,33.254,35.025,2.22295228532286,3.96614173273903,1.84510424417683,0.324397705078125,-1.53930109875927,19.0325736999512,2.81274718568516,2.60594554871405,"Conspecific","No island rule","SP135"
"Milá unpublished","ES273","CC157","Spain","La Palma","Birds","Passeriformes","Fringillidae","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs canariensis","Invertebrate","Both","Weight",20.6254545454545,26.0755670103093,1.72810511043955,1.5910380318837,11,97,0.234472775466833,0.000676557639534086,-17.8016,28.7899,1.31440352834475,2.85021724179839,2.61804914320356,0.5870876953125,-2.17629044858854,14.696325302124,2.48601801560357,2.63878865497856,"Conspecific","No island rule","SP136"
"Pigot et al. 2020","ES275","CC158","Turkey","Cyprus","Birds","Passeriformes","Alaudidae","Galerida cristata","Galerida cristata","Galerida cristata","PlantSeed","Male","Wing Length",43.7266666113773,43.7266666113773,1.22819546706969,1.12470545905058,4,4,0,0.000362630161225722,33.254,35.025,1.64074637129722,3.96614173273903,1.84510424417683,0.324397705078125,-1.53930109875927,19.0325736999512,2.81274718568516,2.60594554871405,"Conspecific","No island rule","SP137"
"Pigot et al. 2020","ES277","CC159","Spain","Mallorca","Birds","Passeriformes","Alaudidae","Galerida theklae","Galerida theklae","Galerida theklae","Invertebrate","Male","Wing Length",43.1923588662871,37.6544766561944,1.11642165914826,0.813808564024754,4,3,-0.137211752441498,0.000322725963839587,2.9951,39.7104,1.63540692283975,3.56110138364906,2.24055174422073,0.4811669921875,-2.0319027889097,15.6639108657837,2.75405040052569,2.77073037583745,"Conspecific","No island rule","SP138"
"Pigot et al. 2020","ES279","CC160","Thailand","South Andaman","Birds","Gruiformes","Rallidae","Gallicrex cinerea","Gallicrex cinerea","Gallicrex cinerea","PlantSeed","Female","Wing Length",188.260119112559,161.739554682111,17.9958156482842,2.90708656775509,5,4,-0.151837264452147,0.00190826093546143,92.653,11.871,2.2747583291311,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"Conspecific","No island rule","SP139"
"Pigot et al. 2020","ES281","CC161","Laos","Mindanao","Birds","Galliformes","Phasianidae","Gallus gallus","Gallus gallus","Gallus gallus","Omnivore","Male","Wing Length",295.37319148759,343.184836583781,8.60088969002904,15.6566088672867,4,2,0.150029571468579,0.00125263586128545,125.081,7.736,2.4703710755482,4.98913822421579,2.53782035389604,0.761584375,-1.59929272405331,26.0391368865967,1.84786827980811,3.37738794436473,"Conspecific","No island rule","SP140"
"Pigot et al. 2020","ES283","CC162","Papua New Guinea","Aru","Birds","Passeriformes","Acanthizidae","Gerygone chrysogaster","Gerygone chrysogaster","Gerygone chrysogaster","Invertebrate","Female","Wing Length",7.63963495689685,8.86850935566416,0.12223415931035,0.253643463881166,4,4,0.149156906068896,0.000268496605134168,134.52,-6.164,0.883072607267712,3.32559775286002,2.25527491784373,0.64876396484375,-1.60824308473201,27.0203990936279,1.87899386545158,3.39682272429734,"Conspecific","No island rule","SP141"
"Pigot et al. 2020","ES285","CC163","Australia","New Guinea","Birds","Passeriformes","Acanthizidae","Gerygone magnirostris","Gerygone magnirostris","Gerygone magnirostris","Invertebrate","Male","Wing Length",9.17995345806517,9.33810495260469,0.455024572317763,0.444510697291409,4,4,0.0170812010958584,0.00118070986153833,141.814,-5.752,0.962840479354106,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Conspecific","No island rule","SP142"
"Pigot et al. 2020","ES287","CC164","Australia","Grande Terre","Birds","Passeriformes","Acanthizidae","Gerygone olivacea","Gerygone olivacea","Gerygone olivacea","Invertebrate","Male","Wing Length",10.0977498554074,7.26946899323279,0.457410353099334,0.145389379864656,4,3,-0.328629364376254,0.000646316097260696,165.47,-21.481,1.00422460801506,4.2618573856299,3.1072103089403,0.68017119140625,-1.7574117847122,22.4548950195312,2.34451585656217,3.21679588218419,"Conspecific","No island rule","SP143"
"Pigot et al. 2020","ES289","CC165","Australia","Aru","Birds","Passeriformes","Acanthizidae","Gerygone palpebrosa","Gerygone palpebrosa","Gerygone palpebrosa","Invertebrate","Male","Wing Length",7.87662321255107,7.92454399764255,0.259680633564396,0.339492058797556,4,4,0.00606549267808794,0.000730559694715616,134.52,-6.164,0.896340070983632,3.32559775286002,2.25527491784373,0.64876396484375,-1.60824308473201,27.0203990936279,1.87899386545158,3.39682272429734,"Conspecific","No island rule","SP144"
"Higgins 1999","ES290","CC166","NSW, Vic & SA, Australia","Tasmania","Birds","Psittaciformes","Psittacidae","Glossopsitta concinna","Glossopsitta concinna concinna","Glossopsitta concinna didimus","Omnivore","Both","Weight",76.0666666666667,65.35,11.4492953203825,4.16917803104464,21,12,-0.151852708689635,0.00141799975054439,146.5,-42.1,1.88119438536253,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP145"
"Pigot et al. 2020","ES292","CC167","India","Sri Lanka","Birds","Passeriformes","Sturnidae","Gracula indica","Gracula indica","Gracula indica","FruiNect","Female","Wing Length",95.7335103913493,96.1636200222845,2.58600359017777,4.12129800095505,4,4,0.00448271790467774,0.000641602764550126,80.714,7.74,1.98106398407395,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP146"
"Pigot et al. 2020","ES294","CC168","Malaysia","South Andaman","Birds","Passeriformes","Sturnidae","Gracula religiosa","Gracula religiosa","Gracula religiosa","FruiNect","Male","Wing Length",153.052592467146,142.460300677401,7.17121790817875,6.44747046302423,4,4,-0.0717182347848772,0.00106091035786753,92.653,11.871,2.18484069025247,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"Conspecific","No island rule","SP147"
"Grant 1965","ES295","CC169","Nayarit (Mexico)","Tres Marias","Birds","Passeriformes","Cardinalidae","Granatellus venustus","Granatellus venustus","Granatellus venustus","Invertebrate","Both","Wing Length",11.8456459300628,13.9799606361821,0.295677868775935,0.358429589361112,29,34,0.165664553078728,4.08181318577854e-05,-106.552,21.609,1.0735587473056,2.16221180985945,1.93952424448053,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Conspecific","No island rule","SP148"
"Pigot et al. 2020","ES297","CC170","Australia","Tasmania","Birds","Passeriformes","Cracticidae","Gymnorhina tibicen","Gymnorhina tibicen","Gymnorhina tibicen","Invertebrate","Male","Wing Length",494.147754181335,421.398589899175,26.8470865386553,13.4986894387774,4,3,-0.159255414864571,0.0010799785079354,146.5,-42.1,2.69385682590983,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP149"
"Pigot et al. 2020","ES299","CC171","Gambia","Bioko","Birds","Accipitriformes","Accipitridae","Gypohierax angolensis","Gypohierax angolensis","Gypohierax angolensis","FruiNect","Male","Wing Length",1521.45614608433,1334.01961310031,97.1057640030545,21.2508155638808,2,2,-0.131471217263416,0.00216364709610152,8.7,3.5,3.18225943892352,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"Conspecific","No island rule","SP150"
"Marchant and Higgins 1993","ES300","CC172","Queensland, Australia","Tasmania","Birds","Charadriiformes","Charadriidae","Haematopus longirostris","Haematopus longirostris","Haematopus longirostris","Invertebrate","Both","Weight",616.7,672.745454545455,87.5852768122914,97.7982194483761,15,11,0.0869843510582477,0.00326587100614457,146.5,-42.1,2.7900739484263,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP151"
"Milá unpublished","ES301","CC173","Mexico","Guadalupe","Birds","Passeriformes","Fringillidae","Haemorhous mexicanus","Haemorhous mexicanus","Haemorhous mexicanus","PlantSeed","Both","Weight",20.7083333358333,23.6273333333333,2.05003695566414,1.6650833365781,12,30,0.131868038065514,0.000982226835107917,-118.3266,29.1099,1.31614514707416,3.17897694729317,2.40824166177136,0.215285522460938,-1.52057840976834,17.5243759155273,2.36391805348703,2.15480120756627,"Conspecific","No island rule","SP152"
"Pigot et al. 2020","ES303","CC174","Malaysia","South Andaman","Birds","Coraciiformes","Alcedinidae","Halcyon coromanda","Halcyon coromanda","Halcyon coromanda","Omnivore","Female","Wing Length",54.6410038597318,54.3349346911561,1.88835397679002,1.66464696775775,4,4,-0.00561720279591704,0.000533238968587319,92.653,11.871,1.73751866956691,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"Conspecific","No island rule","SP153"
"Pigot et al. 2020","ES305","CC175","Sierra Leone","Santiago, Cape Verde","Birds","Coraciiformes","Alcedinidae","Halcyon leucocephala","Halcyon leucocephala","Halcyon leucocephala","Invertebrate","Female","Wing Length",43.1923588662871,43.9953029226293,1.11642165914826,0.821961025334978,4,4,0.0184192749513794,0.000254288396170096,-23.6333,15.0667,1.63540692283975,2.99607365448528,2.80345779850084,0.3994310546875,-1.51947879658852,21.5264568328857,2.1737653942386,2.43792485642274,"Conspecific","No island rule","SP154"
