"","Qm","p"
"logmass",0.222082187344103,0.63745795546648
"NDVI",0.0299317318471821,0.862645221631348
"logmass:NDVI",0.0106355488512749,0.917860749859226
"fullmodel",0.990964670443306,0.803438227199322
