"","b","lci","uci"
"intrcpt",0.249105720015675,-0.106219193641421,0.604430633672772
"logmass",-0.112672564202107,-0.240089134096619,0.0147440056924053
"guild2No Carn",-0.0303293798497521,-0.3911836642608,0.330524904561295
"logmass:guild2No Carn",0.0063849937585703,-0.12948735644033,0.14225734395747
