"","b","lci","uci"
"intrcpt",0.13123420430885,-0.320952079313661,0.583420487931362
"logmass",-0.119687502906875,-0.385926864776903,0.146551858963154
"SDNDVI",-0.0435236356183425,-0.301093939011038,0.214046667774353
"logmass:SDNDVI",-0.00987890851457496,-0.162906408959465,0.143148591930315
