"","Qm","p"
"logmass",2.96467953125141,0.0851013190931948
"guild2No Carn",0.037892212140083,0.845659738436091
"logmass:guild2No Carn",0.0195619862211165,0.888767310680255
"fullmodel",23.7040973201113,2.87974631151133e-05
