"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Migratory_status","Migratory_status_3","Phylogeny","Data_source_type"
"Pigot et al. 2020","ES260","CC112","Madagascar","Socotra","Birds","Passeriformes","Cisticolidae","Cisticola cherina","Cisticola cherina","Cisticola haesitatus","Invertebrate",7.63963495689685,6.5620195908917,0,0.273417482953821,2,3,-0.152051401485365,0.000578703703703704,53.595,12.495,0.883072607267712,3.55711001984456,3.43775072132199,0.202597534179688,-1.95727385143734,24.9122791290283,2.13738800723291,2.04763126120543,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES262","CC113","Guyana","Tobago","Birds","Passeriformes","Tyrannidae","Cnemotriccus fuscatus","Cnemotriccus fuscatus","Cnemotriccus fuscatus","Invertebrate",15.1457816379549,16.4752361231911,1.19617825745489,0.328177118465107,6,7,0.0841363590528784,0.00109626154562096,-60.685,11.241,1.18029169115789,2.47712125471966,2.07188568775224,0.777809130859375,-1.92730307069913,25.7573337554932,1.80426768946187,3.34232396631288,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES264","CC114","France","Great Britain","Birds","Passeriformes","Fringillidae","Coccothraustes coccothraustes","Coccothraustes coccothraustes","Coccothraustes coccothraustes","PlantSeed",42.9266849730568,41.6130659780887,1.22097871445532,1.37146703233521,4,4,-0.0310794559348529,0.000473806984368993,-1.6,53.186,1.63272735124445,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES266","CC115","Mexico","Isla del Coco","Birds","Cuculiformes","Cuculidae","Coccyzus minor","Coccyzus minor","Coccyzus ferrugineus","Invertebrate",95.304559554059,79.4680074501336,1.30820313708118,1.6107694363469,4,4,-0.181723135078614,0.000149816789251835,-87.0611,5.5281,1.97911367862153,1.37748838337613,2.69019696634288,0.578246044921875,-1.5506642359636,24.4699840545654,1.96009501364612,3.46622978445773,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES268","CC116","India","Java","Birds","Passeriformes","Turdidae","Cochoa purpurea","Cochoa purpurea","Cochoa azurea","Omnivore",97.0273198752653,61.9684413083126,3.1138518527941,1.11859628948877,4,2,-0.448367342747899,0.000420403020036899,107.5667,-6.95,1.98689403530261,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"dispersive migratory","partial dispersive migrant","","No island rule"
"Pigot et al. 2020","ES270","CC117","Mexico","Jamaica","Birds","Passeriformes","Coerebidae","Coereba flaveola","Coereba flaveola","Coereba flaveola","FruiNect",7.45317021328692,10.2091962786166,0.351258318962829,0.337572201841418,4,4,0.314649436176304,0.000828610752886265,-77.285,18.1217,0.872341039631852,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES272","CC118","Guyana","Trinidad","Birds","Piciformes","Picidae","Colaptes punctigula","Colaptes punctigula","Colaptes punctigula","Invertebrate",45.2624129276966,48.1443230604903,1.00814059874455,3.43829763184,3,4,0.0617262787896432,0.00144044381199498,-61.246,10.431,1.65573770236399,3.68376726142531,1.17612021105609,0.7579107421875,-1.79885568486389,26.3593311309814,1.75886231550375,3.28634516348873,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES274","CC119","Colombia ","Antigua","Birds","Galliformes","Odontophoridae","Colinus cristatus","Colinus cristatus","Colinus cristatus","PlantSeed",39.8150752602861,37.8184098439626,1.56552067495521,0.277073738442296,4,2,-0.0514495989846068,0.000413349858823428,-61.8,17.0833,1.60004754098645,2.44870631990508,2.84323340118864,0.64828095703125,-1.67783078788764,26.5055866241455,2.0182200496861,3.04080006125653,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES276","CC120","India","Sri Lanka","Birds","Columbiformes","Columbidae","Columba livia","Columba livia","Columba livia","PlantSeed",315.650604653232,269.052071713429,11.3514905606701,7.2134008041842,4,2,-0.159730984381637,0.000682719464835108,80.714,7.74,2.49920662558896,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES278","CC121","Cuba","New Providence","Birds","Passeriformes","Tyrannidae","Contopus caribaeus","Contopus caribaeus","Contopus caribaeus","Invertebrate",20.0980375586585,17.9845594793667,0.709058765069472,1.0708019246809,3,4,-0.111108593333336,0.00130114777456567,-77.401,25.033,1.30315365348746,2.31597034545692,2.43933427308005,0.505611279296875,-2.14820546763863,24.988805770874,2.42095411420437,3.12355765002645,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES281","CC122","Malaysia","South Andaman","Birds","Passeriformes","Muscicapidae","Copsychus malabaricus","Copsychus malabaricus","Copsychus malabaricus","Invertebrate",35.6455721970327,32.6424340428765,1.75712815307601,0.774809423435311,4,4,-0.0880118373922502,0.000748337754104097,92.653,11.871,1.55200559057431,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES283","CC123","Myanmar","South Andaman","Birds","Passeriformes","Muscicapidae","Copsychus saularis","Copsychus saularis","Copsychus saularis","Invertebrate",37.8184098439626,36.8431586500886,0.678771874090603,1.62148477284107,4,4,-0.0261260695733742,0.00056476474381911,92.653,11.871,1.5777032640513,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES285","CC124","India","Sri Lanka","Birds","Coraciiformes","Coraciidae","Coracias benghalensis","Coracias benghalensis","Coracias benghalensis","Omnivore",195.436196042003,157.881759466103,10.2142373683756,6.69285395345168,4,5,-0.213387568142931,0.00104228493635844,80.714,7.74,2.29100500096679,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"resident","partial resident","","No island rule"
"Pigot et al. 2020","ES287","CC125","Australia","New Britain","Birds","Passeriformes","Campephagidae","Coracina lineata","Coracina lineata","Coracina lineata","FruiNect",104.406965618458,91.0785525552315,3.25416997638458,2.30289128504615,3,3,-0.136574044652347,0.0005369223337928,151.274,-5.374,2.01872947403736,4.56253076886226,1.9444876072867,0.82810947265625,-1.562217513585,23.9577484130859,1.72932108499627,3.58345682097451,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES289","CC126","Papua New Guinea","New Britain","Birds","Passeriformes","Campephagidae","Coracina papuensis","Coracina papuensis","Coracina papuensis","Omnivore",97.8956675241235,133.718006050724,2.33769299683492,3.95793305188749,4,3,0.311830855601673,0.000434592461046206,151.274,-5.374,1.9907634720687,4.56253076886226,1.9444876072867,0.82810947265625,-1.562217513585,23.9577484130859,1.72932108499627,3.58345682097451,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES291","CC127","Malaysia","South Andaman","Birds","Passeriformes","Campephagidae","Coracina striata","Coracina striata","Coracina striata","Invertebrate",105.010773881931,132.843834960724,3.76300676614148,5.02262311019477,3,4,0.23511131181966,0.000785406955938735,92.653,11.871,2.0212338590455,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES293","CC128","Madagascar","Praslin","Birds","Psittaciformes","Psittacidae","Coracopsis nigra","Coracopsis nigra","Coracopsis nigra","FruiNect",323.185101405358,188.260119112559,8.62064224233235,4.28266052385565,4,4,-0.540400609626244,0.000307250772355712,55.73,-4.323,2.50945133190893,3.04139268515822,1.57288321419716,0.64207802734375,-1.79413855077703,27.273063659668,1.82777973402645,3.36229407608265,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES295","CC129","Australia","New Guinea","Birds","Passeriformes","Climacteridae","Cormobates leucophaea","Cormobates leucophaea","Cormobates placens","Invertebrate",25.9150100696281,25.2676197185501,0.441491858294627,0.5399970818671,2,3,-0.0252986172049051,0.000297356559393452,141.814,-5.752,1.41355138192658,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES297","CC130","France","Great Britain","Birds","Passeriformes","Corvidae","Corvus corax","Corvus corax","Corvus corax","VertFishScav",1393.42174643771,1540.56214814703,54.3794405547056,144.239728047025,4,4,0.100384970845594,0.00257230370044991,-1.6,53.186,3.14408258406865,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"dispersive migratory","partial dispersive migrant","","No island rule"
"Pigot et al. 2020","ES299","CC131","Sweden","Great Britain","Birds","Passeriformes","Corvidae","Corvus frugilegus","Corvus frugilegus","Corvus frugilegus","Omnivore",770.664123146078,676.796723550377,44.4632385067457,38.4073258768073,3,5,-0.129881673512297,0.00175364233545124,-1.6,53.186,2.88686514167401,5.32083354792103,1.51189672368043,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES302","CC132","China","Guam","Birds","Passeriformes","Corvidae","Corvus macrorhynchos","Corvus macrorhynchos","Corvus kubaryi","Omnivore",785.806282630854,330.374239594134,36.0693585495689,4.07990545664721,2,2,-0.866484231018715,0.00112970782124924,144.74,13.428,2.89531549673464,2.73319726510657,3.25527274637795,0.63864921875,-1.97158087408099,27.4067058563232,1.72549601858471,3.35117766313091,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES303","CC133","Thailand","South Andaman","Birds","Passeriformes","Corvidae","Corvus macrorhynchos","Corvus macrorhynchos","Corvus macrorhynchos","Omnivore",701.852697141062,682.099804904987,57.096880047453,37.8317203322282,4,4,-0.0285475602358673,0.00242357615498418,92.653,11.871,2.84624597319597,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES305","CC134","India","Sri Lanka","Birds","Passeriformes","Corvidae","Corvus splendens","Corvus splendens","Corvus splendens","VertFishScav",458.646119766336,401.446888171018,31.630766880437,30.2147581125242,4,4,-0.133203690673406,0.0026052523939548,80.714,7.74,2.661477723645,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES307","CC135","Malaysia","Sumatra","Birds","Passeriformes","Eurylaimidae","Corydon sumatranus","Corydon sumatranus","Corydon sumatranus","Invertebrate",86.5623988828844,77.9407987075982,3.69913208484996,4.85260926167074,4,4,-0.104915980659089,0.00142562534693894,101.6,-0.4,1.93732928342751,5.67541811271593,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES309","CC136","Cameroon","Bioko","Birds","Passeriformes","Muscicapidae","Cossyphicula roberti","Cossyphicula roberti","Cossyphicula roberti","Invertebrate",15.3592926592929,14.7704481942238,0.521361073273512,0.128481277916982,4,3,-0.0390922348455358,0.000313276088331054,8.7,3.5,1.1863712156148,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES311","CC137","Papua New Guinea","Waigeo","Birds","Passeriformes","Cracticidae","Cracticus cassicus","Cracticus cassicus","Cracticus cassicus","Invertebrate",135.474585261772,134.418562328341,4.79942985544198,5.77999818011867,4,4,-0.00782552896948648,0.000776014385050611,130.8333,-0.2,2.13185783014909,3.49899936358015,1.6848543345782,0.784518359375,-1.79855874088097,26.8511047363281,1.56687694095786,3.43545038781983,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES313","CC138","Australia","New Guinea","Birds","Passeriformes","Cracticidae","Cracticus nigrogularis","Cracticus nigrogularis","Cracticus cassicus","Omnivore",147.42077617762,129.212765670889,2.5114816568091,0.580021748122659,2,2,-0.131830528854272,0.000155190172774991,141.814,-5.752,2.1685586934515,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES315","CC139","Brazil","Coiba","Birds","Passeriformes","Furnariidae","Cranioleuca vulpina","Cranioleuca vulpina","Cranioleuca dissita","Invertebrate",14.2221243875623,11.9701626768613,0.722825925853483,0.113294699047643,5,4,-0.172381697701616,0.000539012174877352,-81.777,7.486,1.15296447268673,2.70156798505593,1.35220181965942,0.75677451171875,-1.38593273169804,25.4241352081299,1.80482134867223,3.42480816751817,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES317","CC140","Cameroon","Bioko","Birds","Passeriformes","Pycnonotidae","Criniger calurus","Criniger calurus","Criniger calurus","Invertebrate",29.1621437965402,30.4396376524416,0.473968635957561,0.910093573201813,4,4,0.0428742064197938,0.000289516136500624,8.7,3.5,1.4648194471077,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES320","CC141","Borneo","Palawan","Birds","Passeriformes","Stenostiridae","Culicicapa ceylonensis","Culicicapa ceylonensis","Culicicapa helianthea","Invertebrate",11.1274130304209,9.33810495260469,0.469511098314019,0.399367984650159,4,4,-0.175308370355554,0.000902351462070153,118.574,9.668,1.04639420861119,4.08596807704607,2.161370997359,0.712584814453125,-1.6510182741633,26.8827838897705,1.78894304871206,3.21063642489379,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES321","CC142","India","Sri Lanka","Birds","Passeriformes","Stenostiridae","Culicicapa ceylonensis","Culicicapa ceylonensis","Culicicapa ceylonensis","Invertebrate",9.71346251119136,10.6623618060082,0.334195030897292,0.175173909842916,4,4,0.0932071409492576,0.000363411471021221,80.714,7.74,0.987374068368861,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES323","CC143","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Cyanomitra cyanolaema","Cyanomitra cyanolaema","Cyanomitra cyanolaema","Omnivore",16.9045452467758,16.9045452467758,0.591417590133627,1.29295621787482,4,4,0,0.00176851617346939,8.7,3.5,1.22800349219896,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES325","CC144","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Cyanomitra olivacea","Cyanomitra olivacea","Cyanomitra olivacea","FruiNect",13.1085270231923,13.5681059590691,0.459472006488811,0.30384093812434,4,4,0.0344589522493962,0.000432520015729426,8.7,3.5,1.11755389370081,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES327","CC145","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Cyanomitra oritis","Cyanomitra oritis","Cyanomitra oritis","Omnivore",12.1555813512964,11.4840635751634,0.247567848295243,0.494197535851198,4,4,-0.0568281365645122,0.000566666530890494,8.7,3.5,1.08477573418902,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES329","CC146","Papua New Guinea","Aru ","Birds","Coraciiformes","Alcedinidae","Dacelo gaudichaud","Dacelo gaudichaud","Dacelo gaudichaud","Invertebrate",79.8525966396859,80.6251270704189,1.58599541941284,2.2840696917957,4,4,0.00962795808047335,0.00029926034721283,134.52,-6.164,1.90228904305373,3.32559775286002,2.25527491784373,0.64876396484375,-1.60824308473201,27.0203990936279,1.87899386545158,3.39682272429734,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES331","CC147","Australia","New Guinea","Birds","Coraciiformes","Alcedinidae","Dacelo leachii","Dacelo leachii","Dacelo leachii","Omnivore",203.449472140304,230.114758176485,9.69551259285846,10.4407679687137,4,4,0.123160453181435,0.00108241945759149,141.814,-5.752,2.3084565673923,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES334","CC148","Australia","Aru","Birds","Coraciiformes","Alcedinidae","Dacelo novaeguineae","Dacelo novaeguineae","Dacelo tyro","Invertebrate",281.206238569651,110.545228862425,5.69526693838403,1.05631460742656,4,4,-0.933663597030393,0.000125372774738853,134.52,-6.164,2.44902495129203,3.32559775286002,2.25527491784373,0.64876396484375,-1.60824308473201,27.0203990936279,1.87899386545158,3.39682272429734,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES335","CC148","Australia","New Guinea","Birds","Coraciiformes","Alcedinidae","Dacelo novaeguineae","Dacelo novaeguineae","Dacelo gaudichaud","Invertebrate",281.206238569651,79.8525966396859,5.69526693838403,1.8083052258533,4,4,-1.25890595211406,0.000230751022015096,141.814,-5.752,2.44902495129203,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES337","CC149","Cameroon","Bioko","Birds","Passeriformes","Nectariniidae","Deleornis fraseri","Deleornis fraseri","Deleornis fraseri","Invertebrate",16.3053688462914,20.6059197744925,0.385893729362229,1.09653415988091,4,4,0.234083971554071,0.000847974101122984,8.7,3.5,1.2123306274963,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES339","CC150","Laos","Sumatra","Birds","Passeriformes","Corvidae","Dendrocitta formosae","Dendrocitta formosae","Dendrocitta occipitalis","Omnivore",92.7551301243684,94.450130044677,2.26275578438534,1.75445458365109,4,4,0.0181089595373418,0.000235040193568779,101.6,-0.4,1.96733793902121,5.67541811271593,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES341","CC151","India","South Andaman ","Birds","Passeriformes","Corvidae","Dendrocitta vagabunda","Dendrocitta vagabunda","Dendrocitta bayleyi","Omnivore",109.145578102405,57.126892506813,5.62469843169861,3.10602477184286,4,4,-0.647407592170373,0.00140297715630784,92.653,11.871,2.0380061454998,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES343","CC152","Brazil","Cuba","Birds","Anseriformes","Anatidae","Dendrocygna viduata","Dendrocygna viduata","Dendrocygna arborea","PlantSeed",290.660162089585,465.285838146596,16.6461715990828,1.25316985740816,6,2,0.47049716556649,0.000550273383259744,-77.781,21.521,2.46338551140485,5.02450824385764,2.290036838508,0.62180009765625,-1.63190089159322,25.5158214569092,2.29131709321764,3.10858025893047,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES345","CC153","Australia","New Ireland ","Birds","Passeriformes","Dicruridae","Dicrurus bracteatus","Dicrurus bracteatus","Dicrurus megarhynchus","Invertebrate",106.836612812787,149.658272184794,2.06941055503124,2.53433289663831,2,2,0.33705382527197,0.00033097820541975,152.0999,-3.425,2.02872011053583,3.8694957374592,2.76342874234588,0.691871240234375,-1.48927364947179,25.7064609527588,1.62761500935219,3.50425778999104,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES347","CC154","India","Sri Lanka","Birds","Passeriformes","Dicruridae","Dicrurus caerulescens","Dicrurus caerulescens","Dicrurus caerulescens","Invertebrate",71.6477154242286,58.0762899763339,1.90887929367202,1.20717528509759,4,4,-0.210003777890886,0.000285471359102013,80.714,7.74,1.85520234693896,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES349","CC155","Vietnam","Sulawesi","Birds","Passeriformes","Dicruridae","Dicrurus hottentottus","Dicrurus hottentottus","Dicrurus montanus","Omnivore",128.186414544659,106.836612812787,2.30898840975985,6.20896342271573,2,2,-0.18218488370374,0.00185098958410518,120.276,-2.171,2.10784200021455,5.24204423936955,2.07918486515323,0.7385658203125,-1.75832872991846,22.7902545928955,1.6360921277862,3.42513180877246,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES351","CC156","Malaysia","Java","Birds","Passeriformes","Dicruridae","Dicrurus leucophaeus","Dicrurus leucophaeus","Dicrurus leucophaeus","Invertebrate",95.7335103913493,80.6251270704189,3.37310772928089,2.2840696917957,4,4,-0.171758046814154,0.000511004972678059,107.5667,-6.95,1.98106398407395,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES353","CC157","India","South Andaman ","Birds","Passeriformes","Dicruridae","Dicrurus macrocercus","Dicrurus macrocercus","Dicrurus andamanensis","Omnivore",89.957242840918,73.8324630629374,4.72110983471381,2.19250619695021,8,4,-0.197535964109212,0.000564749775308186,92.653,11.871,1.95403613598853,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES355","CC158","Malaysia","Sumatra","Birds","Passeriformes","Dicruridae","Dicrurus remifer","Dicrurus remifer","Dicrurus remifer","Invertebrate",79.4680074501336,77.8148406504992,3.25527907204208,1.94435801480842,4,3,-0.0210223518003226,0.000627616274830476,101.6,-0.4,1.90019232382273,5.67541811299103,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES357","CC159","Malaysia","South Andaman","Birds","Piciformes","Picidae","Dryocopus javensis","Dryocopus javensis","Dryocopus hodgei","Invertebrate",277.933534222936,193.463067063864,13.1482055509142,4.5981137371386,4,4,-0.36229537321089,0.000700710693077694,92.653,11.871,2.4439409499776,3.08303654241196,2.65321347887312,0.711059130859375,-1.49094419494543,26.7711124420166,1.86741607984951,3.41808549717969,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES361","CC160","Malaysia","Christmas","Birds","Columbiformes","Columbidae","Ducula badia","Ducula badia","Ducula whartoni","FruiNect",314.332069183788,420.005200947235,0.989900992930681,18.0285565819295,2,3,0.289817122135847,0.000619132647412966,105.6333,-10.4833,2.4973886914187,2.13033376849501,2.54406928518988,0.711173388671875,-1.40869176470873,23.8653392791748,1.94714401283169,3.30726064737094,"resident","partial resident","","No island rule"
"Pigot et al. 2020","ES362","CC160","Malaysia","Mindanao","Birds","Columbiformes","Columbidae","Ducula badia","Ducula badia","Ducula poliocephala","FruiNect",314.332069183788,298.767585484037,0.989900992930681,9.60266180435285,2,2,-0.0507840072143743,0.000521477813442289,125.081,7.736,2.4973886914187,4.98913822421579,2.53782035389604,0.761584375,-1.59929272405331,26.0391368865967,1.84786827980811,3.37738794436473,"resident","partial resident","","No island rule"
"Pigot et al. 2020","ES363","CC161","Thailand","Timor","Birds","Columbiformes","Columbidae","Ducula badia","Ducula badia","Ducula cineracea","FruiNect",339.494748246493,281.206238569651,9.33280595179561,7.51236410092707,2,4,-0.18837013258112,0.000556277698114759,124.451,-9.649,2.53083306042739,4.45359503815515,2.65321347887312,0.621991357421875,-1.58061922407047,24.7098178863525,1.98372882194709,3.13471960245872,"resident","partial resident","","No island rule"
"Pigot et al. 2020","ES365","CC162","Papua New Guinea","Grande Terre","Birds","Columbiformes","Columbidae","Ducula pinon","Ducula pinon","Ducula goliath","FruiNect",441.21987572563,634.192344736484,16.9946908552841,15.0989025913525,2,2,0.362808955684271,0.00102521163369095,165.47,-21.481,2.64465506796475,4.2618573856299,3.1072103089403,0.68017119140625,-1.7574117847122,22.4548950195312,2.34451585656217,3.21679588218419,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES368","CC163","Papua New Guinea","Misool","Birds","Columbiformes","Columbidae","Ducula rufigaster","Ducula rufigaster","Ducula rufigaster","FruiNect",232.30439367581,214.436505594132,0.952564749947038,2.46643700597764,4,4,-0.0800348700658648,3.72772179305787e-05,130.0836,-1.8947,2.36605742388166,3.30826553320993,1.84510424417683,0.747617822265625,-1.65525359139461,27.1359195709229,1.69271459147221,3.48167327638994,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES369","CC163","Papua New Guinea","New Ireland","Birds","Columbiformes","Columbidae","Ducula rufigaster","Ducula rufigaster","Ducula finschii","FruiNect",219.352952583691,247.37406715295,10.3665415945979,0.429161576927931,2,2,0.120219544805535,0.00111824167638262,152.0999,-3.425,2.34114348456806,3.8694957374592,2.76342874234588,0.691871240234375,-1.48927364947179,25.7064609527588,1.62761500935219,3.50425778999104,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES371","CC164","Cameroon","Bioko","Birds","Passeriformes","Platysteiridae","Dyaphorophyia castanea","Dyaphorophyia castanea","Dyaphorophyia castanea","Invertebrate",10.3213790550313,12.03177851868,0.427215341756078,0.282660678164818,4,4,0.153333978859262,0.000566288431506416,8.7,3.5,1.01373772790917,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES373","CC165","Cameroon","Bioko","Birds","Passeriformes","Platysteiridae","Dyaphorophyia chalybea","Dyaphorophyia chalybea","Dyaphorophyia chalybea","Invertebrate",7.5460562763025,7.5460562763025,0.223036146097611,0.281471616375185,4,4,0,0.000566230580698391,8.7,3.5,0.877720039719536,3.30470589821277,1.62325963061961,0.507468408203125,-1.41670752650152,23.4745044708252,1.91661749949895,3.40021016675251,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES375","CC166","USA","Grenada","Birds","Pelecaniformes","Ardeidae","Egretta caerulea","Egretta caerulea","Egretta caerulea","Invertebrate",469.744232198785,420.005200947235,54.7434758343844,11.1384712616285,4,4,-0.111921265361181,0.00357115426537643,-61.664,12.116,2.67186145627737,2.54220278243403,2.1398822334513,0.745826416015625,-1.85387939587705,26.045072555542,1.88394374068341,3.26385847014274,"directional migratory","partial directional migrant","","No island rule"
"Pigot et al. 2020","ES377","CC167","Guyana","Saint Vincent","Birds","Passeriformes","Tyrannidae","Elaenia flavogaster","Elaenia flavogaster","Elaenia flavogaster","Omnivore",20.9487501952798,20.4357786718436,0.820366794532531,0.518337962338816,4,4,-0.0247917669359532,0.000544225386989149,-61.187,13.247,1.32115811801905,2.53781909507327,2.43457050070215,0.672155712890625,-1.81273267786723,25.7361221313477,1.92628089303743,3.31962648415564,"resident","full resident","","No island rule"
"Pigot et al. 2020","ES379","CC168","Costa Rica","Hispaniola","Birds","Passeriformes","Tyrannidae","Elaenia frantzii","Elaenia frantzii","Elaenia fallax","FruiNect",21.8005863660113,15.2167523253188,1.14958843844426,0.298095967254002,7,4,-0.359539919334543,0.000493179521914617,-71.514,18.942,1.33846817489352,4.86881483175657,2.79239238997266,0.61261640625,-1.7490055208426,23.2234516143799,2.08063928902145,3.04343625208464,"resident","full resident","","No island rule"
