"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Migratory_status","Migratory_status_3","Phylogeny","Data_source_type"
"Myers et al. 2010","ES14","CC5","S Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","Phylidonyris novaehollandiae","FruiNect",21.0312027491409,19.669012345679,2.23297403280129,1.79367785913348,291,81,-0.066962760205389,0.000141407664662973,137.207,-35.819,1.3228641101746,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"resident","full resident","","Island rule"
"Rader et al. 2014","ES15","CC6","Chile, Argentina","Kidney","Birds","Passeriformes","Furnariidae","Cinclodes fuscus","Cinclodes fuscus","Cinclodes antarcticus","Invertebrate",37.7279210788743,52.9836332522585,1.38036649088641,2.04308400155178,47,5,0.339582626792559,0.000325866593109309,-57.7507,-51.6235,1.57666287493733,-0.481486060122112,2.8792685303017,0.48134755859375,-1.88816377461928,5.99363136291504,2.44413765664986,2.77829599992163,"directional migratory","partial directional migrant","Phylogeny: Rader, J. A., Dillon, M. E., Chesser, R. T., Sabat, P. & del Rio, C. M. Morphological divergence in a continental adaptive radiation: South American ovenbirds of the genus Cinclodes. Auk 132, 180-190, doi:10.1642/auk-14-49.1 (2015).","Island rule"
"Rader et al. 2014","ES16","CC6","Chile, Argentina","Isla de los Estados","Birds","Passeriformes","Furnariidae","Cinclodes fuscus","Cinclodes fuscus","Cinclodes antarcticus","Invertebrate",30.075,63.225,1.461,4.329,4,4,0.743005530695286,0.00176199566457838,-64.4299,-54.7928,1.47820563601188,2.72754125702856,1.47130638292198,0.38850751953125,-1.64761666241537,3.97634315490723,2.37567622563952,2.81822589361396,"directional migratory","partial directional migrant","Phylogeny: Rader, J. A., Dillon, M. E., Chesser, R. T., Sabat, P. & del Rio, C. M. Morphological divergence in a continental adaptive radiation: South American ovenbirds of the genus Cinclodes. Auk 132, 180-190, doi:10.1642/auk-14-49.1 (2015).","Island rule"
"Rader et al. 2014","ES17","CC6","Chile, Argentina","Navarino","Birds","Passeriformes","Furnariidae","Cinclodes fuscus","Cinclodes fuscus","Cinclodes fuscus","Invertebrate",29.12857143,33.0499999975,2.00226062642271,2.532,7,4,0.126302037647913,0.00214232040709542,-67.7449,-55.0619,1.46431918578518,3.3932241163613,0.130655349022031,0.545645556640625,-1.42255795666582,4.78470993041992,2.47208101632801,2.91146300124925,"directional migratory","partial directional migrant","","Island rule"
"Schlotfeldt and Kleindorfer, 2006","ES18","CC7","South Australia","Kangaroo","Birds","Passeriformes","Maluridae","Malurus cyaneus","Malurus cyaneus","Malurus cyaneus","Invertebrate",7.95241816909277,8.63596633446654,0.379696410768733,0.289065763803985,48,65,0.0824595597382454,6.47302643181322e-05,137.207,-35.819,0.900499208883544,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"resident","full resident","","Island rule"
"Strickland and Norris 2015 plus unpublished data","ES19","CC8","Algonquin (Ontario, Canada)","Anticosti","Birds","Passeriformes","Corvidae","Perisoreus canadensis","Perisoreus canadensis","Perisoreus canadensis","Omnivore",71.4160000028174,79.1775280905618,5.08649451763803,5.44054126707092,575,89,0.103170588412848,6.18728319242563e-05,-63.053,49.523,1.85379552178294,3.89987519602101,1.47713573096112,0.5327248046875,-1.54503573435401,1.5376889705658,3.00840319396021,2.98627872062655,"resident","partial resident","","Island rule"
"Clegg 2002","ES20","CC9","Brisbane, Australia","Chatham","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore",10.22,13.46,0.9,1.07,29,34,0.275375739441023,0.00045328005687103,-176.528,-43.819,1.00945089579869,2.96378782734556,2.8155784123826,0.681565380859375,-2.03613442266756,11.7157421112061,2.41975311744086,2.99351117087405,"dispersive migratory","partial dispersive migrant","","Island rule"
"Clegg 2002","ES21","CC9","Brisbane, Australia","Heron island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis chlorocephalus","Omnivore",10.22,14.09,0.9,1.03,29,34,0.32111874113503,0.000424586079485639,151.915,-23.442,1.00945089579869,-0.537602002101044,1.8948751891238,0.47281533203125,-1.70936653437619,22.2797050476074,2.53446612013852,3.00474239841533,"dispersive migratory","partial dispersive migrant","","Island rule"
"Clegg 2002","ES22","CC9","Brisbane, Australia","Lord Howe Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops tephropleurus","Omnivore",10.22,12.41,0.9,0.93,29,34,0.194156014440957,0.000432589328927435,159.082,-31.558,1.00945089579869,1.16286299332193,2.75587561759197,0.555617529296875,-1.55504456814652,19.1541423797607,2.38969166427432,3.20210943433981,"dispersive migratory","partial dispersive migrant","","Island rule"
"Clegg 2002","ES23","CC9","Brisbane, Australia","Norfolk island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis lateralis","Omnivore",10.22,11.78,0.9,0.67,29,34,0.142056593447882,0.000362558386166437,167.953,-29.035,1.00945089579869,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"dispersive migratory","partial dispersive migrant","","Island rule"
