Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
O'Connell et al 2019,ES478,CC7,Sulawesi,Binongko,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris flavissimus,Omnivore,11.26,9.39,0.615,0.51,105,53,-0.181611329,8.41E-05,124.022,-5.9406,1.051538391,1.995635195,2.31175598,0.61873042,-1.735215781,27.31370926,1.748311404,3.206588431,SP7
O'Connell et al 2019,ES479,CC7,Sulawesi,Buton,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris,Omnivore,11.26,11.47,0.615,0.54,105,9,0.018478308,0.000274685,122.89,-5.248,1.051538391,3.644241586,0.869290404,0.779681543,-1.768594092,26.70387268,1.812544189,3.249499286,SP7
O'Connell et al 2019,ES480,CC8,Sulawesi,Buton,Birds,Passeriformes,Zosteropidae,Zosterops consobrinorum,Zosterops consobrinorum,Zosterops consobrinorum,Omnivore,8.91,9.62,0.485,0.487,48,37,0.076670023,0.000130992,122.89,-5.248,0.949877704,3.644241586,0.869290404,0.779681543,-1.768594092,26.70387268,1.812544189,3.249499286,SP8
"Clegg, 2002",ES481,CC9,"Brisbane, Australia",Chatham,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops lateralis lateralis,Omnivore,10.22,13.46,0.9,1.07,29,34,0.275375739,0.00045328,-176.528,-43.819,1.009450896,2.963787827,2.815578412,0.681565381,-2.036134423,11.71574211,2.419753117,2.993511171,SP9
Andrade et al 2015,ES482,CC10,Portugal,Corvo,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,19,1.359,1.421,224,24,0.087509108,0.000260269,-31.108,39.701,1.240748878,1.23325001,3.276462034,0.345406982,-1.061591601,17.14367294,2.497215857,3.14176323,SP10
"Grant, 1966",ES483,CC11,Mainland USA (Atlantic States),Cozumel,Birds,Passeriformes,Vireonidae,Vireo griseus,Vireo griseus semiflavus,Vireo bairdi,Invertebrate,10.24,11.6,0.437704426,0.430043383,17,2,0.124703479,0.000794669,-86.917,20.417,1.010299957,2.686636269,1.225335132,0.781641553,-1.831716407,26.09687042,2.224146299,3.159615322,SP11
"McLaughlin and Roughgarden 1989, Terborgh et al. 1978",ES484,CC12,Puerto Rico,Desirade,Birds,Passeriformes,Mimidae,Margarops fuscatus,Margarops fuscatus,Margarops fuscatus,FruiNect,100.7,92.5,8.4,7.1,28,19,-0.084937155,0.000558593,-61.054,16.315,2.003029471,1.314709693,0.986816505,0.639438916,-1.835215164,26.5128746,2.007752803,3.027720551,SP6
Dietzen et al. 2008,ES485,CC13,Morocco,El Hierro,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,9.8,11.6,0.4,0.8,4,6,0.168622712,0.0012092,-17.985,27.731,0.991226076,2.429283829,2.585461858,0.40696814,-1.853908745,17.80913925,2.441857073,2.483230587,SP5
Andrade et al 2015,ES486,CC10,Portugal,Faial,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,16.6,1.359,1.436,224,33,-0.047527175,0.000253974,-28.694,38.576,1.240748878,2.238748439,3.2273727,0.696379639,-1.577082315,17.24787712,2.495419405,3.108402647,SP10
Andrade et al 2015,ES487,CC10,Portugal,Flores,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,20.2,1.359,1.53,224,26,0.148752734,0.000247859,-31.201,39.443,1.240748878,2.151737481,3.278296437,0.729296143,-1.797454872,17.11359024,2.504747503,3.211654401,SP10
Dietzen et al. 2008,ES488,CC13,Morocco,Fuerteventura,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,9.8,9.9,0.4,0.8,4,19,0.010152371,0.000760174,-14.025,28.412,0.991226076,3.220040061,2.000004343,0.094562994,-2.022053896,19.98557472,2.399106138,2.094735278,SP5
Andrade et al 2015,ES489,CC10,Portugal,Graciosa,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,16.5,1.359,1.281,224,41,-0.05356949,0.000174218,-28.014,39.054,1.240748878,1.781683585,3.210853633,0.674199951,-1.762805683,17.33020973,2.486603541,3.053547064,SP10
Dietzen et al. 2008,ES490,CC13,Morocco,Gran Canaria,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,9.8,11.4,0.4,0.8,4,12,0.15123097,0.000826876,-15.575,27.958,0.991226076,3.193124598,2.322221363,0.238295215,-1.7339448,18.82582283,2.475224192,2.35973274,SP5
Milá unpublished,ES491,CC14,California,Guadalupe,Birds,Passeriformes,Emberizidae,Junco hyemalis,Junco oreganus thurberi,Junco insularis,PlantSeed,17.548,18.448,0.904,0.977,67,221,0.05001598,5.23E-05,-118.3266,29.1099,1.244227626,3.178976947,2.408241662,0.215285522,-1.52057841,17.52437592,2.363918053,2.154801208,SP12
Milá unpublished,ES492,CC15,"California, Mexico",Guadalupe,Birds,Trochiliformes,Trochilidae,Calypte anna,Calypte anna,Calypte anna,FruiNect,4.526,4.268,0.352,0.182,13,11,-0.058693214,0.000630589,-118.3266,29.1099,0.65571455,3.178976947,2.408241662,0.215285522,-1.52057841,17.52437592,2.363918053,2.154801208,SP13
Milá unpublished,ES493,CC16,Mexico,Guadalupe,Birds,Passeriformes,Fringillidae,Haemorhous mexicanus,Haemorhous mexicanus,Haemorhous mexicanus,PlantSeed,20.593,23.593,2.016,1.693,12,30,0.135998846,0.000970301,-118.3266,29.1099,1.313719619,3.178976947,2.408241662,0.215285522,-1.52057841,17.52437592,2.363918053,2.154801208,SP14
"Clegg, 2002",ES494,CC9,"Brisbane, Australia",Heron island,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops lateralis chlorocephalus,Omnivore,10.22,14.09,0.9,1.03,29,34,0.321118741,0.000424586,151.915,-23.442,1.009450896,-0.537602002,1.894875189,0.472815332,-1.709366534,22.27970505,2.53446612,3.004742398,SP9
