Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
"Salvido et al. 1993, Hemelaar 1988",ES18,CC13,Norway,Hitra,Amphibians,Anura,Bufonidae,Bufo bufo,Bufo bufo,Bufo bufo,31.76947838,35.72882531,1.651382577,2.307552101,1012,29,0.117451765,0.000146506,8.7022,63.5344,1.502010084,2.832764305,0.544192111,0.512822754,-1.255270416,6.260993481,2.699823493,3.103290472,SP7
Reboucas et al. 2018,ES19,CC14,Rio de Janeiro,Grande,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,19.06935202,15.49910121,2.867070408,2.284382455,34,26,-0.207300404,0.001500363,-44.247,-23.141,1.280335936,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP8
Reboucas et al. 2018,ES20,CC14,Rio de Janeiro,Itacurucá,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,19.06935202,15.68428326,2.867070408,1.982400115,34,19,-0.195423295,0.001505667,-43.891,-22.891,1.280335936,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP8
Reboucas et al. 2018,ES21,CC14,Rio de Janeiro,Marambaia,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,19.06935202,18.02640443,2.867070408,2.309432596,34,32,-0.056244844,0.001177765,-43.789,-23.061,1.280335936,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP8
Siqueira et al. 2006,ES22,CC15,Rio de Janeiro,Grande,Amphibians,Anura,Cycloramphidae,Thoropa miliaris,Thoropa miliaris,Thoropa miliaris,11.77209302,12,4.003,9.9,43,33,0.019174918,0.023314028,-44.247,-23.141,1.070853685,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP8
Brown et al. 2010,ES23,CC16,Panama,Cayo Agua,Amphibians,Anura,Dendrobatidae,Oophaga pumilio,Oophaga pumilio,Oophaga pumilio,0.408032504,0.429444733,0.009311896,0.023482561,57,34,0.05114622,9.71E-05,-82.039,9.1518,-0.38930524,1.190331698,0.342620043,0.672026611,-1.609722306,25.94358444,1.688088722,3.463543609,SP9
Brown et al. 2010,ES24,CC16,Panama,Pastores,Amphibians,Anura,Dendrobatidae,Oophaga pumilio,Oophaga pumilio,Oophaga pumilio,0.408032504,0.424352589,0.009311896,0.018300129,57,22,0.03921785,9.37E-05,-82.339,9.237,-0.38930524,0.380211242,-0.096367484,0.763761377,-1.624224596,25.43827057,1.697554168,3.454867702,SP9
Brown et al. 2010,ES25,CC16,Panama,San Cristobal,Amphibians,Anura,Dendrobatidae,Oophaga pumilio,Oophaga pumilio,Oophaga pumilio,0.408032504,0.578788637,0.009311896,0.012685032,57,16,0.349590526,3.92E-05,-82.2688,9.2597,-0.38930524,1.593286067,-0.221125528,0.766273779,-1.644535039,25.80436897,1.697870319,3.444513206,SP9
Hon Tjong et al. 2011,ES26,CC17,Honshu (Hiroshima),Kyushu (Kumamoto),Amphibians,Anura,Dicroglossidae,Fejervarya kawamurai,Fejervarya kawamurai,Fejervarya kawamurai,5.508057599,5.153548495,0.328209161,0.451393813,10,10,-0.066526532,0.001122244,131.0378,32.746,0.740998473,4.564890845,-0.045275209,0.742241846,-2.063161512,14.04964352,2.887310745,3.395333604,SP10
Hon Tjong et al. 2011,ES27,CC17,Honshu (Hiroshima),Okinawajima,Amphibians,Anura,Dicroglossidae,Fejervarya kawamurai,Fejervarya kawamurai,Fejervarya kawamurai,5.508057599,5.855286337,0.328209161,0.243253794,10,7,0.061132862,0.000601624,127.9278,26.4794,0.740998473,3.081700074,2.763428742,0.483222998,-1.490924616,22.89743233,2.650553076,3.320220094,SP10
Hon Tjong et al. 2011,ES28,CC17,Honshu (Hiroshima),Yoronjima Islands,Amphibians,Anura,Dicroglossidae,Fejervarya kawamurai,Fejervarya kawamurai,Fejervarya kawamurai,5.508057599,8.022734392,0.328209161,0.740998885,10,12,0.376067272,0.001065963,128.432,27.0425,0.740998473,1.318063335,2.681242142,0.443155078,-1.558095158,22.68047714,2.669671575,3.315991346,SP10
Xu et al. 2013,ES29,CC18,China (Zhejiang province),Cezi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.255260585,0.316588048,0.354521547,125,30,0.145046925,0.0001905,121.934,30.095,0.657601176,1.173186268,1.217510264,0.460071191,-1.793627783,16.37299538,2.901364422,3.089131187,SP11
Xu et al. 2013,ES30,CC18,China (Zhejiang province),Changbai,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.501710711,0.316588048,0.345706517,125,27,0.190876416,0.000185041,122.035,30.181,0.657601176,1.010299957,1.575199395,0.376414258,-1.95207444,16.38397408,2.901455228,3.084215106,SP11
Xu et al. 2013,ES31,CC18,China (Zhejiang province),Dachangtu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.808915574,0.316588048,0.376424549,125,31,0.056288941,0.000236455,122.339,30.252,0.657601176,1.522444234,1.575199395,0.331039551,-1.768209276,16.41360092,2.893182855,3.058236169,SP11
Xu et al. 2013,ES32,CC18,China (Zhejiang province),Daishan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.516247949,0.316588048,0.453268775,125,34,-0.006501117,0.000335067,122.187,30.28,0.657601176,2,1.568213462,0.354496875,-1.981089792,16.53346062,2.901132929,3.05979053,SP11
Xu et al. 2013,ES33,CC18,China (Zhejiang province),Damao,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,6.660366148,0.316588048,0.708843391,125,23,0.381991794,0.00053127,122.04,29.95,0.657601176,0.755874856,0.944532021,0.405301074,-1.877413054,16.35505867,2.889812871,3.10539778,SP11
Xu et al. 2013,ES34,CC18,China (Zhejiang province),Daxie,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.210892939,0.316588048,0.299898833,125,28,-0.076507941,0.000219956,121.967,29.918,0.657601176,1.450249108,-0.396855627,0.39963833,-1.859493117,16.57670212,2.90094963,3.103413702,SP11
Xu et al. 2013,ES35,CC18,China (Zhejiang province),Dayushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,6.606361914,0.316588048,0.437881263,125,27,0.373850445,0.000201518,121.967,30.314,0.657601176,0.792391689,1.631453916,0.199661145,-1.554595264,16.22684097,2.893442712,3.041617649,SP11
Xu et al. 2013,ES36,CC18,China (Zhejiang province),Dengbu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.636641184,0.316588048,0.770062846,125,44,0.215105687,0.000462993,122.318,29.868,0.657601176,1.124178055,1.149249913,0.3915125,-1.70720526,16.47288322,2.884664847,3.096426804,SP11
Xu et al. 2013,ES37,CC18,China (Zhejiang province),Fodu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,6.824201236,0.316588048,0.638111181,125,32,0.406292633,0.000312041,122.018,29.736,0.657601176,0.84509804,0.845160078,0.391640259,-2.038779132,16.55605888,2.897046665,3.100491157,SP11
Xu et al. 2013,ES38,CC18,China (Zhejiang province),Huni,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,6.704776844,0.316588048,0.516344883,125,29,0.388637568,0.000243313,122.185,29.793,0.657601176,0.136720567,1.03666881,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP11
Xu et al. 2013,ES39,CC18,China (Zhejiang province),Jintang,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.684144464,0.316588048,0.43710654,125,40,0.030000621,0.000256502,121.887,30.025,0.657601176,1.883093359,0.556423121,0.36983396,-1.834973911,16.34239388,2.900463844,3.084983578,SP11
Xu et al. 2013,ES40,CC18,China (Zhejiang province),Liuheng,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.471187535,0.316588048,0.397672131,125,38,-0.016528625,0.000246975,122.147,29.708,0.657601176,1.967313918,0.845160078,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP11
Xu et al. 2013,ES41,CC18,China (Zhejiang province),Meishan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.330914026,0.316588048,0.443584698,125,31,0.159340045,0.000262155,121.99,29.792,0.657601176,1.339650158,-0.300162274,0.375350049,-1.952067882,16.41152191,2.902648417,3.105680463,SP11
Xu et al. 2013,ES42,CC18,China (Zhejiang province),Qushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.769681916,0.316588048,0.482820562,125,33,0.048096952,0.000349316,122.355,30.444,0.657601176,1.777426822,1.76716329,0.387664771,-1.869853197,16.28768349,2.897102065,3.0259609,SP11
Xu et al. 2013,ES43,CC18,China (Zhejiang province),Sijiao,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.8721506,0.316588048,0.268475541,125,57,0.069352775,9.21E-05,122.453,30.713,0.657601176,1.348304863,1.428150999,0.314744482,-1.759421237,16.2655201,2.893976881,2.992950971,SP11
Xu et al. 2013,ES44,CC18,China (Zhejiang province),Taohua,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,4.976124558,0.316588048,0.492089008,125,48,0.090468721,0.000242538,122.232,29.818,0.657601176,1.612783857,0.944532021,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP11
Xu et al. 2013,ES45,CC18,China (Zhejiang province),Xiaochangtu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,6.359912328,0.316588048,0.361172866,125,28,0.335831926,0.000153982,122.281,30.259,0.657601176,1.033423755,1.492774353,0.283958203,-1.758760437,16.51882362,2.897304523,3.059941888,SP11
Xu et al. 2013,ES46,CC18,China (Zhejiang province),Xiashi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.130819163,0.316588048,0.419234849,125,22,0.121082661,0.000342276,122.26,29.743,0.657601176,1.222716471,1.120606831,0.354645044,-1.758850527,16.4318161,2.884774731,3.101832962,SP11
Xu et al. 2013,ES47,CC18,China (Zhejiang province),Xiushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,5.081615811,0.316588048,0.352783855,125,35,0.111446618,0.000176508,122.164,30.173,0.657601176,1.361727836,1.736404471,0.381020068,-1.924860695,16.4867878,2.899749455,3.083570676,SP11
Xu et al. 2013,ES48,CC18,China (Zhejiang province),Zhoushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Fejervarya limnocharis,Fejervarya limnocharis,4.545704249,3.913225752,0.316588048,0.619221693,125,26,-0.149820631,0.001001855,122.121,30.059,0.657601176,2.670894954,0.954290762,0.478612109,-1.93870371,16.4111042,2.902087055,3.102097398,SP11
Li et al. 2011,ES49,CC19,"China (Zhejiang, Zhenhai and Beilun)",Cezi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.98015378,0.396151932,0.533058579,299,96,0.182829193,0.000149847,121.934,30.095,0.617841044,1.173186268,1.217510264,0.460071191,-1.793627783,16.37299538,2.901364422,3.089131187,SP11
Li et al. 2011,ES50,CC19,"China (Zhejiang, Zhenhai and Beilun)",Changbai,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,5.163802969,0.396151932,0.381426045,299,94,0.21904174,8.85E-05,122.035,30.181,0.617841044,1.010299957,1.575199395,0.376414258,-1.95207444,16.38397408,2.901455228,3.084215106,SP11
Li et al. 2011,ES51,CC19,"China (Zhejiang, Zhenhai and Beilun)",Dachangtu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.419009334,0.396151932,0.327145508,299,100,0.063283961,8.53E-05,122.339,30.252,0.617841044,1.522444234,1.575199395,0.331039551,-1.768209276,16.41360092,2.893182855,3.058236169,SP11
Li et al. 2011,ES52,CC19,"China (Zhejiang, Zhenhai and Beilun)",Daishan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.164391313,0.396151932,0.339259079,299,98,0.003938544,9.82E-05,122.187,30.28,0.617841044,2,1.568213462,0.354496875,-1.981089792,16.53346062,2.901132929,3.05979053,SP11
Li et al. 2011,ES53,CC19,"China (Zhejiang, Zhenhai and Beilun)",Damao,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,5.832041832,0.396151932,0.411813566,299,106,0.34073559,7.75E-05,122.04,29.95,0.617841044,0.755874856,0.944532021,0.405301074,-1.877413054,16.35505867,2.889812871,3.10539778,SP11
Li et al. 2011,ES54,CC19,"China (Zhejiang, Zhenhai and Beilun)",Daxie,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.626432742,0.396151932,0.348027134,299,94,0.109154528,9.07E-05,121.967,29.918,0.617841044,1.450249108,-0.396855627,0.39963833,-1.859493117,16.57670212,2.90094963,3.103413702,SP11
Li et al. 2011,ES55,CC19,"China (Zhejiang, Zhenhai and Beilun)",Dayushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,5.92238177,0.396151932,0.431053163,299,96,0.356107116,8.57E-05,121.967,30.314,0.617841044,0.792391689,1.631453916,0.199661145,-1.554595264,16.22684097,2.893442712,3.041617649,SP11
Li et al. 2011,ES56,CC19,"China (Zhejiang, Zhenhai and Beilun)",Dengbu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.939962477,0.396151932,0.330996222,299,94,0.174726158,7.83E-05,122.318,29.868,0.617841044,1.124178055,1.149249913,0.3915125,-1.70720526,16.47288322,2.884664847,3.096426804,SP11
Li et al. 2011,ES57,CC19,"China (Zhejiang, Zhenhai and Beilun)",Fodu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,5.74265502,0.396151932,0.404964551,299,99,0.325290073,8.07E-05,122.018,29.736,0.617841044,0.84509804,0.845160078,0.391640259,-2.038779132,16.55605888,2.897046665,3.100491157,SP11
Li et al. 2011,ES58,CC19,"China (Zhejiang, Zhenhai and Beilun)",Huni,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,6.013680367,0.396151932,0.457211323,299,93,0.371405358,9.27E-05,122.185,29.793,0.617841044,0.136720567,1.03666881,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP11
Li et al. 2011,ES59,CC19,"China (Zhejiang, Zhenhai and Beilun)",Jintang,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.111176262,0.396151932,0.365107675,299,96,-0.008922395,0.000112661,121.887,30.025,0.617841044,1.883093359,0.556423121,0.36983396,-1.834973911,16.34239388,2.900463844,3.084983578,SP11
Li et al. 2011,ES60,CC19,"China (Zhejiang, Zhenhai and Beilun)",Liuheng,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.363570897,0.396151932,0.303787104,299,98,0.050659158,8.00E-05,122.147,29.708,0.617841044,1.967313918,0.845160078,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP11
Li et al. 2011,ES61,CC19,"China (Zhejiang, Zhenhai and Beilun)",Meishan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.164391313,0.396151932,0.255638101,299,99,0.003938544,6.86E-05,121.99,29.792,0.617841044,1.339650158,-0.300162274,0.375350049,-1.952067882,16.41152191,2.902648417,3.105680463,SP11
Li et al. 2011,ES62,CC19,"China (Zhejiang, Zhenhai and Beilun)",Qushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.40047631,0.396151932,0.348000971,299,100,0.05908121,9.30E-05,122.355,30.444,0.617841044,1.777426822,1.76716329,0.387664771,-1.869853197,16.28768349,2.897102065,3.0259609,SP11
Li et al. 2011,ES63,CC19,"China (Zhejiang, Zhenhai and Beilun)",Sijiao,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,5.184491796,0.396151932,0.396423159,299,95,0.223040245,9.20E-05,122.453,30.713,0.617841044,1.348304863,1.428150999,0.314744482,-1.759421237,16.2655201,2.893976881,2.992950971,SP11
Li et al. 2011,ES64,CC19,"China (Zhejiang, Zhenhai and Beilun)",Taohua,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.254133635,0.396151932,0.371659145,299,99,0.025259553,0.000107601,122.232,29.818,0.617841044,1.612783857,0.944532021,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP11
Li et al. 2011,ES65,CC19,"China (Zhejiang, Zhenhai and Beilun)",Xiaochangtu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,6.036655457,0.396151932,0.442640271,299,100,0.375218549,8.43E-05,122.281,30.259,0.617841044,1.033423755,1.492774353,0.283958203,-1.758760437,16.51882362,2.897304523,3.059941888,SP11
Li et al. 2011,ES66,CC19,"China (Zhejiang, Zhenhai and Beilun)",Xiashi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.419009334,0.396151932,0.437158018,299,100,0.063283961,0.00012837,122.26,29.743,0.617841044,1.222716471,1.120606831,0.354645044,-1.758850527,16.4318161,2.884774731,3.101832962,SP11
Li et al. 2011,ES67,CC19,"China (Zhejiang, Zhenhai and Beilun)",Xiushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,4.419009334,0.396151932,0.323906443,299,100,0.063283961,8.42E-05,122.164,30.173,0.617841044,1.361727836,1.736404471,0.381020068,-1.924860695,16.4867878,2.899749455,3.083570676,SP11
Li et al. 2011,ES68,CC19,"China (Zhejiang, Zhenhai and Beilun)",Zhoushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,4.148021931,3.937174149,0.396151932,0.362519183,299,97,-0.052168333,0.000117907,122.121,30.059,0.617841044,2.670894954,0.954290762,0.478612109,-1.93870371,16.4111042,2.902087055,3.102097398,SP11
Siler et al. 2009,ES69,CC20,Indonesia (Borneo),Luzon,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes visayanus,32.1046993,24.27836231,3.826822955,1.389414867,16,13,-0.279416902,0.001139945,121.093,16.311,1.506568607,5.041254479,2.924279803,0.72355791,-1.55286682,24.57234764,2.231041382,3.368145505,SP12
Siler et al. 2009,ES70,CC20,Indonesia (Borneo),Luzon,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes macrocephalus,32.1046993,116.8909427,3.826822955,25.12692333,16,8,1.292238971,0.00666401,121.093,16.311,1.506568607,5.041254479,2.924279803,0.72355791,-1.55286682,24.57234764,2.231041382,3.368145505,SP12
