Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Siler et al. 2009,ES71,CC20,Indonesia (Borneo),Mindanao,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes diuatus,32.1046993,22.62454366,3.826822955,1.03394352,16,2,-0.349967095,0.001932262,125.081,7.736,1.506568607,4.989138224,2.537820354,0.761584375,-1.599292724,26.03913689,1.84786828,3.377387944,SP12
Siler et al. 2009,ES72,CC20,Indonesia (Borneo),Mindanao,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes ferneri,32.1046993,46.45836495,3.826822955,2.041403593,16,3,0.369554119,0.001531603,125.081,7.736,1.506568607,4.989138224,2.537820354,0.761584375,-1.599292724,26.03913689,1.84786828,3.377387944,SP12
Siler et al. 2009,ES73,CC20,Indonesia (Borneo),Mindanao,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes magnus,32.1046993,71.44053419,3.826822955,22.21548859,16,22,0.799862999,0.005283426,125.081,7.736,1.506568607,4.989138224,2.537820354,0.761584375,-1.599292724,26.03913689,1.84786828,3.377387944,SP12
Siler et al. 2009,ES74,CC21,Borneo,Palawan,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes acanthi,32.1046993,34.600772,3.826822955,1.830654333,16,21,0.074873579,0.001021311,118.574,9.668,1.506568607,4.085968077,2.161370997,0.712584814,-1.651018274,26.88278389,1.788943049,3.210636425,SP12
Siler et al. 2009,ES75,CC20,Indonesia (Borneo),Visayas,Amphibians,Anura,Dicroglossidae,Limnonectes kuhlii,Limnonectes kuhlii,Limnonectes visayanus,32.1046993,60.02160809,3.826822955,4.406955654,16,20,0.625702217,0.001157559,123.373,10.816,1.506568607,4.128011333,2.763428742,0.662301611,-1.561056993,26.67053604,1.953183138,3.291335376,SP12
Wu et al 2006b,ES76,CC22,China (Zhejiang province),Daishan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,8.435,2.571,2.038,174,44,0.345642789,0.002392614,122.187,30.28,0.775974331,2,1.568213462,0.354496875,-1.981089792,16.53346062,2.901132929,3.05979053,SP11
Wu et al 2006b,ES77,CC22,China (Zhejiang province),Fodu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,6.505,2.571,1.625,174,62,0.085824185,0.00207239,122.018,29.736,0.775974331,0.84509804,0.845160078,0.391640259,-2.038779132,16.55605888,2.897046665,3.100491157,SP11
Wu et al 2006b,ES78,CC22,China (Zhejiang province),Liuheng,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,6.855,2.571,1.706,174,58,0.138231386,0.002133737,122.147,29.708,0.775974331,1.967313918,0.845160078,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP11
Wu et al 2006b,ES79,CC22,China (Zhejiang province),Mayi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,8.66,2.571,1.734,174,50,0.371967795,0.001867724,122.258,29.871,0.775974331,0.84509804,0.845160078,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP11
Wu et al 2006b,ES80,CC22,China (Zhejiang province),Taohua,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,7.81,2.571,1.832,174,49,0.268658036,0.002188805,122.232,29.818,0.775974331,1.612783857,0.944532021,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP11
Wu et al 2006b,ES81,CC22,China (Zhejiang province),Xiashi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,8.36,2.571,2.834,174,34,0.3367115,0.004445809,122.26,29.743,0.775974331,1.222716471,1.120606831,0.354645044,-1.758850527,16.4318161,2.884774731,3.101832962,SP11
Wu et al 2006b,ES82,CC22,China (Zhejiang province),Zhoushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.97,4.81,2.571,1.334,174,67,-0.216049843,0.002213888,122.121,30.059,0.775974331,2.670894954,0.954290762,0.478612109,-1.93870371,16.4111042,2.902087055,3.102097398,SP11
Wu et al 2006n,ES83,CC23,China (Zhejiang province),Daishan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,9.07,1.178,2.329,99,55,0.473316719,0.001637936,122.187,30.28,0.752048448,2,1.568213462,0.354496875,-1.981089792,16.53346062,2.901132929,3.05979053,SP11
Wu et al 2006n,ES84,CC23,China (Zhejiang province),Fodu,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,7.345,1.178,1.86,99,37,0.262364264,0.002172263,122.018,29.736,0.752048448,0.84509804,0.845160078,0.391640259,-2.038779132,16.55605888,2.897046665,3.100491157,SP11
Wu et al 2006n,ES85,CC23,China (Zhejiang province),Liuheng,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,6.285,1.178,1.932,99,73,0.106510297,0.001733532,122.147,29.708,0.752048448,1.967313918,0.845160078,0.356069629,-1.885556739,16.60105515,2.893297621,3.101575246,SP11
Wu et al 2006n,ES86,CC23,China (Zhejiang province),Mayi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,9.33,1.178,1.178,99,41,0.50157947,0.00082791,122.258,29.871,0.752048448,0.84509804,0.845160078,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP11
Wu et al 2006n,ES87,CC23,China (Zhejiang province),Taohua,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,8.355,1.178,1.767,99,38,0.391204617,0.00161615,122.232,29.818,0.752048448,1.612783857,0.944532021,0.361122217,-1.896580491,16.54825211,2.890625387,3.101231387,SP11
Wu et al 2006n,ES88,CC23,China (Zhejiang province),Xiashi,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,9.2,1.178,1.704,99,48,0.487547939,0.001153793,122.26,29.743,0.752048448,1.222716471,1.120606831,0.354645044,-1.758850527,16.4318161,2.884774731,3.101832962,SP11
Wu et al 2006n,ES89,CC23,China (Zhejiang province),Zhoushan,Amphibians,Anura,Dicroglossidae,Fejervarya limnocharis,Rana limnocharis,Rana limnocharis,5.65,5.79,1.178,1.041,99,56,0.024476746,0.001016335,122.121,30.059,0.752048448,2.670894954,0.954290762,0.478612109,-1.93870371,16.4111042,2.902087055,3.102097398,SP11
Reboucas et al. 2018,ES90,CC24,Rio de Janeiro,Itacurucá,Amphibians,Anura,Hylidae,Boana albomarginata,Boana albomarginata,Boana albomarginata,6.244949479,7.664026111,0.398311128,0.311146359,108,34,0.204764394,8.61E-05,-43.891,-22.891,0.795528929,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP13
Reboucas et al. 2018,ES91,CC24,Rio de Janeiro,Marambaia,Amphibians,Anura,Hylidae,Boana albomarginata,Boana albomarginata,Boana albomarginata,6.244949479,6.954017592,0.398311128,0.122537755,108,33,0.10754651,4.71E-05,-43.789,-23.061,0.795528929,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP13
Reboucas et al. 2018,ES92,CC25,Rio de Janeiro,Grande,Amphibians,Anura,Hylidae,Scinax trapicheiroi,Ololygon trapicheiroi,Ololygon trapicheiroi,1.196692126,1.043171186,0.050242799,0.037404545,110,35,-0.137295898,5.28E-05,-44.247,-23.141,0.077982434,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP14
Reboucas et al. 2018,ES93,CC25,Rio de Janeiro,Itacurucá,Amphibians,Anura,Hylidae,Scinax trapicheiroi,Ololygon trapicheiroi,Ololygon trapicheiroi,1.196692126,1.241109336,0.050242799,0.03278402,110,15,0.036444416,6.25E-05,-43.891,-22.891,0.077982434,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP14
Reboucas et al. 2018,ES94,CC25,Rio de Janeiro,Marambaia,Amphibians,Anura,Hylidae,Scinax trapicheiroi,Ololygon trapicheiroi,Ololygon trapicheiroi,1.196692126,1.153380341,0.050242799,0.031172442,110,43,-0.036864131,3.30E-05,-43.789,-23.061,0.077982434,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP14
Mageski et al. 2015,ES95,CC26,"Paulo César
Vinha SP (Guarapari, Brazil)",Tres Ilhas (Brazil),Amphibians,Anura,Hylidae,Phyllodytes luteolus,Phyllodytes luteolus,Phyllodytes luteolus,0.626115548,0.915875735,0.046227223,0.043475595,29,29,0.38034576,0.00026567,-40.382,-20.613,-0.203345512,-1,0.477265995,0.238153271,-1.446020211,23.45416641,2.298246016,3.070776463,SP15
"Bell and Irian 2019, Lotters et al. 2004",ES96,CC27,Kenya,Sao Tome,Amphibians,Anura,Hyperoliidae,Hyperolius cinnamomeoventris,Hyperolius cinnamomeoventris,Hyperolius molleri,1.477677366,2.95433144,0.069015886,0.17184321,118,33,0.692800871,0.000121012,6.616,0.234,0.169579621,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP16
"Bell and Irian 2019, Lotters et al. 2004",ES97,CC27,Kenya,Sao Tome,Amphibians,Anura,Hyperoliidae,Hyperolius cinnamomeoventris,Hyperolius cinnamomeoventris,Hyperolius thomensis,1.477677366,7.057948518,0.069015886,0.353714728,118,7,1.563682923,0.000377286,6.616,0.234,0.169579621,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP16
"Bell et al. 2016, Lotters et al. 2004",ES98,CC28,Kenya,Principe,Amphibians,Anura,Hyperoliidae,Hyperolius cinnamomeoventris,Hyperolius cinnamomeoventris,Hyperolius drewesi,1.477677366,2.500536703,0.069015886,0.123993556,118,17,0.526033882,0.000163125,7.4,1.626,0.169579621,2.133538908,2.333650771,0.49614668,-1.473871846,25.16615486,1.89407536,3.319524532,SP16
Maddock 2016,ES99,CC29,Mahé (Seychelles),Félicité,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia alternans,Grandisonia alternans,Grandisonia alternans,3.250562594,3.235825688,1.150466337,0.774551691,24,7,-0.004543956,0.013404648,55.873,-4.326,0.511958533,0.428134794,1.722642148,0.634377344,-1.804859252,27.01180649,1.840531199,3.357322983,SP17
Maddock 2016,ES100,CC29,Mahé (Seychelles),Frégate,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia alternans,Grandisonia alternans,Grandisonia alternans,3.250562594,5.556005786,1.150466337,0.751531562,24,28,0.536051379,0.005872835,55.94,-4.5865,0.511958533,0.315970345,1.653222165,0.55613584,-1.396947851,26.98846817,1.844299676,3.361478597,SP17
Maddock 2016,ES101,CC29,Mahé (Seychelles),La Digue,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia alternans,Grandisonia alternans,Grandisonia alternans,3.250562594,3.892623289,1.150466337,0.715582427,24,3,0.180255211,0.016483924,55.838,-4.36,0.511958533,1,1.667462292,0.634377344,-1.804859252,27.01180649,1.840531199,3.357322983,SP17
Maddock 2016,ES102,CC29,Mahé (Seychelles),Praslin,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia alternans,Grandisonia alternans,Grandisonia alternans,3.250562594,5.806815129,1.150466337,0.429137858,24,3,0.580204163,0.007039911,55.73,-4.323,0.511958533,1.579783597,1.572883214,0.68785332,-1.944456794,26.79567146,1.871508943,3.359190218,SP17
Maddock 2016,ES103,CC29,Mahé (Seychelles),Silhouette,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia alternans,Grandisonia alternans,Grandisonia alternans,3.250562594,4.259835097,1.150466337,0.294879214,24,34,0.270402363,0.005360324,55.233,-4.485,0.511958533,1.303196057,1.334473857,0.67700083,-1.700563757,26.5780201,1.860126446,3.351206663,SP17
Maddock 2016,ES104,CC30,Mahé (Seychelles),Félicité,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia larvata,Grandisonia larvata,Grandisonia larvata,1.884203045,3.522470668,0.269029225,0.398764149,14,7,0.625657694,0.003286975,55.873,-4.326,0.275127701,0.428134794,1.722642148,0.634377344,-1.804859252,27.01180649,1.840531199,3.357322983,SP18
Maddock 2016,ES105,CC30,Mahé (Seychelles),La Digue,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia larvata,Grandisonia larvata,Grandisonia larvata,1.884203045,2.347785157,0.269029225,0.279870718,14,14,0.219967454,0.002471191,55.838,-4.36,0.275127701,1,1.667462292,0.634377344,-1.804859252,27.01180649,1.840531199,3.357322983,SP18
Maddock 2016,ES106,CC30,Mahé (Seychelles),Praslin,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia larvata,Grandisonia larvata,Grandisonia larvata,1.884203045,2.053281941,0.269029225,0.056378042,14,4,0.085934516,0.00164466,55.73,-4.323,0.275127701,1.579783597,1.572883214,0.68785332,-1.944456794,26.79567146,1.871508943,3.359190218,SP18
Maddock 2016,ES107,CC30,Mahé (Seychelles),Sainte Anne,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia larvata,Grandisonia larvata,Grandisonia larvata,1.884203045,3.035427649,0.269029225,0.377482669,14,4,0.476847377,0.00532247,55.504,-4.605,0.275127701,1.152288344,0.477265995,0.444915869,-1.860439045,26.94260025,1.845338195,3.36133489,SP18
Maddock 2016,ES108,CC30,Mahé (Seychelles),Silhouette,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia larvata,Grandisonia larvata,Grandisonia larvata,1.884203045,2.939357202,0.269029225,0.188936875,14,6,0.444685975,0.002144798,55.233,-4.485,0.275127701,1.303196057,1.334473857,0.67700083,-1.700563757,26.5780201,1.860126446,3.351206663,SP18
Maddock 2016,ES109,CC31,Mahé (Seychelles),Praslin,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia sechellensis,Grandisonia sechellensis,Grandisonia sechellensis,2.826376656,2.986154303,0.248141315,0.266430766,19,2,0.054990816,0.004385967,55.73,-4.323,0.451230037,1.579783597,1.572883214,0.68785332,-1.944456794,26.79567146,1.871508943,3.359190218,SP19
Maddock 2016,ES110,CC31,Mahé (Seychelles),Silhouette,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia sechellensis,Grandisonia sechellensis,Grandisonia sechellensis,2.826376656,2.612944864,0.248141315,0.23945429,19,20,-0.078517672,0.000825589,55.233,-4.485,0.451230037,1.303196057,1.334473857,0.67700083,-1.700563757,26.5780201,1.860126446,3.351206663,SP19
Maddock 2016,ES111,CC32,Mahé (Seychelles),Praslin,Amphibians,Gymnophiona,Indotyphlidae,Grandisonia brevis,Hypogeophis brevis,Hypogeophis brevis,0.299848353,0.223628962,0.084139015,0.066653515,39,15,-0.293288599,0.00794137,55.73,-4.323,-0.523098332,1.579783597,1.572883214,0.68785332,-1.944456794,26.79567146,1.871508943,3.359190218,SP20
Maddock 2016,ES112,CC33,Mahé (Seychelles),Curieuse,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,6.999494412,0.977010076,0.544347298,106,6,0.458088,0.001467478,55.723,-4.283,0.646121581,0.46686762,1.623259631,0.59204043,-1.83566067,27.07398605,1.84780351,3.358743634,SP21
Maddock 2016,ES113,CC33,Mahé (Seychelles),Félicité,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,4.629770062,0.977010076,0.574796185,106,20,0.044757285,0.00123015,55.873,-4.326,0.646121581,0.428134794,1.722642148,0.634377344,-1.804859252,27.01180649,1.840531199,3.357322983,SP21
Maddock 2016,ES114,CC33,Mahé (Seychelles),Frégate,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,5.401398205,0.977010076,1.271242197,106,40,0.198907927,0.001844252,55.94,-4.5865,0.646121581,0.315970345,1.653222165,0.55613584,-1.396947851,26.98846817,1.844299676,3.361478597,SP21
Maddock 2016,ES115,CC33,Mahé (Seychelles),La Digue,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,8.153787721,0.977010076,1.289069295,106,45,0.610732651,0.001014881,55.838,-4.36,0.646121581,1,1.667462292,0.634377344,-1.804859252,27.01180649,1.840531199,3.357322983,SP21
Maddock 2016,ES116,CC33,Mahé (Seychelles),Praslin,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,3.69876706,0.977010076,0.638345812,106,41,-0.179750383,0.001185926,55.73,-4.323,0.646121581,1.579783597,1.572883214,0.68785332,-1.944456794,26.79567146,1.871508943,3.359190218,SP21
Maddock 2016,ES117,CC33,Mahé (Seychelles),Sainte Anne,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,6.091419395,0.977010076,0.822915559,106,17,0.319131205,0.001533017,55.504,-4.605,0.646121581,1.152288344,0.477265995,0.444915869,-1.860439045,26.94260025,1.845338195,3.36133489,SP21
Maddock 2016,ES118,CC33,Mahé (Seychelles),Silhouette,Amphibians,Gymnophiona,Indotyphlidae,Hypogeophis rostratus,Hypogeophis rostratus,Hypogeophis rostratus,4.427122921,3.355521855,0.977010076,0.644962178,106,41,-0.277142616,0.001360544,55.233,-4.485,0.646121581,1.303196057,1.334473857,0.67700083,-1.700563757,26.5780201,1.860126446,3.351206663,SP21
Maddock 2016,ES119,CC34,Mahé (Seychelles),Silhouette,Amphibians,Gymnophiona,Indotyphlidae,Praslinia cooperi,Praslinia cooperi,Praslinia cooperi,3.252249434,2.521956033,0.634858579,0.393217907,8,7,-0.254312086,0.008236082,55.233,-4.485,0.512183847,1.303196057,1.334473857,0.67700083,-1.700563757,26.5780201,1.860126446,3.351206663,SP22
Rog et al. 2013,ES120,CC35,Panama,Cebaco,Amphibians,Anura,Leiuperidae,Engystomops pustulosus,Engystomops pustulosus,Engystomops pustulosus,1.63248181,3.132898993,0.066436779,0.121201292,48,7,0.651857332,0.000248313,-81.139,7.558,0.212848351,1.903089987,0.812980166,0.747388232,-1.860616694,26.05415916,1.799266544,3.46286201,SP23
Rog et al. 2013,ES121,CC35,Panama,Coiba,Amphibians,Anura,Leiuperidae,Engystomops pustulosus,Engystomops pustulosus,Engystomops pustulosus,1.63248181,3.867870697,0.066436779,0.086537529,48,23,0.862602709,5.63E-05,-81.777,7.486,0.212848351,2.701567985,1.35220182,0.756774512,-1.385932732,25.42413521,1.804821349,3.424808168,SP23
Rog et al. 2013,ES122,CC35,Panama,Isla del Rey,Amphibians,Anura,Leiuperidae,Engystomops pustulosus,Engystomops pustulosus,Engystomops pustulosus,1.63248181,2.428504194,0.066436779,0.102652793,48,3,0.39717407,0.000630088,-79.9088,8.387,0.212848351,2.369215857,1.546555001,0.625681494,-1.659318505,26.79486465,1.757703458,3.328076494,SP23
Rog et al. 2013,ES123,CC35,Panama,Isla Grande,Amphibians,Anura,Leiuperidae,Engystomops pustulosus,Engystomops pustulosus,Engystomops pustulosus,1.63248181,3.42652763,0.066436779,0.185739122,48,10,0.741445956,0.000328336,-79.564,9.633,0.212848351,1.424881637,-0.258848401,0.621126074,-1.651040349,26.5128994,1.899409187,3.358581978,SP23
Rog et al. 2013,ES124,CC35,Panama,Pedro Gonzalez,Amphibians,Anura,Leiuperidae,Engystomops pustulosus,Engystomops pustulosus,Engystomops pustulosus,1.63248181,3.471892711,0.066436779,0.097750208,48,7,0.754598455,0.000147746,-79.1029,9.398,0.212848351,1.775974331,1.711815662,0.765176172,-1.521710201,25.43823814,1.807257098,3.451500888,SP23
Rog et al. 2013,ES125,CC35,Panama,Taboga,Amphibians,Anura,Leiuperidae,Engystomops pustulosus,Engystomops pustulosus,Engystomops pustulosus,1.63248181,3.200166566,0.066436779,0.148537548,48,10,0.673101421,0.000249945,-79.5616,8.792,0.212848351,1.08278537,0.973174053,0.682330566,-1.453223353,27.15354156,1.696843965,3.330920831,SP23
"Brasileiro et al. 2007, Heyer et al. 1990",ES126,CC36,Brazil,Ilha dos Alcatrazes,Amphibians,Anura,Leptodactylidae,Cycloramphus eleutherodactylus,Cycloramphus eleutherodactylus,Cycloramphus faustoi,5.110367159,5.379013336,0.527238673,0.291864931,4,11,0.05123371,0.002928683,-45.696,-24.1,0.708452104,0.173186268,1.544080453,0.693767041,-1.384623281,21.53958321,2.399742598,3.42143939,SP24
Reboucas et al. 2018,ES127,CC37,Rio de Janeiro,Grande,Amphibians,Anura,Leptodactylidae,Adenomera marmorata,Adenomera marmorata,Adenomera marmorata,0.723074528,0.711886249,0.045853507,0.034896385,99,26,-0.015594163,0.00013304,-44.247,-23.141,-0.140816937,2.278753601,0.491501766,0.834472559,-2.121527567,21.51352882,2.333142273,3.225141212,SP25
Reboucas et al. 2018,ES128,CC37,Rio de Janeiro,Itacurucá,Amphibians,Anura,Leptodactylidae,Adenomera marmorata,Adenomera marmorata,Adenomera marmorata,0.723074528,0.626620518,0.045853507,0.041561565,99,19,-0.143171175,0.000272158,-43.891,-22.891,-0.140816937,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP25
Reboucas et al. 2018,ES129,CC37,Rio de Janeiro,Itacurucá,Amphibians,Anura,Leptodactylidae,Adenomera marmorata,Adenomera marmorata,Adenomera marmorata,0.723074528,0.626620518,0.045853507,0.057546782,99,14,-0.143171175,0.000643048,-43.891,-22.891,-0.140816937,1,-0.655607726,0.728447998,-2.064691638,21.68714333,2.344099276,3.156969921,SP25
Reboucas et al. 2018,ES130,CC37,Rio de Janeiro,Marambaia,Amphibians,Anura,Leptodactylidae,Adenomera marmorata,Adenomera marmorata,Adenomera marmorata,0.723074528,0.577052608,0.045853507,0.054381921,99,25,-0.225578861,0.000395874,-43.789,-23.061,-0.140816937,1.62324929,0.98231647,0.567623486,-1.94029244,23.35488129,2.306326187,3.110252917,SP25
Vences et al. 2010,ES131,CC38,Madagascar,Nosy Boraha (Sainte Marie),Amphibians,Anura,Mantellidae,Blommersia dejongi,Blommersia dejongi,Blommersia dejongi,0.755390589,0.894330751,0.043252408,0.035956071,5,5,0.168840722,0.000978983,49.8976,-16.9157,-0.12182843,2.346352974,0.793161529,0.742845703,-1.920596205,24.27876472,2.292031513,3.506640306,SP26
Vences et al. 2010,ES132,CC39,Madagascar,Nosy Boraha (Sainte Marie),Amphibians,Anura,Mantellidae,Blommersia galani,Blommersia galani,Blommersia galani,0.735520388,1.126547254,0.053388574,0.041651357,10,13,0.426334446,0.000632026,49.8976,-16.9157,-0.133405284,2.346352974,0.793161529,0.742845703,-1.920596205,24.27876472,2.292031513,3.506640306,SP27
"Glaw et al. 2019, Vences et al. 2010",ES133,CC40,Madagascar,Mayotte,Amphibians,Anura,Mantellidae,Blommersia wittei,Blommersia wittei,Blommersia transmarina,1.084697678,2.16436384,0.092115434,0.150998646,8,12,0.69082517,0.001307089,45.152,-12.801,0.03530871,2.574031268,2.477122702,0.721075146,-1.781400091,25.06338501,2.109002544,3.148025476,SP28
Pabijan et al. 2011,ES134,CC41,Madagascar,Nosy Be,Amphibians,Anura,Mantellidae,Blommersia wittei,Blommersia wittei,Blommersia wittei,0.948658425,1.195346047,0.049128624,0.036756891,9,5,0.2311422,0.000487106,48.26,-13.326,-0.022890132,2.505177121,1.079940597,0.712896973,-1.828679779,25.78669739,2.134027409,3.330505077,SP28
"Glaw et al. 2019, Mori et al. 2015",ES135,CC42,Madagascar,Mayotte,Amphibians,Anura,Mantellidae,Boophis doulioti,Boophis doulioti,Boophis nauticus,7.367191655,7.394899871,1.134669,0.817788927,8,8,0.003753973,0.004493855,45.152,-12.801,0.867301968,2.574031268,2.477122702,0.721075146,-1.781400091,25.06338501,2.109002544,3.148025476,SP29
"Glaw et al. 2019, Tessa et al. 2017",ES136,CC43,Madagascar,Mayotte,Amphibians,Anura,Mantellidae,Boophis tephraeomystax,Boophis tephraeomystax,Boophis nauticus,5.742585785,12.27261393,0.765580591,1.030991214,8,11,0.759460677,0.002863225,45.152,-12.801,0.759107492,2.574031268,2.477122702,0.721075146,-1.781400091,25.06338501,2.109002544,3.148025476,SP30
Menzies and Tyler 1977,ES137,CC44,Papua New Guinea,Goodenough,Amphibians,Anura,Microhylidae,Copiula fistulans,Copiula fistulans,Copiula minor,2.78798795,1.195346047,0.151424266,0.035212902,20,2,-0.846884448,0.000581392,150.249,-9.34,0.445290892,2.836956737,1.46091287,0.713913184,-1.514113151,22.93286324,1.782452792,3.449902458,SP31
Matsui and Ota 1984,ES138,CC45,Iriomotejima,Kohamajima,Amphibians,Anura,Microhylidae,Microhyla ornata,Microhyla ornata,Microhyla ornata,3.83,2.29,0.22,0.16,18,27,-0.514312986,0.000364108,123.9796,24.3425,0.583198774,0.894316063,0.361916619,0.606638477,-1.499385861,23.42721176,2.593043377,3.343304187,SP32
Shaidani 2017,ES139,CC46,Maine (USA),Appledore,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.4965,0.1,0.051287736,210,34,-0.451972917,0.000392069,-70.614,42.988,-0.107791403,-0.397940009,1.000043427,0.47237207,-1.490562997,9.154166222,2.873833801,3.084576278,SP33
Shaidani 2017,ES140,CC46,Maine (USA),Baker Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,1.068,0.1,0.110322864,210,30,0.313986619,0.000433915,-68.198,44.2416,-0.107791403,-1.522878745,0.699056855,0.480812354,-1.444422672,6.993421078,2.902175752,3.133059643,SP33
Shaidani 2017,ES141,CC46,Maine (USA),Bois Bubert Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.9393,0.1,0.097028339,210,30,0.185578516,0.000433915,-67.865,44.4367,-0.107791403,0.77815125,0.000434077,0.558148633,-1.413891703,6.71992445,2.91240267,3.115384136,SP33
Shaidani 2017,ES142,CC46,Maine (USA),Cross Island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,1.1655,0.1,0.120394474,210,31,0.401349058,0.000422441,-67.2975,44.609,-0.107791403,0.84509804,0.000434077,0.672793555,-1.386885155,6.252759933,2.938139051,3.088384169,SP33
Shaidani 2017,ES143,CC46,Maine (USA),Crow island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,1.1233,0.1,0.116035275,210,30,0.36446966,0.000433915,-69.982,43.848,-0.107791403,-1.301029996,0.699056855,0.61049624,-1.395209552,7.709438801,2.962179061,3.060875287,SP33
Shaidani 2017,ES144,CC46,Maine (USA),Great Duck island,Amphibians,Caudata,Plethodontidae,Plethodon cinereus,Plethodon cinereus,Plethodon cinereus,0.780204762,0.9183,0.1,0.094859069,210,30,0.162967734,0.000433915,-68.2498,44.152,-0.107791403,-0.096910013,1.000043427,0.56380498,-1.498079856,7.088217735,2.894517288,3.143841991,SP33
