IOC3_1_Binomial,SpeciesID,IOC3_1_Order,IOC3_1_Family,IOC3_1_Genus,IOC3_1_Species,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Crypturellus_tataupa,29,TINAMIFORMES,Tinamidae,Crypturellus,tataupa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Rhynchotus_rufescens,30,TINAMIFORMES,Tinamidae,Rhynchotus,rufescens,in HBW Rhynchotus_rufescens includes race maculicollis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Rhynchotus_maculicollis,31,TINAMIFORMES,Tinamidae,Rhynchotus,maculicollis,in HBW maculicollis is race of Rhynchotus_rufescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary (text on rufescens in HBW),0,resident,full resident,full resident
Nothoprocta_taczanowskii,32,TINAMIFORMES,Tinamidae,Nothoprocta,taczanowskii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothoprocta_ornata,33,TINAMIFORMES,Tinamidae,Nothoprocta,ornata,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably more or less sedentary,0,resident,full resident,full resident
Nothoprocta_perdicaria,34,TINAMIFORMES,Tinamidae,Nothoprocta,perdicaria,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothoprocta_cinerascens,35,TINAMIFORMES,Tinamidae,Nothoprocta,cinerascens,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothoprocta_pentlandii,36,TINAMIFORMES,Tinamidae,Nothoprocta,pentlandii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothoprocta_curvirostris,37,TINAMIFORMES,Tinamidae,Nothoprocta,curvirostris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothura_boraquira,38,TINAMIFORMES,Tinamidae,Nothura,boraquira,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothura_minor,39,TINAMIFORMES,Tinamidae,Nothura,minor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothura_darwinii,40,TINAMIFORMES,Tinamidae,Nothura,darwinii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothura_maculosa,41,TINAMIFORMES,Tinamidae,Nothura,maculosa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Nothura_chacoensis,42,TINAMIFORMES,Tinamidae,Nothura,chacoensis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Taoniscus_nanus,43,TINAMIFORMES,Tinamidae,Taoniscus,nanus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Eudromia_elegans,44,TINAMIFORMES,Tinamidae,Eudromia,elegans,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"presumably sedentary, but moves about in groups over fairly large areas in winter, when food is scarce",1,resident,full resident,full resident
Eudromia_formosa,45,TINAMIFORMES,Tinamidae,Eudromia,formosa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Tinamotis_pentlandii,46,TINAMIFORMES,Tinamidae,Tinamotis,pentlandii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Tinamotis_ingoufi,47,TINAMIFORMES,Tinamidae,Tinamotis,ingoufi,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"resident, tends to move near coast in winter",1,resident,full resident,full resident
Struthio_camelus,48,STRUTHIONIFORMES,Struthionidae,Struthio,camelus,in HBW Struthio_camelus includes race molybdophanes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"sedentary or nomadic depending on aridity of region, in W probably moves S in dry season returning N with rains",1,resident,partial resident,partial resident
Struthio_molybdophanes,49,STRUTHIONIFORMES,Struthionidae,Struthio,molybdophanes,in HBW molybdophanes is race of Struthio_camelus,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,sedentary or nomadic depending on aridity of region (text on camelus in HBW),1,resident,partial resident,partial resident
Rhea_americana,50,RHEIFORMES,Rheidae,Rhea,americana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Rhea_pennata,51,RHEIFORMES,Rheidae,Rhea,pennata,HBW: Pterocnemia_pennata,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"sedentary, S popltns mostly move into uplands for breeding",1,resident,partial resident,partial resident
Casuarius_casuarius,52,CASUARIIFORMES,Casuariidae,Casuarius,casuarius,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"presumably sedentary, some evidence of irregular nomadic movements",1,resident,partial resident,partial resident
Casuarius_bennetti,53,CASUARIIFORMES,Casuariidae,Casuarius,bennetti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Casuarius_unappendiculatus,54,CASUARIIFORMES,Casuariidae,Casuarius,unappendiculatus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Dromaius_novaehollandiae,55,CASUARIIFORMES,Dromaiidae,Dromaius,novaehollandiae,"includes extinct subspecies ater, baudinianus, diemenensis",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"sedentary or nomadic (food and water availability), in W seasonal N-S movements following rains",1,nomadic,partial nomad,partial nomad
Apteryx_australis,56,APTERYGIFORMES,Apterygidae,Apteryx,australis,in HBW Apteryx_australis includes race mantelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,1,resident,full resident,full resident
Apteryx_mantelli,57,APTERYGIFORMES,Apterygidae,Apteryx,mantelli,"in HBW mantelli is race of Apteryx_australis, but it is a separate species in HBW online",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,sedentary (text on australis in HBW),1,resident,full resident,full resident
Apteryx_rowi,58,APTERYGIFORMES,Apterygidae,Apteryx,rowi,"in HBW rowi not found at all, but it is now recognized as a separate species in HBW online",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,resident,1,resident,full resident,full resident
Apteryx_owenii,59,APTERYGIFORMES,Apterygidae,Apteryx,owenii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Apteryx_haastii,60,APTERYGIFORMES,Apterygidae,Apteryx,haastii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Alectura_lathami,61,GALLIFORMES,Megapodiidae,Alectura,lathami,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Aepypodius_arfakianus,62,GALLIFORMES,Megapodiidae,Aepypodius,arfakianus,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Aepypodius_bruijnii,63,GALLIFORMES,Megapodiidae,Aepypodius,bruijnii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Talegalla_cuvieri,64,GALLIFORMES,Megapodiidae,Talegalla,cuvieri,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Talegalla_fuscirostris,65,GALLIFORMES,Megapodiidae,Talegalla,fuscirostris,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Talegalla_jobiensis,66,GALLIFORMES,Megapodiidae,Talegalla,jobiensis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Leipoa_ocellata,67,GALLIFORMES,Megapodiidae,Leipoa,ocellata,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Macrocephalon_maleo,68,GALLIFORMES,Megapodiidae,Macrocephalon,maleo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably mostly sedentary,0,resident,full resident,full resident
Eulipoa_wallacei,69,GALLIFORMES,Megapodiidae,Eulipoa,wallacei,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,resident,full resident,full resident
Megapodius_pritchardii,70,GALLIFORMES,Megapodiidae,Megapodius,pritchardii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Megapodius_laperouse,71,GALLIFORMES,Megapodiidae,Megapodius,laperouse,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,some movements between islands likely,0,resident,full resident,full resident
Megapodius_nicobariensis,72,GALLIFORMES,Megapodiidae,Megapodius,nicobariensis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Megapodius_cumingii,73,GALLIFORMES,Megapodiidae,Megapodius,cumingii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,some movements between islands likely,0,resident,full resident,full resident
Megapodius_bernsteinii,74,GALLIFORMES,Megapodiidae,Megapodius,bernsteinii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Megapodius_tenimberensis,75,GALLIFORMES,Megapodiidae,Megapodius,tenimberensis,"in HBW tenimberensis is race of Megapodius_reinwardt, but it is a separate species in HBW online",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumed sedentary (text on reinwardt in HBW),1,resident,full resident,full resident
