Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
Kim et al. 2015,ES25,CC7,"Mainland Asia (Korea, Russia, China)",Honshu,Mammals,Carnivora,Canidae,Nyctereutes procyonoides,Nyctereutes procyonoides,Nyctereutes procyonoides,Omn,5041.218947,4159.76317,204.4827254,155.0150979,148,85,-0.192189765,2.75E-05,138.027,35.944,3.70253556,5.357858648,2.238048613,0.664703369,-2.021604712,9.96942997,2.908129742,3.226945101,SP4
Kim et al. 2015,ES26,CC7,"Mainland Asia (Korea, Russia, China)",Hokkaido,Mammals,Carnivora,Canidae,Nyctereutes procyonoides,Nyctereutes procyonoides,Nyctereutes procyonoides,Omn,5041.218947,4434.743705,204.4827254,128.4739067,148,42,-0.128178083,3.11E-05,141.934,43.224,3.70253556,4.894930509,1.255296632,0.461188916,-1.814233845,6.352608681,2.992256552,3.08674128,SP4
Kim et al. 2015,ES27,CC7,"Mainland Asia (Korea, Russia, China)",Shikoku,Mammals,Carnivora,Canidae,Nyctereutes procyonoides,Nyctereutes procyonoides,Nyctereutes procyonoides,Omn,5041.218947,3655.538731,204.4827254,116.5013788,148,47,-0.321404429,3.27E-05,134.095,33.854,3.70253556,4.273348569,0.919130414,0.737541748,-1.818441458,14.39609623,2.885017525,3.314999943,SP4
Meiri et al 2006,ES29,CC8,Honshu,Kyushu,Mammals,Carnivora,Canidae,Nyctereutes procyonoides,Nyctereutes procyonoides,Nyctereutes procyonoides,Omn,4332.105159,4220.006927,147.2852879,68.76876618,41,5,-0.026216834,8.13E-05,131.0378,32.746,3.63669899,4.564890845,-0.045275209,0.742241846,-2.063161512,14.04964352,2.887310745,3.395333604,SP4
Meiri et al 2006,ES30,CC9,Hokkaido,Okushiri,Mammals,Carnivora,Canidae,Nyctereutes procyonoides,Nyctereutes procyonoides,Nyctereutes procyonoides,Omn,4459.791925,4269.161759,162.9600097,151.8075396,5,5,-0.043684613,0.000519922,139.471,42.161,3.649314597,2.161368002,1.255296632,0.591910547,-1.546715635,8.335031509,2.931901966,3.116484877,SP4
Meiri et al 2006,ES31,CC8,Honshu,Sado,Mammals,Carnivora,Canidae,Nyctereutes procyonoides,Nyctereutes procyonoides,Nyctereutes procyonoides,Omn,4248.129109,3748.529887,155.2258877,85.00197567,77,2,-0.125114943,0.000274442,138.3667,38.0167,3.628197707,2.932980822,1.499700826,0.593525537,-1.575364647,12.50552177,2.918922822,3.354732529,SP4
Meiri et al 2006,ES32,CC10,"California S. of 35N, W. of 117W",San Clemente,Mammals,Carnivora,Canidae,Urocyon littoralis,Urocyon littoralis,Urocyon littoralis,Omn,4992.464854,2633.867353,107.8462029,72.95274812,10,5,-0.639476504,0.000200099,-118.476,32.89,3.698315016,2.161368002,1.892100171,0.302382251,-1.550241694,16.20078278,2.44238215,2.395291431,SP5
Meiri et al 2006,ES33,CC10,"California S. of 35N, W. of 117W",San Miguel,Mammals,Carnivora,Canidae,Urocyon littoralis,Urocyon littoralis,Urocyon littoralis,Omn,5193.234441,3292.001322,154.004586,59.22379764,25,9,-0.455861025,7.11E-05,-120.374,34.038,3.715437929,1.568201724,1.623259631,0.368992798,-1.623238896,13.75805569,2.191153542,2.641573259,SP5
Meiri et al 2006,ES35,CC10,"California S. of 35N, W. of 117W",Santa Catalina,Mammals,Carnivora,Canidae,Urocyon littoralis,Urocyon littoralis,Urocyon littoralis,Omn,5193.234441,3352.586938,154.004586,113.402244,25,12,-0.437624441,0.000130522,-118.416,33.378,3.715437929,2.28780173,1.5185271,0.401081543,-1.832184093,15.9043684,2.443934653,2.483216298,SP5
Meiri et al 2006,ES36,CC10,"California S. of 35N, W. of 117W",Santa Cruz,Mammals,Carnivora,Canidae,Urocyon littoralis,Urocyon littoralis,Urocyon littoralis,Omn,5399.170738,2971.150233,180.8790197,82.60886792,15,5,-0.597296213,0.000229431,-119.741,33.997,3.732327061,2.46834733,1.485735619,0.381268066,-1.842280738,15.26320839,2.370446726,2.59439255,SP5
Meiri et al 2006,ES37,CC10,"California S. of 35N, W. of 117W",Santa Rosa,Mammals,Carnivora,Canidae,Urocyon littoralis,Urocyon littoralis,Urocyon littoralis,Omn,5399.170738,2993.992375,180.8790197,100.8922557,15,6,-0.589637636,0.000264084,-120.098,33.965,3.732327061,2.336459734,1.63949645,0.361041309,-1.56896166,14.55853176,2.329975688,2.612084181,SP5
Meiri et al 2006,ES38,CC11,"Quebec 55-60N, W. of 76W",Flaherty,Mammals,Carnivora,Canidae,Vulpes lagopus,Alopex lagopus,Alopex lagopus,Carn,6145.690045,5949.722795,215.7204264,175.5030622,16,5,-0.032406401,0.000251028,-79.371,56.149,3.788570653,3.200029267,2.000004343,0.16608739,-1.961401774,-3.950035095,3.056197183,2.714860297,SP6
Meiri et al 2006,ES40,CC12,"Nunavut N. of 62N, E. of 98W",Southampton,Mammals,Carnivora,Canidae,Vulpes lagopus,Alopex lagopus,Alopex lagopus,Carn,5363.093749,5480.918893,195.9664988,194.8965298,2,24,0.021731768,0.000720265,-84.31,64.497,3.729415389,4.615044767,1.361746718,0.079666833,-2.052216051,-11.90873528,3.165952794,2.404276473,SP6
Meiri et al 2006,ES41,CC11,"Quebec 55-60N, W. of 76W",Tukarak,Mammals,Carnivora,Canidae,Vulpes lagopus,Alopex lagopus,Alopex lagopus,Carn,6145.690045,5852.599219,224.5624293,208.1131468,16,4,-0.048865157,0.00039956,-78.75,56.25,3.788570653,2.542825427,2.060701617,0.207045142,-2.120281734,-4.127195358,3.097577524,2.727337888,SP6
Meiri et al 2006,ES42,CC13,Greenland,Ymer,Mammals,Carnivora,Canidae,Vulpes lagopus,Alopex lagopus,Alopex lagopus,Carn,4970.405449,5263.419385,181.6177377,187.1624436,24,3,0.057279473,0.000477115,-24.494,73.14,3.696391817,3.386855529,1.80618676,0.065008118,-1.862479439,-10.0027895,2.908144677,2.63554728,SP6
Nanova and Proa 2017,ES43,CC14,Chukchi peninsula (Russia),Bering,Mammals,Carnivora,Canidae,Vulpes lagopus,Vulpes lagopus,Vulpes lagopus,Carn,5688.124653,6730.251309,196.0128693,257.3269851,43,41,0.168231877,6.33E-05,166.281,55.002,3.754969105,3.220108088,2.257680974,0.325758594,-1.657463805,1.241084695,2.808795058,2.896005785,SP6
Nanova and Proa 2017,ES44,CC14,Chukchi peninsula (Russia),Mednyi,Mammals,Carnivora,Canidae,Vulpes lagopus,Vulpes lagopus,Vulpes lagopus,Carn,5688.124653,6577.936871,196.0128693,248.3795983,43,30,0.145340544,7.51E-05,167.727,54.702,3.754969105,2.424736957,2.469823488,0.289915723,-1.772531221,1.413538575,2.748548234,3.054995862,SP6
Meiri et al 2006,ES47,CC15,"Quebec 55-60N, W. of 76W",Flaherty,Mammals,Carnivora,Canidae,Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,Carn,7723.262321,7783.686119,282.2066418,276.7808543,3,4,0.007793165,0.000761165,-79.371,56.149,3.887800786,3.200029267,2.000004343,0.16608739,-1.961401774,-3.950035095,3.056197183,2.714860297,SP7
Meiri et al 2006,ES49,CC16,"Alaska S. of 61N, 150-160W",Kodiak,Mammals,Carnivora,Canidae,Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,Carn,8952.970109,8578.097268,327.1399473,305.0293979,7,3,-0.042773208,0.00061222,-153.433,57.466,3.951967135,3.968155937,0.230704314,0.360320386,-1.586897115,3.760668993,2.694711135,3.201019257,SP7
Meiri et al 2006,ES50,CC17,Honshu,Kyushu,Mammals,Carnivora,Canidae,Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,Carn,8952.970109,7723.262321,327.1399473,19.38678954,7,2,-0.147748478,0.000193887,131.0378,32.746,3.951967135,4.564890845,-0.045275209,0.742241846,-2.063161512,14.04964352,2.887310745,3.395333604,SP7
Meiri et al 2006,ES51,CC18,Italy S. of 43N,Sardinia,Mammals,Carnivora,Canidae,Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,Carn,6595.565899,6555.943624,241.0008136,233.1234391,2,3,-0.006025528,0.001089062,9.034,40.029,3.819252064,4.377178713,2.330415803,0.583570215,-1.736022433,14.67077637,2.781609188,2.797815941,SP7
Meiri et al 2006,ES52,CC15,"Quebec 55-60N, W. of 76W",Tukarak,Mammals,Carnivora,Canidae,Vulpes vulpes,Vulpes vulpes,Vulpes vulpes,Carn,7723.262321,8929.682612,282.2066418,317.5314555,3,4,0.145143997,0.000761165,-78.75,56.25,3.887800786,2.542825427,2.060701617,0.207045142,-2.120281734,-4.127195358,3.097577524,2.727337888,SP7
Gonzalez-Quintero 2004,ES54,CC19,Sonora,Tiburon,Mammals,Carnivora,Canidae,Canis latrans,Canis latrans mearnsi,Canis latrans jamei,Carn,20838.37475,14511.32646,970.6931498,462.5389422,57,5,-0.361866747,0.000241263,-112.353,28.986,4.318863844,3.082066934,0.43949059,0.180462634,-1.563715757,21.29118919,2.752799852,2.121382001,SP2
Jimenez & McMahon 2004,ES55,CC20,Nahuelbuta NP,Chiloe,Mammals,Carnivora,Canidae,Lycalopex fulvipes,Pseudalopex fulvipes,Pseudalopex fulvipes,Carn,2350,3085,284.946,403.97,16,16,0.272136329,0.001990589,-73.75,-43.3333,3.371067862,3.923968965,0.361916619,0.748025977,-1.705128954,9.535158157,2.447839253,3.384797388,SP8
Wayne 1991,ES56,CC21,California,San Clemente,Mammals,Carnivora,Canidae,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon littoralis,Omn,3530,1760,128.9855768,62.58401176,9,77,-0.695984062,0.000164772,-118.476,32.89,3.547774705,2.161368002,1.897632589,0.302382251,-1.550241694,16.20078278,2.44238215,2.395291431,SP9
Wayne 1991,ES57,CC21,California,San Miguel,Mammals,Carnivora,Canidae,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon littoralis,Omn,3530,2040,128.9855768,72.54055909,9,12,-0.548348063,0.000253722,-120.374,34.038,3.547774705,1.568201724,1.623259631,0.368992798,-1.623238896,13.75805569,2.191153542,2.641573259,SP9
Wayne 1991,ES58,CC21,California,San Nicolas,Mammals,Carnivora,Canidae,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon littoralis,Omn,3530,1740,128.9855768,61.87282981,9,20,-0.707412758,0.000211573,-119.502,33.246,3.547774705,1.763427994,1.995639581,0.247540942,-1.805388617,15.75387669,2.366318027,2.364550995,SP9
Wayne 1991,ES59,CC21,California,Santa Catalina,Mammals,Carnivora,Canidae,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon littoralis,Omn,3530,2060,128.9855768,73.25174104,9,39,-0.538591888,0.000180773,-118.416,33.378,3.547774705,2.28780173,1.5185271,0.401081543,-1.832184093,15.9043684,2.443934653,2.483216298,SP9
Wayne 1991,ES60,CC21,California,Santa Cruz,Mammals,Carnivora,Canidae,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon littoralis,Omn,3530,1630,128.9855768,57.96132907,9,13,-0.772717856,0.000245616,-119.741,33.997,3.547774705,2.46834733,1.485735619,0.381268066,-1.842280738,15.26320839,2.370446726,2.59439255,SP9
Wayne 1991,ES61,CC21,California,Santa Rosa,Mammals,Carnivora,Canidae,Urocyon cinereoargenteus,Urocyon cinereoargenteus,Urocyon littoralis,Omn,3530,1870,128.9855768,66.4955125,9,29,-0.63535944,0.000191953,-120.098,33.965,3.547774705,2.336459734,1.63949645,0.361041309,-1.56896166,14.55853176,2.329975688,2.612084181,SP9
"Goltsman et al 2005; Cherskyi, 1919, Novikov 1983",ES62,CC22,Chukotka ,Bering,Mammals,Carnivora,Canidae,Vulpes lagopus,Alopex lagopus,Alopex lagopus,Carn,3200,5050,594.334,1101.077,23,194,0.456237433,0.001744848,166.281,55.002,3.505149978,3.220108088,2.257680974,0.325758594,-1.657463805,1.241084695,2.808795058,2.896005785,SP6
"Goltsman et al 2005; Cherskyi, 1919, Novikov 1983",ES63,CC22,Chukotka ,Mednyi,Mammals,Carnivora,Canidae,Vulpes lagopus,Alopex lagopus,Alopex lagopus,Carn,3200,6715,594.334,1151.065,23,39,0.74119302,0.00225323,167.727,54.702,3.505149978,2.424736957,2.469823488,0.289915723,-1.772531221,1.413538575,2.748548234,3.054995862,SP6
"Taylor, 1916",ES64,CC23,Coastal Alaska,Admiralty,Mammals,Rodentia,Castoridae,Castor canadensis,Castor canadensis belugae,Castor canadensis phaeus,Herb,14698.73453,15473.90304,650.3466352,273.1080606,11,2,0.051393526,0.00033372,-134.336,57.622,4.167279946,3.63447727,0.755951041,0.558409375,-1.592664318,4.938298702,2.744983055,3.433675081,SP10
"Taylor, 1916",ES65,CC24,"Stuart Lake, British Columbia",Admiralty,Mammals,Rodentia,Castoridae,Castor canadensis,Castor canadensis belugae,Castor canadensis phaeus,Herb,16394.81102,15473.90304,379.0932005,273.1080606,4,2,-0.057809953,0.000289419,-134.336,57.622,4.214706415,3.63447727,0.755951041,0.558409375,-1.592664318,4.938298702,2.744983055,3.433675081,SP10
"Taylor, 1916",ES66,CC24,"Stuart Lake, British Columbia",Vancouver Island,Mammals,Rodentia,Castoridae,Castor canadensis,Castor canadensis belugae,Castor canadensis leucodonta,Herb,15750.79611,9283.560668,490.2698727,1990.054142,6,9,-0.528645745,0.005267211,-125.415,49.552,4.19730251,4.495336159,1.000043427,0.642414502,-1.53147189,6.864284515,2.71065596,3.367824653,SP10
"Cherem et al. 1999, Kraus et al. 2015",ES67,CC25,Uruguay,Moleques do Sul,Mammals,Rodentia,Caviidae,Cavia magna,Cavia magna,Cavia intermedia,Herb,450.5,578.875,37.854,32.764,40,8,0.250728488,0.000576949,-48.4309,-27.8458,2.653694795,-1.006123085,0.921218121,0.695596582,-1.809772163,19.98253632,2.486373266,3.202259403,SP11
Allen 1938,ES68,CC26,Yunnan,Hainan,Mammals,Primata,Cercopithecidae,Macaca mulatta,Macaca mulatta,Macaca mulatta,Herb,2116.232285,1928.048359,88.55618178,119.6938051,2,3,-0.093129005,0.002160205,109.842,19.229,3.325563336,4.517195898,1.230474467,0.67702998,-1.48228772,23.93092537,2.592929527,3.202721764,SP12
"Bromham and Cardillo 2007, Fooden 2000",ES71,CC27,"India, China",Taiwan,Mammals,Primata,Cercopithecidae,Macaca mulatta,Macaca mulatta,Macaca cyclopis,Herb,3296.202305,4203.416871,340.0695146,1145.272987,120,2,0.243126746,0.037206576,120.66,23.776,3.518013859,4.537907204,2.154427017,0.599242627,-1.673889196,20.42777443,2.607300239,3.325638762,SP12
"Nowak 1999, Hadi et al 2009",ES72,CC28,Borneo,Siberut,Mammals,Primata,Cercopithecidae,Nasalis larvatus,Nasalis larvatus,Simias concolor,Herb,6664.746908,3107.041567,661.2759803,171.7116033,4,8,-0.763160971,0.002842932,98.9355,-1.397,3.823783662,3.605305046,2.156854928,0.800376855,-1.483556302,26.02575684,1.546056592,3.541809887,SP13
"Nijman 2017, Brandon-Jones 1993",ES73,CC29,Java,North Pagai,Mammals,Primata,Cercopithecidae,Presbytis comata,Presbytis comata,Presbytis potenziani,Herb,3188.793872,3903.853706,407.1209551,121.6958388,32,4,0.202321446,0.000752326,100.058,-2.676,3.503626447,2.72427587,1.949394886,0.795201514,-1.688921337,25.76835442,1.546567005,3.543824776,SP14
"Nijman 2017, Brandon-Jones 1993",ES74,CC29,Java,Siberut,Mammals,Primata,Cercopithecidae,Presbytis comata,Presbytis comata,Presbytis potenziani,Herb,3188.793872,2781.039279,407.1209551,98.9725406,32,4,-0.136818049,0.000826015,98.9355,-1.397,3.503626447,3.605305046,2.156854928,0.800376855,-1.483556302,26.02575684,1.546056592,3.541809887,SP14
"Nijman 2017, Brandon-Jones 1993",ES75,CC29,Java,Sipura,Mammals,Primata,Cercopithecidae,Presbytis comata,Presbytis comata,Presbytis potenziani,Herb,3188.793872,3392.885559,407.1209551,146.5188552,32,5,0.062038008,0.000882357,99.6746,-2.204,3.503626447,2.926856709,2.033427777,0.796183252,-1.543560754,25.94093895,1.529960823,3.541591736,SP14
"Nijman 2017, Brandon-Jones 1993",ES76,CC29,Java,South Pagai,Mammals,Primata,Cercopithecidae,Presbytis comata,Presbytis comata,Presbytis potenziani,Herb,3188.793872,3754.320857,407.1209551,206.2779786,32,6,0.163264657,0.001012526,100.326,-3.011,3.503626447,2.994317153,1.934503501,0.795588477,-1.544641297,25.72669601,1.545942316,3.547389466,SP14
