"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Archipielago","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Rogers et al. 1990","Vic, Australia","Tasmania","Birds","Passeriformes","Meliphagidae","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris tenuirostris","Acanthorhynchus tenuirostris dubius","","Both","Weight",11.0923076923077,9.78471337579618,1.00482850262138,1.04712307979675,78,157,11.9,10.5,0.7,0.75,33,45,10.6,9,0.68,0.67,77,80,146.5,-42.1,4.80317698254222,2.38021305126818,"No","Weight","Conspecific","No island rule","Yes",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,11.0923076923077,9.78471337579618,1.00482850262138,1.04712307979675
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter badius","Accipiter badius","Accipiter badius","","Female","Tarsus Length",45.4,40.925,8.586,1.546,4,4,NA,45.4,NA,8.586035173,NA,4,NA,40.925,NA,1.545692941,NA,4,80.714,7.74,4.8169700377573,1.95424733490676,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.75954453125,0.0147126647949219,26.4967594146729,146.125701904297,1768.75,0.732277978515625,0.0137956802368164,26.5609512329102,136.111114501953,1772.21203613281,0.73955419921875,0.0143727523803711,25.914306640625,103.359786987305,2077.4638671875,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,NA,45.4,40.925,8.586,1.546
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter badius","Accipiter badius","Accipiter badius","VertFishScav","Female","Wing Length",194.875,185,13.798,12.987,4,4,NA,194.875,NA,13.79839967,NA,4,NA,185,NA,12.98717316,NA,4,80.714,7.74,4.8169700377573,1.95424733490676,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.75954453125,0.0147126647949219,26.4967594146729,146.125701904297,1768.75,0.732277978515625,0.0137956802368164,26.5609512329102,136.111114501953,1772.21203613281,0.73955419921875,0.0143727523803711,25.914306640625,103.359786987305,2077.4638671875,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,NA,194.875,185,13.798,12.987
"Marchant & Higgins, 1993","Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter cirrocephalus","Accipiter cirrocephalus","Accipiter cirrocephalus","","Both","Wing Length",227.25,232.454545454545,17.1332792878342,21.4413196252639,72,11,208,241,4.59,5.35,30,42,207,247,1.5,9.29,4,7,146.5,-42.1,4.80317698254222,2.38021305126818,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,227.25,232.454545454545,17.1332792878342,21.4413196252639
"Pigot et al. 2020","Australia","Christmas","Birds","Accipitriformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus","Accipiter fasciatus","","Female","Tarsus Length",79.438,69.375,4.965,1.978,4,4,NA,79.4375,NA,4.965067136,NA,4,NA,69.375,NA,1.978374754,NA,4,105.6333,-10.4833,2.13033376849501,2.54406928518988,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.711173388671875,0.0380218841552734,23.8653392791748,88.5409164428711,2028.90002441406,0.620150244140625,0.0664112060546875,24.0473594665527,87.3612747192383,1988.69995117188,0.672574853515625,0.0544763488769531,24.1792507171631,88.625846862793,1945.69995117188,0.711173388671875,-1.40869176470873,23.8653392791748,1.94714401283169,3.30726064737094,NA,79.438,69.375,4.965,1.978
"Pigot et al. 2020","Australia","Christmas","Birds","Accipitriformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus","Accipiter fasciatus","VertFishScav","Female","Wing Length",289,259.75,3.162,7.5,4,4,NA,289,NA,3.16227766,NA,4,NA,259.75,NA,7.5,NA,4,105.6333,-10.4833,2.13033376849501,2.54406928518988,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.711173388671875,0.0380218841552734,23.8653392791748,88.5409164428711,2028.90002441406,0.620150244140625,0.0664112060546875,24.0473594665527,87.3612747192383,1988.69995117188,0.672574853515625,0.0544763488769531,24.1792507171631,88.625846862793,1945.69995117188,0.711173388671875,-1.40869176470873,23.8653392791748,1.94714401283169,3.30726064737094,NA,289,259.75,3.162,7.5
"Olsen et al. 1990, Aumann 1986","Vitoria, Australia","Tasmania","Birds","Falconiformes","Accipitridae","Accipiter fasciatus","Accipiter fasciatus fasciatus","Accipiter fasciatus fasciatus","","Both","Weight",447.923076923077,487.034482758621,122.326207697875,150.196922585608,13,29,330,549,46.7,47.8,6,7,351,614,43.9,86.9,14,15,146.5,-42.1,4.80317698254222,2.38021305126818,"No","Weight","Conspecific","No island rule","No",0.655225146484375,0.00678854064941406,7.75988245010376,351.682373046875,1121.66003417969,0.6280126953125,0.0134871017456055,8.81951236724854,360.283264160156,882.468811035156,0.698959326171875,0.0104175621032715,8.77623271942139,327.989532470703,1452.6142578125,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,NA,447.923076923077,487.034482758621,122.326207697875,150.196922585608
"Pigot et al. 2020","Madagascar","Mayotte","Birds","Accipitriformes","Accipitridae","Accipiter francesiae","Accipiter francesiae","Accipiter francesiae","","Male","Tarsus Length",49.175,44.47,2.57,1.65,4,3,49.175,NA,2.569584921,NA,4,NA,44.47,NA,1.649939393,NA,3,NA,45.152,-12.801,2.57403126772772,2.47712270236552,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.721075146484375,0.0155424530029297,25.0633850097656,128.529418945312,1406.13000488281,0.57278720703125,0.0208500885009766,25.5496044158936,127.281364440918,1355.21667480469,0.57278720703125,0.0208500885009766,25.5496044158936,127.281364440918,1355.21667480469,0.721075146484375,-1.78140009051222,25.0633850097656,2.10900254419108,3.14802547558644,NA,49.175,44.47,2.57,1.65
"Pigot et al. 2020","Madagascar","Mayotte","Birds","Accipitriformes","Accipitridae","Accipiter francesiae","Accipiter francesiae","Accipiter francesiae","Invertebrate","Male","Wing Length",159,140.667,4.243,1.155,4,3,159,NA,4.242640687,NA,4,NA,140.6666667,NA,1.154700538,NA,3,NA,45.152,-12.801,2.57403126772772,2.47712270236552,"No","log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes",0.721075146484375,0.0155424530029297,25.0633850097656,128.529418945312,1406.13000488281,0.57278720703125,0.0208500885009766,25.5496044158936,127.281364440918,1355.21667480469,0.57278720703125,0.0208500885009766,25.5496044158936,127.281364440918,1355.21667480469,0.721075146484375,-1.78140009051222,25.0633850097656,2.10900254419108,3.14802547558644,NA,159,140.667,4.243,1.155
"Pigot et al. 2020","France","Great Britain","Birds","Accipitriformes","Accipitridae","Accipiter nisus","Accipiter nisus","Accipiter nisus","","Male","Tarsus Length",50.96,50.31,4.577,6.121,4,4,50.96,NA,4.577189822,NA,4,NA,50.31,NA,6.120599099,NA,4,NA,-1.6,53.186,5.32083354792103,1.51189672368043,"No","log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes",0.70851728515625,0.0100590873718262,8.6027193069458,458.609802246094,924.989990234375,0.698322265625,0.0152482360839844,8.20084476470947,450.851409912109,1063.94519042969,0.63427998046875,0.0128780807495117,8.82350254058838,455.934753417969,854.721130371094,0.63427998046875,-1.85767058989911,8.82350254058838,2.65890269736187,2.93182444069733,NA,50.96,50.31,4.577,6.121
