"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Archipielago","Allometry","Phylogeny","Data_source_type","Paired","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Lyon 1908","Malay Peninsula","Rupat","Mammals","Rodentia","Sciuridae","Callosciurus prevostii","Sciurus prevostii","Sciurus prevostii","","Both","Length",260.228571417143,271.692307676923,11.4842237416226,5.97752200157756,35,13,261.1764706,259.3333333,10.8180133,12.32405586,17,18,270.2222222,275,6.280481227,4.082482905,9,4,101.585,1.898,3.17318626841227,0.602168551378997,"No","Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Conspecific","No island rule","Yes",0.8004322265625,0.0406454315185547,26.9956455230713,33.9637641906738,2496.06005859375,0.622292626953125,0.0253723510742188,27.0681781768799,33.7896003723145,2490.18627929688,0.717558935546875,0.0302886474609375,26.9345397949219,34.0835151672363,2659.81689453125,0.622292626953125,-1.57885115147145,27.0681781768799,1.52878305542909,3.39623183586874,NA,260.228571417143,271.692307676923,11.4842237416226,5.97752200157756
"Lyon 1908","Malay Peninsula","Rupat","Mammals","Rodentia","Sciuridae","Callosciurus notatus","Sciurus vittatus","Sciurus vittatus","","Both","Length",209.181818172727,227.4,5.3817874699923,10.7842477726003,11,5,210,208.7142857,4.396968653,6.156684327,4,7,224,232.5,13.52774926,3.535533906,3,2,101.585,1.898,3.17318626841227,0.602168551378997,"No","Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Conspecific","No island rule","Yes",0.8004322265625,0.0406454315185547,26.9956455230713,33.9637641906738,2496.06005859375,0.622292626953125,0.0253723510742188,27.0681781768799,33.7896003723145,2490.18627929688,0.717558935546875,0.0302886474609375,26.9345397949219,34.0835151672363,2659.81689453125,0.622292626953125,-1.57885115147145,27.0681781768799,1.52878305542909,3.39623183586874,NA,209.181818172727,227.4,5.3817874699923,10.7842477726003
"Lyon 1908","Malay Peninsula","Rupat","Mammals","Cetartiodactyla","Cetartiodactyla","Tragulus javanicus","Tragulus javanicus","Tragulus javanicus","","Both","Weight",1811.5,2162.5,339.313036315091,244.584195277066,18,8,1556,2067,101.3793755,295.8039892,9,9,1975,2350,170.7825128,129.0994449,4,4,101.585,1.898,3.17318626841227,0.602168551378997,"No","Weight","Conspecific","No island rule","Yes",0.8004322265625,0.0406454315185547,26.9956455230713,33.9637641906738,2496.06005859375,0.622292626953125,0.0253723510742188,27.0681781768799,33.7896003723145,2490.18627929688,0.717558935546875,0.0302886474609375,26.9345397949219,34.0835151672363,2659.81689453125,0.622292626953125,-1.57885115147145,27.0681781768799,1.52878305542909,3.39623183586874,NA,1811.5,2162.5,339.313036315091,244.584195277066
"Sleeman et al. 2009","Ireland (Donegal)","Rutland","Mammals","Carnivora","Mustelidae","Meles meles","Meles meles","Meles meles","","Both","Weight",7715.78947368421,5850,1050.5147721711,1306.91324204104,19,10,8000,7400,1000,1070,10,9,6200,5700,2440,700,3,7,-8.457,54.974,2.08457627793433,-0.251037138743839,"No","Weight","Conspecific","Island rule","Yes",0.554830810546875,0.012401676940918,9.58050537109375,337.294891357422,1577.31005859375,0.6232251953125,0.0113748184204102,9.1796407699585,362.050170898438,1818.90844726562,0.645573828125,0.0137906936645508,9.26315116882324,362.085418701172,1548.31921386719,0.554830810546875,-1.87284085532024,9.58050537109375,2.52800976344807,3.19791707284725,NA,7715.78947368421,5850,1050.5147721711,1306.91324204104
"Redfield 1976","Boundary bay (British Columbia, Canada)","Ruxton","Mammals","Rodentia","Cricetidae","Peromyscus maniculatus","Peromyscus maniculatus","Peromyscus maniculatus","","Both","Weight",14.8888888888889,21.2055555555556,3.5783949554956,2.47484489063545,18,54,14,16,2.21,4.72,10,8,22.3,20.33,1.98,2.51,24,30,-123.7036,49.0778,-0.0222763947111523,0.69028470251263,"No","Weight","Conspecific","Island rule","Yes",0.705079248046875,0.0267441101074219,9.98912906646729,489.348022460938,1106.34997558594,0.716449072265625,0.0308828826904297,9.5079517364502,508.439178466797,1216.25793457031,0.620419091796875,0.0328245239257813,7.20964956283569,553.624938964844,1607.16491699219,0.705079248046875,-1.55682920062578,9.98912906646729,2.68961783760013,3.04389253060619,NA,14.8888888888889,21.2055555555556,3.5783949554956,2.47484489063545
"Millien 2004","Mt Hayachine (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","","Unsexed","antero-posterior diameter of the lower incisor",0.994,1.039,NA,0.07,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,0.994,1.039,NA,0.07
"Millien 2004","Mt Fuji (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","","Unsexed","antero-posterior diameter of the lower incisor",1.025,1.039,0.07,0.07,31,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.025,1.039,0.07,0.07
"Millien 2004","Nikko (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","","Unsexed","antero-posterior diameter of the lower incisor",1.047,1.039,0.07,0.07,37,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.047,1.039,0.07,0.07
"Millien 2004","Mt Odaigahara (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","","Unsexed","antero-posterior diameter of the lower incisor",1.053,1.039,0.05,0.07,15,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.053,1.039,0.05,0.07
"Millien 2004","Mt Goyo (Honshu)","Sado","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","","Unsexed","antero-posterior diameter of the lower incisor",1.065,1.039,0.06,0.07,6,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.3667,38.0167,2.9329808219232,1.49970082589721,"No","ln(BW,g) = Ln(3.19) + 2.58*(ln(Anteposterior incisor,mm), r=  0.93, P < 0.0001, N =51, (Millien-Parra, 2000).","Conspecific","Island rule","Yes",0.593525537109375,0.0255849197387695,12.505521774292,829.703308105469,2263.25,0.58422958984375,0.0499451629638672,12.1483850479126,818.051635742188,2243.07592773438,0.576266943359375,0.0442838958740234,12.2642698287964,818.095336914062,2231.28466796875,0.593525537109375,-1.57536464650505,12.505521774292,2.91892282166791,3.35473252904253,NA,1.065,1.039,0.06,0.07
