"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type"
"Millien 2004","ES941","CC245","Mt Goyo (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus argenteus","Apodemus argenteus","Apodemus argenteus","Herb","Unsexed","antero-posterior diameter of the lower incisor",28.5733647611347,33.6735357455703,1.60976702879632,0.296683134322205,6,3,0.164237257571702,0.000554870966687727,131,30.6667,1.45596138533025,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule"
"Millien and Damuth 2004","ES942","CC246","Kisuki-Cho","Tanegashima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",35.6205818696926,49.7141638997394,4.60610972452921,5.27271435300267,15,20,0.333366267218417,0.0016771869598591,131,30.6667,1.55170100947682,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule"
"Millien and Damuth 2004","ES943","CC247","Mount Fuji (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",35.6205818696926,49.7141638997394,3.99196176125865,5.27271435300267,13,20,0.333366267218417,0.00152855437959751,131,30.6667,1.55170100947682,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule"
"Millien and Damuth 2004","ES944","CC248","Mount Hayachine (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",38.8764868428103,49.7141638997394,4.21161940797112,5.27271435300267,7,20,0.245900263895158,0.00223902990948446,131,30.6667,1.58968701207425,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule"
"Millien and Damuth 2004","ES945","CC249","Nikko (Honshu)","Tanegashima","Mammals","Rodentia","Muridae","Apodemus speciosus","Apodemus speciosus","Apodemus speciosus","Herb","Unsexed","antero-posterior diameter of the lower incisor",45.9199195965394,49.7141638997394,2.51124560293575,5.27271435300267,5,20,0.0793908793602247,0.00116058713914715,131,30.6667,1.66200111896287,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule"
"Terada et al. 2012","ES946","CC270","Kyushu","Tanegashima","Mammals","Cetartiodactyla","Cervidae","Cervus nippon","Cervus nippon","Cervus nippon","Herb","Both","Skull",38415.7594964461,33207.1407517744,172.371878785827,157.597544657874,45,15,-0.145702843274256,1.94897249519782e-06,131,30.6667,4.58450942380174,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","Island rule"
"Motokawa 2003","ES947","CC251","Aomori, Fukushima, Kanto, Chubu, and Kyoto (Honshu)","Tanegashima","Mammals","Eulipotyphla","Soricidae","Crocidura dsinezumi","Crocidura dsinezumi","Crocidura dsinezumi","Omn","Unknown","Skull",13.6280131947154,13.8750744479422,0.391588343355878,0.351551751511203,165,9,0.0179665572310088,7.63327970424346e-05,131,30.6667,1.13443254538229,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","No island rule"
"Abe 1996","ES948","CC432","Kyushu","Tanegashima","Mammals","Eulipotyphla","Talpidae","Mogera wogura","Mogera wogura","Mogera wogura","Inver","Unsexed","Skull",120.426954541714,98.0755285497231,3.26683861868252,4.58882281096775,67,18,-0.205305501428453,0.000132604360195658,131,30.6667,2.08072370368726,2.65896484266443,1.51852710011734,0.73024248046875,-1.96892729020423,18.426025390625,2.79438660103976,3.457730548246,"No","Conspecific","No island rule"
"Fooden et al 1993","ES949","CC37","Mainland Asia (SE Asia)","Tarutao","Mammals","Primata","Cercopithecidae","Macaca fascicularis","Macaca fascicularis","Macaca fascicularis","Omn","Both","Skull",6368.52310907591,6221.60451291449,518.152024021708,563.227978284156,59,7,-0.023339757933281,0.0012829518119223,99.654,6.61,3.80403872904721,2.17405980772503,1.14615905560482,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","Island rule"
"Lyon 1913","ES950","CC77","Malay Peninsula","Tarutao","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Both","Length",192.490946668166,164.557543699281,11.1269955592587,7.7995732806309,40,15,-0.156788803568298,0.000233302850289745,99.654,6.61,2.2844103083665,2.17405980772503,1.14615905560482,0.7448568359375,-1.8221664300912,27.1944141387939,1.76397558808701,3.34728512344696,"No","Conspecific","No island rule"
