"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","NDVI_0.1","SDNDVI_0.1","tmean_0.1","tseas_0.1","prec_0.1","NDVI_0.5","SDNDVI_0.5","tmean_0.5","tseas_0.5","prec_0.5","NDVI_1","SDNDVI_1","tmean_1","tseas_1","prec_1","NDVI","SDNDVI","tmean","tseas","prec","pseas","Mean_m_pooled","Mean_i_pooled","sd_m_combined","sd_i_combined"
"Reboucas et al. 2018","Rio de Janeiro","Itacurucá","Amphibians","Anura","Leptodactylidae","Leptodactylus marmoratus","Adenomera marmorata","Adenomera marmorata","","Male","SVL",20.5,19.6,1.3,1.3,99,19,20.5,NA,1.3,NA,99,NA,19.6,NA,1.3,NA,19,NA,-43.891,-22.891,1,-0.655607726314889,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,20.5,19.6,1.3,1.3
"Reboucas et al. 2018","Rio de Janeiro","Itacurucá","Amphibians","Anura","Leptodactylidae","Leptodactylus marmoratus","Adenomera marmorata","Adenomera marmorata","","Male","SVL",20.5,19.6,1.3,1.8,99,14,20.5,NA,1.3,NA,99,NA,19.6,NA,1.8,NA,14,NA,-43.891,-22.891,1,-0.655607726314889,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,20.5,19.6,1.3,1.8
"Reboucas et al. 2018","Rio de Janeiro","Marambaia","Amphibians","Anura","Leptodactylidae","Leptodactylus marmoratus","Adenomera marmorata","Adenomera marmorata","","Male","SVL",20.5,19.1,1.3,1.8,99,25,20.5,NA,1.3,NA,99,NA,19.1,NA,1.8,NA,25,NA,-43.789,-23.061,1.6232492903979,0.982316469692065,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.567623486328125,0.0104738075256348,23.3548812866211,202.453918457031,1289,0.636976806640625,0.0101798233032227,23.0235233306885,204.207931518555,1336.03332519531,0.612036474609375,0.0109568061828613,23.1600742340088,201.659149169922,1262.7900390625,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,NA,20.5,19.1,1.3,1.8
"Reboucas et al. 2018","Rio de Janeiro","Grande","Amphibians","Anura","Hylidae","Ololygon trapicheiroi","Ololygon trapicheiroi","Ololygon trapicheiroi","","Male","SVL",26.2,25.1,1.1,0.9,110,35,26.2,NA,1.1,NA,110,NA,25.1,NA,0.9,NA,35,NA,-44.247,-23.141,2.27875360095283,0.491501766237326,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","","Island rule",0.83447255859375,0.00655914077758789,21.5135288238525,215.348709106445,1679.34997558594,0.75654541015625,0.0272040283203125,22.2188510894775,212.309524536133,1682.54455566406,0.76589365234375,0.0201510192871094,20.950231552124,226.968246459961,1954.71020507812,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,NA,26.2,25.1,1.1,0.9
"Reboucas et al. 2018","Rio de Janeiro","Itacurucá","Amphibians","Anura","Hylidae","Ololygon trapicheiroi","Ololygon trapicheiroi","Ololygon trapicheiroi","","Male","SVL",26.2,26.5,1.1,0.7,110,15,26.2,NA,1.1,NA,110,NA,26.5,NA,0.7,NA,15,NA,-43.891,-22.891,1,-0.655607726314889,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,26.2,26.5,1.1,0.7
"Reboucas et al. 2018","Rio de Janeiro","Marambaia","Amphibians","Anura","Hylidae","Ololygon trapicheiroi","Ololygon trapicheiroi","Ololygon trapicheiroi","","Male","SVL",26.2,25.9,1.1,0.7,110,43,26.2,NA,1.1,NA,110,NA,25.9,NA,0.7,NA,43,NA,-43.789,-23.061,1.6232492903979,0.982316469692065,"10^-4.462×SVL^3.201 (Hylidae); Santini et al. 2017","","Island rule",0.567623486328125,0.0104738075256348,23.3548812866211,202.453918457031,1289,0.636976806640625,0.0101798233032227,23.0235233306885,204.207931518555,1336.03332519531,0.612036474609375,0.0109568061828613,23.1600742340088,201.659149169922,1262.7900390625,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,NA,26.2,25.9,1.1,0.7
"Reboucas et al. 2018","Rio de Janeiro","Grande","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","","Male","SVL",57.2,53.6,8.6,7.9,34,26,57.2,NA,8.6,NA,34,NA,53.6,NA,7.9,NA,26,NA,-44.247,-23.141,2.27875360095283,0.491501766237326,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.83447255859375,0.00655914077758789,21.5135288238525,215.348709106445,1679.34997558594,0.75654541015625,0.0272040283203125,22.2188510894775,212.309524536133,1682.54455566406,0.76589365234375,0.0201510192871094,20.950231552124,226.968246459961,1954.71020507812,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,NA,57.2,53.6,8.6,7.9
"Reboucas et al. 2018","Rio de Janeiro","Itacurucá","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","","Male","SVL",57.2,53.8,8.6,6.8,34,19,57.2,NA,8.6,NA,34,NA,53.8,NA,6.8,NA,19,NA,-43.891,-22.891,1,-0.655607726314889,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,57.2,53.8,8.6,6.8
"Reboucas et al. 2018","Rio de Janeiro","Marambaia","Amphibians","Anura","Cycloramphidae","Thoropa miliaris","Thoropa miliaris","Thoropa miliaris","","Male","SVL",57.2,56.2,8.6,7.2,34,32,57.2,NA,8.6,NA,34,NA,56.2,NA,7.2,NA,32,NA,-43.789,-23.061,1.6232492903979,0.982316469692065,"10^-4.324×SVL^3.189; Santini et al. 2017","","Island rule",0.567623486328125,0.0104738075256348,23.3548812866211,202.453918457031,1289,0.636976806640625,0.0101798233032227,23.0235233306885,204.207931518555,1336.03332519531,0.612036474609375,0.0109568061828613,23.1600742340088,201.659149169922,1262.7900390625,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,NA,57.2,56.2,8.6,7.2
"Reboucas et al. 2019","Brazi","Grande","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","","Male","SVL",66.828,57.448,7.938,5.016,39,20,66.82758955,NA,7.94,NA,39,NA,57.45,NA,5.02,NA,20,NA,-44.247,-23.141,2.27875360095283,0.491501766237326,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.83447255859375,0.00655914077758789,21.5135288238525,215.348709106445,1679.34997558594,0.75654541015625,0.0272040283203125,22.2188510894775,212.309524536133,1682.54455566406,0.76589365234375,0.0201510192871094,20.950231552124,226.968246459961,1954.71020507812,0.83447255859375,-2.12152756650398,21.5135288238525,2.33314227275695,3.22514121229475,NA,66.828,57.448,7.938,5.016
"Reboucas et al. 2019","Brazi","Itacurucá","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","","Male","SVL",66.828,68.229,7.938,6.037,39,27,66.82758955,NA,7.94,NA,39,NA,68.23,NA,6.04,NA,27,NA,-43.891,-22.891,1,-0.655607726314889,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.728447998046875,0.0076160530090332,21.6871433258057,220.850952148438,1435.39001464844,0.683285693359375,0.0103793647766113,21.9627723693848,225.166366577148,1458.41394042969,0.666094873046875,0.011168058013916,20.9653434753418,225.418472290039,1456.13452148438,0.728447998046875,-2.0646916377672,21.6871433258057,2.34409927595991,3.15696992071881,NA,66.828,68.229,7.938,6.037
"Reboucas et al. 2019","Brazi","Marambaia","Amphibians","Anura","Bufonidae","Rhinella ornata","Rhinella ornata","Rhinella ornata","","Male","SVL",66.828,61.071,7.938,8.24,39,21,66.82758955,NA,7.94,NA,39,NA,61.07,NA,8.24,NA,21,NA,-43.789,-23.061,1.6232492903979,0.982316469692065,"10^-3.791×SVL^2.914 (Bufonidae); Santini et al. 2017","","Island rule",0.567623486328125,0.0104738075256348,23.3548812866211,202.453918457031,1289,0.636976806640625,0.0101798233032227,23.0235233306885,204.207931518555,1336.03332519531,0.612036474609375,0.0109568061828613,23.1600742340088,201.659149169922,1262.7900390625,0.567623486328125,-1.94029243972949,23.3548812866211,2.30632618687276,3.1102529173534,NA,66.828,61.071,7.938,8.24
