sub-order,infraorder,Family,species,zonation,venomous,Longevity (years),log mass (g),log hatchling mass (g),Activity time,diet,mode of reproduction,clutch size,broods per year,Body temperature (oC),age at maturity (months),latitude,log NPP,character (mass equation),mass equation (from Meiri 2011 unless stated),longevity data from,longevity data: source,phylogeny,
Sauria,Gekkota,Gekkonidae,Pachydactylus geitje,Terrestrial,no,3.5,0.32,-0.84,Nocturnal,Carnivorous,Oviparous,2.0,NA,NA,NA,33.4,11.3,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus laevigatus,Arboreal_plus,no,5.0,1.17,NA,Cathemeral,Carnivorous,Oviparous,2.0,NA,NA,NA,24.0,10.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus maculatus,Terrestrial,no,3.2,0.63,NA,Nocturnal,Carnivorous,Oviparous,2.0,3.0,NA,NA,30.8,11.5,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus namaquensis,Terrestrial,no,1.9,1.09,NA,Cathemeral,Carnivorous,Oviparous,NA,NA,NA,NA,29.8,10.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus purcelli,Terrestrial,no,1.4,0.47,NA,Nocturnal,Carnivorous,Oviparous,NA,NA,NA,NA,31.3,10.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus rangei,Terrestrial,no,8.8,1.01,-0.34,Nocturnal,Carnivorous,Oviparous,2.0,NA,15.0,12.0,28.6,10.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus vanzyli,Terrestrial,no,3.8,0.78,NA,Nocturnal,Carnivorous,Oviparous,NA,NA,NA,NA,18.6,10.5,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Pachydactylus weberi,Terrestrial,no,2.7,0.45,-0.74,Nocturnal,Carnivorous,Oviparous,2.0,NA,NA,NA,30.6,11.0,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Hughes 1988,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Paroedura picta,Terrestrial,no,5.0,1.15,-0.27,Nocturnal,Carnivorous,Oviparous,1.9,2.5,NA,6.5,23.4,11.6,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma astriata,Arboreal,no,7.4,0.67,NA,Diurnal,Omnivorous,Oviparous,2.0,NA,29.4,NA,4.7,10.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma barbouri,Terrestrial,no,5.2,0.75,NA,Diurnal,Omnivorous,Oviparous,1.5,NA,NA,NA,20.6,11.8,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma cepediana,Arboreal,no,9.3,0.67,-1.26,Diurnal,Omnivorous,Oviparous,2.0,NA,NA,10.5,15.9,11.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma dubia,Arboreal,no,4.6,0.85,-0.59,Diurnal,Omnivorous,Oviparous,2.0,9.5,NA,18.0,6.7,11.3,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma grandis,Arboreal,no,20.0,1.48,-0.10,Diurnal,Omnivorous,Oviparous,2.0,8.5,NA,9.0,14.0,11.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Dubos 2013,Rocha et al. 2010,
Sauria,Gekkota,Gekkonidae,Phelsuma guentheri,Arboreal,no,17.8,1.84,0.10,Cathemeral,Omnivorous,Oviparous,1.5,NA,NA,NA,20.3,11.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma guimbeaui,Arboreal,no,8.0,0.71,-0.65,Diurnal,Omnivorous,Oviparous,2.0,NA,NA,NA,20.3,11.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma inexpectata,Arboreal,no,7.0,0.63,NA,Diurnal,Omnivorous,Oviparous,1.5,6.0,NA,NA,21.1,11.2,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Dubos 2013,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma laticauda,Arboreal,no,8.7,0.76,NA,Diurnal,Omnivorous,Oviparous,2.0,5.0,22.3,10.5,13.6,11.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma lineata,Arboreal,no,10.0,0.76,-0.63,Diurnal,Omnivorous,Oviparous,2.0,5.5,NA,8.0,19.1,11.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma madagascariensis,Arboreal,no,13.6,1.50,-0.16,Diurnal,Omnivorous,Oviparous,2.0,5.0,31.6,13.5,16.2,11.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma quadriocellata,Arboreal,no,5.3,0.69,NA,Diurnal,Omnivorous,Oviparous,2.0,6.0,NA,9.5,19.1,11.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma serraticauda,Arboreal,no,5.2,0.78,NA,Diurnal,Omnivorous,Oviparous,1.5,3.5,NA,NA,18.0,10.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma standingi,Arboreal,no,9.6,1.19,NA,Diurnal,Omnivorous,Oviparous,1.5,6.0,NA,7.0,22.9,11.6,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Phelsuma sundbergi,Arboreal,no,15.9,1.39,NA,Diurnal,Omnivorous,Oviparous,1.5,NA,NA,8.5,4.8,10.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Ptenopus garrulus,Terrestrial,no,7.4,0.72,-0.48,Nocturnal,Carnivorous,Oviparous,1.0,1.5,21.9,12,26.5,11.1,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,close to P. carpi (Pyron and Burbrink 2014),
Sauria,Gekkota,Gekkonidae,Ptychozoon horsfieldii,Arboreal,no,7.6,1.23,-0.01,Nocturnal,Carnivorous,Oviparous,2.0,NA,NA,NA,0.9,11.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Brown et al. 2012,
Sauria,Gekkota,Gekkonidae,Ptychozoon kuhli,Arboreal,no,6.3,1.37,-0.01,Nocturnal,Carnivorous,Oviparous,2,NA,NA,18.0,3.3,11.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Ptychozoon lionotum,Arboreal,no,4.4,1.28,-0.09,Nocturnal,Carnivorous,Oviparous,2.0,5.5,NA,12.0,16.3,11.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Rhoptropus boultoni,Arboreal_plus,no,3.9,0.92,NA,Diurnal,Carnivorous,Oviparous,2.0,NA,NA,NA,21.0,10.9,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Hughes 1988,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Rhoptropus bradfieldi,Terrestrial,no,6.9,0.84,NA,Diurnal,Carnivorous,Oviparous,2.0,NA,NA,NA,22.0,10.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Hughes 1988,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Stenodactylus doriae,Terrestrial,no,8.9,1.06,-0.20,Nocturnal,Carnivorous,Oviparous,2.0,3.5,28.2,8.0,24.6,10.5,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Stenodactylus petrii,Terrestrial,no,13.1,0.87,NA,Nocturnal,Carnivorous,Oviparous,2.0,NA,20.6,NA,23.3,10.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Stenodactylus sthenodactylus,Terrestrial,no,9.1,0.67,-0.56,Nocturnal,Carnivorous,Oviparous,2.0,2.0,21.2,NA,23.6,10.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Tropiocolotes nattereri,Terrestrial,no,2.7,-0.16,-1.08,Nocturnal,Carnivorous,Oviparous,1.0,NA,31.8,NA,29.4,10.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,TAUM,Metallinou et al. 2013,
Sauria,Gekkota,Gekkonidae,Tropiocolotes steudneri,Arboreal_plus,no,3.3,0.01,-0.99,Nocturnal,Carnivorous,Oviparous,1.0,NA,NA,NA,21.1,10.4,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Bauer et al. 2013,
Sauria,Gekkota,Gekkonidae,Uroplatus alluaudi,Arboreal,no,4.0,1.00,NA,Nocturnal,Carnivorous,Oviparous,2.0,NA,NA,NA,13.3,12.0,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Uroplatus fimbriatus,Arboreal,no,7.3,2.08,0.32,Nocturnal,Carnivorous,Oviparous,1.5,NA,NA,NA,19.1,11.7,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Gekkonidae,Uroplatus sikorae,Arboreal,no,7.0,1.53,0.21,Nocturnal,Carnivorous,Oviparous,1.5,NA,NA,NA,18.4,11.6,SVL,Gekkoninae (Novosolov et al. 2013),Captivity,Bauer 2013,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Garthia gaudichaudii,Terrestrial,no,5.2,0.44,-1.02,Nocturnal,Carnivorous,Oviparous,1.5,NA,24.5,NA,27.4,10.8,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Homonota darwinii,Terrestrial,no,17.0,0.64,-0.58,Nocturnal,Carnivorous,Oviparous,1.0,0.8,25.5,60.0,43.6,10.7,SVL,"Phyllodactylidae (Meiri, unpublished)",Nature,Piantoni et al. 2006,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Homonota fasciata,Arboreal_plus,no,5.6,0.75,-0.28,Nocturnal,Carnivorous,Oviparous,1.3,2.0,NA,NA,22.8,11.7,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Homonota underwoodi,Terrestrial,no,5.6,0.63,NA,Nocturnal,Carnivorous,Oviparous,1.0,NA,23.9,NA,31.5,11.0,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Homonota whitii,Terrestrial,no,5.6,0.33,NA,Nocturnal,Carnivorous,Oviparous,1.0,1.5,NA,NA,31.5,11.5,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Kluge 1964,
Sauria,Gekkota,Phyllodactylidae,Phyllodactylus microphyllus,Arboreal_plus,no,1.7,0.71,-0.47,Nocturnal,Carnivorous,Oviparous,1.0,NA,23.2,NA,8.4,10.9,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,polytomy within genus,
Sauria,Gekkota,Phyllodactylidae,Phyllodactylus pulcher,Arboreal,no,3.1,0.88,NA,Nocturnal,Carnivorous,Oviparous,NA,NA,NA,NA,12.5,10.9,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,polytomy within genus,
Sauria,Gekkota,Phyllodactylidae,Phyllodactylus reissii,Arboreal_plus,no,6.4,1.04,-0.47,Nocturnal,Carnivorous,Oviparous,1.5,NA,21.3,NA,5.5,11.4,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Phyllodactylus tuberculosus,Arboreal_plus,no,5.0,1.41,-0.47,Nocturnal,Carnivorous,Oviparous,1.9,NA,22.7,NA,19.5,11.1,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Ptyodactylus guttatus,Terrestrial,no,10.9,1.33,-0.26,Cathemeral,Carnivorous,Oviparous,2.0,4.0,27.6,NA,28.9,10.5,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Hughes 1988,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Ptyodactylus hasselquistii,Terrestrial,no,12.6,1.47,-0.03,Cathemeral,Carnivorous,Oviparous,2.0,5.5,30.0,18.0,23.4,10.4,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Ptyodactylus oudrii,Terrestrial,no,3.7,0.80,-0.22,Nocturnal,Carnivorous,Oviparous,1.5,5.5,NA,NA,31.8,10.6,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Ptyodactylus puiseuxi,Terrestrial,no,8.3,1.26,-0.10,Diurnal,Carnivorous,Oviparous,2.0,3.0,31.5,NA,32.7,10.8,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,TAUM,Nazarov et al. 2013,
Sauria,Gekkota,Phyllodactylidae,Ptyodactylus ragazzii,Terrestrial,no,10.5,1.41,-0.22,Cathemeral,Carnivorous,Oviparous,2.0,4.5,NA,NA,17.4,10.7,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Tarentola annularis,Terrestrial,no,19.8,1.84,0.15,Nocturnal,Carnivorous,Oviparous,1.5,5.0,NA,NA,18.8,10.6,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Tarentola boettgeri,Terrestrial,no,6.1,1.03,-0.22,Nocturnal,Carnivorous,Oviparous,1.5,4.5,19.8,NA,27.8,10.9,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Tarentola delalandii,Terrestrial,no,7.0,1.19,-0.42,Cathemeral,Carnivorous,Oviparous,1.5,7.0,23.0,NA,28.5,10.9,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Tarentola fascicularis,Terrestrial,no,2.4,1.22,NA,Nocturnal,Carnivorous,Oviparous,NA,NA,NA,NA,31.5,10.5,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Rato et al. 2012,
Sauria,Gekkota,Phyllodactylidae,Tarentola gigas,Terrestrial,no,5.0,1.97,NA,Nocturnal,Carnivorous,Oviparous,2.0,3.0,NA,NA,16.6,10.9,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Tarentola mauritanica,Arboreal_plus,no,14.0,1.22,-0.65,Cathemeral,Carnivorous,Oviparous,2.0,8.5,22.6,36.0,36.9,11.0,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Phyllodactylidae,Thecadactylus rapicauda,Arboreal_plus,no,6.9,1.70,0.04,Nocturnal,Carnivorous,Oviparous,1.0,NA,27.0,NA,0.4,11.9,SVL,"Phyllodactylidae (Meiri, unpublished)",Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Pygopodidae,Aprasia striolata,Fossorial,no,2.0,0.91,0.29,Cathemeral,Carnivorous,Oviparous,2.0,NA,NA,NA,35.0,11.3,SVL,Pygopodidae,Captivity,Greer 1989,Pyron and Burbrink 2014,
Sauria,Gekkota,Pygopodidae,Delma impar,Terrestrial,no,8.7,0.70,0.09,Diurnal,Omnivorous,Oviparous,2.0,NA,NA,30.0,36.6,11.6,SVL,Pygopodidae,Captivity,Greer 2005,Pyron and Burbrink 2014,
Sauria,Gekkota,Pygopodidae,Delma inornata,Terrestrial,no,5.0,0.87,NA,Cathemeral,Carnivorous,Oviparous,2.0,NA,NA,NA,33.8,11.5,SVL,Pygopodidae,Captivity,Greer 1989,Pyron and Burbrink 2014,
Sauria,Gekkota,Pygopodidae,Pygopus nigriceps,Terrestrial,no,7.0,1.19,0.49,Nocturnal,Carnivorous,Oviparous,1.8,1.0,24.8,NA,24.5,11.1,SVL,Pygopodidae,Captivity,Greer 1989,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Aristelliger lar,Arboreal,no,1.9,1.90,NA,Nocturnal,Omnivorous,Oviparous,1.0,NA,NA,NA,18.9,11.4,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Henderson and Powell 2009,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Euleptes europaea,Arboreal_plus,no,21.0,0.32,NA,Nocturnal,Carnivorous,Oviparous,2.0,2.0,17.4,24.0,41.7,11.3,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Werner et al. 1993,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Gonatodes albogularis,Arboreal_plus,no,13.0,0.43,-0.81,Diurnal,Carnivorous,Oviparous,1.5,8.0,NA,8.3,11.1,11.7,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Bauer 2013,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Pristurus rupestris,Arboreal_plus,no,4.9,-0.09,-1.00,Diurnal,Carnivorous,Oviparous,1.0,1.5,NA,NA,22.4,10.5,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Saurodactylus mauritanicus,Terrestrial,no,3.7,-0.01,NA,Diurnal,Carnivorous,Oviparous,1.0,6.5,NA,NA,31.6,10.8,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Sphaerodactylus cinereus,Arboreal,no,3.4,0.10,-1.00,Nocturnal,Carnivorous,Oviparous,1.0,6.0,NA,NA,25.0,11.4,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Sphaerodactylus notatus,Terrestrial,no,1.3,-0.01,NA,Diurnal,Carnivorous,Oviparous,1.0,11.0,NA,NA,22.0,11.4,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Sphaerodactylus pimienta,Terrestrial,no,2.0,0.13,-0.83,NA,Carnivorous,Oviparous,1.0,4.5,NA,10.0,20.1,11.9,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Regalado 2006,close to CS. Notatus as both are found in Cuba,
Sauria,Gekkota,Sphaerodactylidae,Sphaerodactylus roosevelti,Arboreal,no,2.0,0.17,-0.73,Nocturnal,Carnivorous,Oviparous,1.0,5.0,32.8,19.5,18.0,11.1,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Regalado 2006,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Sphaerodactylus vincenti,Arboreal_plus,no,4.0,0.20,-1.15,Cathemeral,Carnivorous,Oviparous,1.0,NA,NA,19.0,14.5,10.9,SVL,Sphaerodactylidae (Novosolov et al. 2013),Nature,Leclair and Leclair 2011,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Teratoscincus microlepis,Terrestrial,no,11.2,1.04,0.17,Nocturnal,Carnivorous,Oviparous,2.0,3.0,NA,NA,29.3,10.2,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,TAUM,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Teratoscincus roborowskii,Terrestrial,no,6.0,1.31,NA,Nocturnal,Carnivorous,Oviparous,2.0,NA,NA,NA,42.9,10.8,SVL,Sphaerodactylidae (Novosolov et al. 2013),Nature,Li et al. 2010,Pyron and Burbrink 2014,
Sauria,Gekkota,Sphaerodactylidae,Teratoscincus scincus,Terrestrial,no,13.0,1.62,0.18,Nocturnal,Carnivorous,Oviparous,1.5,2.5,19.0,9.0,41.1,10.5,SVL,Sphaerodactylidae (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Basiliscus basiliscus,aquatic,no,7.0,2.74,0.16,Diurnal,Omnivorous,Oviparous,9.2,5.5,27.8,15.0,8.1,11.7,SVL,Iguania,unclear,Savage 2002,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Basiliscus galeritus,aquatic,no,4.7,2.69,NA,Diurnal,Carnivorous,Oviparous,7.5,NA,NA,NA,2.6,11.7,SVL,Iguania,Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Basiliscus plumifrons,aquatic,no,13.0,2.74,0.11,Diurnal,Omnivorous,Oviparous,11.0,4.5,31.7,20.0,12.9,11.8,SVL,Iguania,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Basiliscus vittatus,aquatic,no,9.1,2.60,0.07,Diurnal,Omnivorous,Oviparous,5.4,3.8,36.2,9.0,16.3,11.8,SVL,Iguania,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Corytophanes cristatus,Arboreal,no,7.1,1.77,-0.50,Diurnal,Carnivorous,Oviparous,6.0,NA,NA,NA,11.8,11.8,SVL,Iguania,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Laemanctus longipes,Arboreal_plus,no,15.4,2.02,0.16,Diurnal,Carnivorous,Oviparous,4.0,NA,NA,NA,18.3,11.8,SVL,Iguania,Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Corytophanidae,Laemanctus serratus,Arboreal_plus,no,5.2,2.36,0.20,Cathemeral,Carnivorous,Oviparous,7.0,NA,NA,NA,19.6,11.7,SVL,Iguania,Captivity,Slavens and Slavens 1999,Vieira et al. 2005,
Sauria,Iguania,Crotaphytidae,Crotaphytus collaris,Terrestrial,no,10.0,1.83,0.05,Diurnal,Carnivorous,Oviparous,6.0,2.0,36.8,9.8,33.3,11.2,SVL,Iguania,Nature,Degenhardt et al. 1996,Pyron and Burbrink 2014,
Sauria,Iguania,Crotaphytidae,Gambelia sila,Terrestrial,no,4.8,1.77,0.36,Diurnal,Carnivorous,Oviparous,3.1,2.5,38.6,20.0,36.1,11.4,SVL,Iguania,Nature,Germano and Williams 2005,Pyron and Burbrink 2014,
Sauria,Iguania,Crotaphytidae,Gambelia wislizenii,Terrestrial,no,9.8,1.99,0.30,Diurnal,Carnivorous,Oviparous,5.2,1.3,38.1,16.5,35.5,10.9,SVL,Iguania,Nature,Medica and Turner 1984,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis allisoni,Arboreal,no,1.7,1.31,NA,Diurnal,Carnivorous,Oviparous,1.0,20.0,33.1,NA,21.4,11.6,SVL,Anolis (Novosolov et al. 2013),Captivity,Henderson and Powell 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis allogus,Arboreal_plus,no,1.7,0.72,-0.81,Diurnal,Carnivorous,Oviparous,1.5,NA,28.6,NA,21.0,11.6,SVL,Anolis (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis bimaculatus,Arboreal_plus,no,7.0,1.48,-0.43,Diurnal,Carnivorous,Oviparous,1.5,NA,32.7,NA,17.0,10.9,SVL,Anolis (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis biporcatus,Arboreal,no,3.1,1.49,-0.32,Diurnal,Carnivorous,Oviparous,1.0,NA,NA,NA,10.0,11.7,SVL,Anolis (Novosolov et al. 2013),Captivity,Slavens and Slavens 1999,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis carolinensis,Arboreal,no,7.2,0.94,-0.64,Diurnal,Carnivorous,Oviparous,1.3,10.5,28.2,8.0,32.0,11.6,SVL,Anolis (Novosolov et al. 2013),Captivity,De Magalhaes and Costa 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis chlorocyanus,Arboreal,no,2.1,1.02,NA,Diurnal,Carnivorous,Oviparous,1.0,18.0,NA,6.5,19.0,11.5,SVL,Anolis (Novosolov et al. 2013),Captivity,Henderson and Powell 2009,Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis cristatellus,Arboreal_plus,no,6.9,0.99,-0.62,Diurnal,Omnivorous,Oviparous,1,16,28.4,6.5,20.0,11.6,SVL,Anolis (Novosolov et al. 2013),unclear,"Andrew Durso in ""Anole Annals""",Pyron and Burbrink 2014,
Sauria,Iguania,Dactyloidae,Anolis cupreus,Arboreal_plus,no,1.5,0.59,-0.88,Diurnal,Carnivorous,Oviparous,1.0,18.0,27.9,7.0,13.0,11.7,SVL,Anolis (Novosolov et al. 2013),Nature,Fitch 1973,Pyron and Burbrink 2014,
